Date,DelPerc
01102019,100.0
03102019,100.0
04102019,100.0
07102019,65.22
08102019,65.22
11102019,100.0
15102019,100.0
16102019,100.0
17102019,99.68
18102019,100.0
21102019,100.0
22102019,100.0
23102019,100.0
24102019,100.0
30102019,100.0
31102019,100.0
01112019,100.0
04112019,100.0
05112019,100.0
06112019,100.0
07112019,100.0
08112019,100.0
11112019,100.0
12112019,100.0
13112019,64.88
14112019,100.0
15112019,100.0
18112019,89.88
19112019,100.0
20112019,100.0
21112019,90.32
22112019,70.23
25112019,96.94
26112019,100.0
27112019,100.0
28112019,63.73
29112019,99.91
02122019,55.86
03122019,72.78
04122019,100.0
05122019,100.0
06122019,100.0
09122019,100.0
12122019,99.07
13122019,100.0
16122019,71.58
17122019,100.0
18122019,100.0
19122019,100.0
20122019,95.75
26122019,97.67
27122019,100.0
30122019,35.38
31122019,100.0
01012020,100.0
02012020,38.73
03012020,100.0
06012020,100.0
07012020,88.89
08012020,100.0
09012020,100.0
10012020,66.73
13012020,56.74
14012020,85.67
15012020,100.0
16012020,94.57
20012020,100.0
21012020,100.0
22012020,100.0
24012020,100.0
27012020,100.0
28012020,100.0
29012020,100.0
30012020,100.0
31012020,99.96
03022020,100.0
04022020,99.33
05022020,100.0
06022020,100.0
07022020,100.0
10022020,86.05
11022020,86.13
12022020,98.02
13022020,53.05
14022020,100.0
17022020,100.0
18022020,100.0
19022020,100.0
20022020,100.0
21022020,100.0
24022020,95.81
25022020,100.0
26022020,93.26
27022020,78.93
28022020,87.2
02032020,93.59
03032020,100.0
04032020,100.0
05032020,95.69
06032020,66.45
09032020,100.0
10032020,100.0
11032020,100.0
12032020,100.0
13032020,100.0
16032020,100.0
17032020,99.96
18032020,100.0
19032020,99.69
20032020,96.27
23032020,100.0
24032020,100.0
25032020,100.0
26032020,97.22
27032020,100.0
30032020,100.0
31032020,100.0
01042020,100.0
02042020,100.0
03042020,100.0
06042020,100.0
07042020,80.02
08042020,100.0
09042020,99.2
10042020,99.2
13042020,100.0
12102020,100.0
14102020,100.0
15102020,100.0
16102020,91.68
19102020,99.55
20102020,99.6
21102020,51.91
22102020,100.0
23102020,100.0
28102020,100.0
30102020,100.0
02112020,100.0
03112020,100.0
04112020,100.0
05112020,100.0
06112020,100.0
09112020,100.0
10112020,100.0
11112020,95.24
12112020,99.29
13112020,100.0
17112020,100.0
18112020,100.0
19112020,100.0
20112020,100.0
23112020,51.22
24112020,100.0
25112020,100.0
26112020,100.0
27112020,99.91
30112020,99.91
01122020,99.89
02122020,98.47
03122020,99.77
04122020,98.93
07122020,99.87
08122020,100.0
09122020,98.17
10122020,100.0
11122020,100.0
14122020,90.37
15122020,87.31
16122020,100.0
17122020,100.0
18122020,100.0
21122020,100.0
22122020,100.0
23122020,68.92
24122020,95.97
25122020,95.97
28122020,100.0
29122020,99.99
30122020,93.66
31122020,86.36
01012021,84.42
04012021,60.13
05012021,83.44
06012021,74.13
07012021,80.93
08012021,87.05
11012021,69.33
12012021,60.56
13012021,65.89
14012021,72.96
15012021,64.41
18012021,97.7
19012021,81.64
20012021,52.72
21012021,74.04
22012021,62.42
25012021,64.89
27012021,84.16
28012021,80.06
29012021,61.33
01022021,73.94
02022021,79.9
03022021,69.02
04022021,68.72
05022021,70.21
08022021,61.94
09022021,75.38
10022021,92.4
11022021,69.31
12022021,53.19
15022021,42.46
16022021,51.34
17022021,50.29
18022021,64.94
19022021,76.86
22022021,34.57
23022021,94.75
24022021,72.1
25022021,32.24
26022021,83.72
01032021,62.51
02032021,77.57
03032021,81.74
04032021,60.46
05032021,64.42
08032021,63.44
09032021,78.61
10032021,59.91
11032021,59.91
12032021,76.12
