Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
17022025,73.13,15.59,14.14,15.54,14.03,14.46,-7.25
18022025,66.98,14.46,13.95,14.89,13.07,14.31,-1.04
19022025,73.03,14.31,13.97,15.74,13.53,15.47,8.11
20022025,60.11,15.47,15.8,16.39,15.42,16.36,5.75
21022025,76.83,16.36,17.0,17.1,16.37,16.9,3.3
24022025,77.34,16.9,16.98,18.05,16.34,17.55,3.85
25022025,72.61,17.55,17.99,18.0,17.0,17.36,-1.08
27022025,49.4,17.36,18.95,18.95,17.12,17.3,-0.35
28022025,67.23,17.3,17.29,17.29,15.75,15.9,-8.09
03032025,79.32,15.9,15.9,16.9,15.03,15.49,-2.58
04032025,67.84,15.49,15.65,16.19,14.35,15.58,0.58
05032025,59.53,15.58,15.59,16.59,15.33,16.33,4.81
06032025,70.71,16.33,17.14,17.14,15.61,17.05,4.41
07032025,59.66,17.05,17.89,17.89,16.0,16.57,-2.82
10032025,63.18,16.57,16.8,16.8,15.63,16.08,-2.96
11032025,59.29,16.08,16.4,16.4,14.76,15.58,-3.11
12032025,59.29,15.58,16.25,16.25,14.1,14.77,-5.2
13032025,82.67,14.77,15.01,15.92,14.98,15.08,2.1
17032025,47.85,15.08,15.48,16.4,13.66,14.18,-5.97
18032025,64.63,14.18,15.0,15.0,14.22,14.76,4.09
19032025,56.49,14.76,15.2,15.5,14.11,14.78,0.14
20032025,56.98,14.78,14.7,14.7,13.3,13.43,-9.13
21032025,61.71,13.43,13.0,13.56,12.85,13.05,-2.83
24032025,78.93,13.05,13.38,13.38,12.8,12.88,-1.3
25032025,77.08,12.88,13.0,13.15,12.1,12.3,-4.5
26032025,61.7,12.3,12.4,12.77,11.66,12.01,-2.36
27032025,82.57,12.01,12.14,12.2,11.26,11.56,-3.75
28032025,56.2,11.56,11.78,11.78,11.0,11.04,-4.5
01042025,59.61,11.04,11.38,11.54,11.21,11.38,3.08
02042025,78.54,11.38,11.89,11.94,11.4,11.94,4.92
03042025,58.66,11.94,11.55,12.18,11.55,12.08,1.17
04042025,69.0,12.08,12.25,12.25,11.9,12.06,-0.17
07042025,68.19,12.06,11.9,11.9,11.45,11.45,-5.06
08042025,46.28,11.45,11.95,11.95,10.87,11.35,-0.87
09042025,69.95,11.35,11.35,11.38,10.91,11.07,-2.47
11042025,74.86,11.07,11.6,11.62,11.14,11.61,4.88
15042025,66.58,11.61,12.14,12.14,11.65,11.87,2.24
16042025,50.4,11.87,12.15,12.46,11.83,12.46,4.97
17042025,73.01,12.46,12.46,13.08,12.31,13.08,4.98
21042025,63.08,13.08,13.33,13.48,12.75,13.04,-0.31
22042025,75.0,13.04,13.34,13.34,12.86,12.94,-0.77
23042025,57.16,12.94,13.18,13.19,12.87,13.01,0.54
24042025,60.4,13.01,12.99,13.18,12.7,12.76,-1.92
25042025,53.7,12.76,12.55,13.18,12.16,12.33,-3.37
28042025,63.84,12.33,12.33,12.33,11.82,11.89,-3.57
29042025,61.82,11.89,11.89,12.41,11.7,11.94,0.42
30042025,65.0,11.94,12.39,12.39,11.34,11.38,-4.69
02052025,65.85,11.38,11.38,11.77,11.12,11.45,0.62
05052025,70.38,11.45,11.99,11.99,10.95,11.02,-3.76
06052025,67.39,11.02,11.02,11.13,10.46,10.51,-4.63
07052025,55.14,10.51,10.42,10.61,10.16,10.38,-1.24
08052025,72.81,10.38,10.48,10.89,10.4,10.89,4.91
09052025,66.04,10.89,10.8,11.43,10.34,10.48,-3.76
12052025,73.77,10.48,10.97,11.0,10.68,11.0,4.96
13052025,82.98,11.0,11.48,11.48,11.1,11.17,1.55
14052025,79.9,11.17,11.39,11.39,11.0,11.22,0.45
15052025,78.69,11.22,11.34,11.65,11.26,11.45,2.05
16052025,61.27,11.45,11.45,11.77,11.45,11.6,1.31
19052025,77.05,11.6,11.98,11.98,11.53,11.95,3.02
20052025,70.45,11.95,12.17,12.23,11.9,11.98,0.25
21052025,60.51,11.98,11.99,12.45,11.77,12.26,2.34
22052025,59.14,12.26,12.49,12.49,11.75,12.14,-0.98
23052025,54.31,12.14,11.76,11.99,11.56,11.81,-2.72
26052025,67.67,11.81,11.99,11.99,11.31,11.44,-3.13
27052025,77.93,11.44,11.39,11.43,11.05,11.1,-2.97
28052025,77.09,11.1,11.49,11.49,10.9,11.01,-0.81
29052025,78.89,11.01,11.01,11.49,11.0,11.03,0.18
30052025,58.89,11.03,11.24,11.49,11.03,11.16,1.18
02062025,69.1,11.16,11.01,11.31,11.0,11.08,-0.72
03062025,63.96,11.08,11.09,11.24,11.09,11.15,0.63
04062025,65.9,11.15,11.34,11.34,11.12,11.26,0.99
05062025,58.08,11.26,11.35,11.41,10.93,11.06,-1.78
06062025,56.93,11.06,11.01,11.42,11.0,11.2,1.27
09062025,61.74,11.2,11.25,11.54,11.11,11.14,-0.54
10062025,71.12,11.14,11.05,11.45,11.05,11.24,0.9
11062025,74.78,11.24,11.24,11.45,11.13,11.42,1.6
12062025,51.36,11.42,11.5,12.34,11.46,11.72,2.63
13062025,60.49,11.72,11.72,11.72,11.05,11.2,-4.44
16062025,55.98,11.2,11.08,11.33,11.01,11.1,-0.89
17062025,81.1,11.1,11.1,11.1,10.7,10.98,-1.08
18062025,17.02,10.98,10.98,11.16,10.61,11.05,0.64
19062025,51.06,11.05,11.05,11.17,10.8,10.81,-2.17
20062025,46.88,10.81,10.75,11.23,10.57,10.83,0.19
23062025,13.44,10.83,10.83,11.48,10.73,10.92,0.83
24062025,42.37,10.92,11.21,11.43,10.81,10.98,0.55
25062025,58.81,10.98,11.18,11.2,10.97,11.12,1.28
26062025,63.34,11.12,11.18,11.19,10.9,10.96,-1.44
27062025,75.52,10.96,10.91,11.42,10.81,10.91,-0.46
30062025,80.12,10.91,10.84,11.2,10.84,11.04,1.19
01072025,68.95,11.04,11.27,11.27,10.82,10.99,-0.45
02072025,57.69,10.99,10.99,11.13,10.81,11.0,0.09
03072025,55.12,11.0,10.83,11.16,10.83,10.96,-0.36
04072025,35.6,10.96,11.01,11.13,10.81,10.98,0.18
07072025,44.61,10.98,10.95,11.45,10.89,10.89,-0.82
08072025,76.62,10.89,10.89,11.13,10.89,11.08,1.74
09072025,72.12,11.08,11.19,11.19,10.92,11.01,-0.63
10072025,89.32,11.01,11.01,11.12,10.77,10.8,-1.91
11072025,43.24,10.8,10.78,11.1,10.51,11.02,2.04
14072025,39.88,11.02,11.09,11.09,10.82,11.03,0.09
15072025,63.43,11.03,11.08,11.08,10.91,10.96,-0.63
16072025,65.51,10.96,10.96,11.1,10.83,10.85,-1.0
17072025,84.39,10.85,10.85,10.98,10.76,10.8,-0.46
18072025,81.5,10.8,10.97,10.97,10.4,10.57,-2.13
21072025,74.63,10.57,10.41,10.85,10.26,10.69,1.14
22072025,73.97,10.69,11.08,11.08,10.65,10.82,1.22
23072025,72.01,10.82,11.23,11.5,10.86,11.19,3.42
24072025,51.06,11.19,11.43,11.43,10.6,10.86,-2.95
25072025,64.28,10.86,11.08,11.08,10.11,10.61,-2.3
28072025,60.56,10.61,10.96,11.3,10.6,10.97,3.39
29072025,47.64,10.97,11.0,11.17,10.65,10.82,-1.37
30072025,77.41,10.82,10.87,11.04,10.63,10.9,0.74
31072025,78.6,10.9,10.31,10.91,10.31,10.82,-0.73
01082025,94.26,10.82,10.98,10.99,10.65,10.73,-0.83
04082025,89.02,10.73,10.92,10.92,10.57,10.71,-0.19
05082025,96.09,10.71,10.9,10.9,10.64,10.72,0.09
06082025,82.66,10.72,10.87,10.89,10.6,10.7,-0.19
07082025,65.17,10.7,10.9,10.9,10.5,10.66,-0.37
08082025,20.73,10.66,10.48,11.95,10.48,11.32,6.19
11082025,48.01,11.32,11.38,11.8,10.9,10.96,-3.18
12082025,57.11,10.96,10.85,11.1,10.3,10.59,-3.38
13082025,56.65,10.59,10.59,11.64,10.59,10.91,3.02
14082025,38.78,10.91,10.9,11.48,10.56,10.74,-1.56
18082025,32.33,10.74,11.99,11.99,10.88,10.91,1.58
19082025,55.29,10.91,11.15,11.49,10.7,11.24,3.02
20082025,62.95,11.24,11.3,11.3,10.8,11.03,-1.87
21082025,73.43,11.03,10.98,11.29,10.91,10.96,-0.63
22082025,73.82,10.96,10.96,11.08,10.84,10.95,-0.09
25082025,85.33,10.95,11.2,11.2,10.53,10.55,-3.65
26082025,54.8,10.55,10.46,10.86,10.11,10.46,-0.85
28082025,78.03,10.46,10.73,10.73,10.4,10.54,0.76
29082025,64.74,10.54,10.98,10.99,10.51,10.63,0.85
01092025,52.57,10.63,10.63,10.79,10.33,10.55,-0.75
02092025,74.41,10.55,10.55,10.77,10.25,10.69,1.33
03092025,70.05,10.69,10.79,10.79,10.43,10.56,-1.22
04092025,85.82,10.56,10.56,10.75,10.43,10.51,-0.47
05092025,72.88,10.51,10.46,11.35,10.46,10.62,1.05
08092025,69.98,10.62,10.72,10.99,10.5,10.63,0.09
09092025,82.53,10.63,10.89,10.89,10.5,10.52,-1.03
10092025,83.68,10.52,10.52,10.79,10.52,10.69,1.62
11092025,76.05,10.69,10.76,10.76,10.45,10.5,-1.78
12092025,71.06,10.5,10.75,10.75,9.95,10.5,0.0
15092025,86.39,10.5,10.45,10.7,10.3,10.41,-0.86
16092025,49.65,10.41,10.43,11.25,10.1,10.63,2.11
17092025,59.08,10.63,10.88,10.99,10.5,10.62,-0.09
18092025,69.24,10.62,10.97,10.99,10.5,10.83,1.98
19092025,28.84,10.83,10.83,12.2,10.83,11.12,2.68
22092025,45.59,11.12,11.49,11.49,10.6,10.78,-3.06
23092025,74.54,10.78,10.83,11.38,10.83,10.97,1.76
24092025,92.3,10.97,10.97,11.32,10.22,10.62,-3.19
25092025,64.33,10.62,10.66,11.06,10.66,10.83,1.98
26092025,60.96,10.83,10.55,10.98,9.56,10.51,-2.95
29092025,68.12,10.51,10.4,10.86,10.29,10.44,-0.67
30092025,69.79,10.44,10.53,10.72,10.33,10.47,0.29
01102025,86.91,10.47,10.47,10.9,10.33,10.62,1.43
03102025,78.95,10.62,10.62,10.9,10.29,10.67,0.47
06102025,62.98,10.67,10.79,10.79,10.33,10.36,-2.91
07102025,86.67,10.36,10.36,10.63,10.29,10.35,-0.1
08102025,72.33,10.35,10.35,10.61,10.3,10.54,1.84
09102025,73.81,10.54,10.33,10.95,10.33,10.78,2.28
10102025,84.54,10.78,10.8,11.2,10.53,11.01,2.13
13102025,85.51,11.01,11.2,11.2,10.66,10.94,-0.64
14102025,85.02,10.94,10.88,11.01,10.5,10.99,0.46
15102025,81.03,10.99,10.99,11.99,10.91,11.4,3.73
16102025,75.97,11.4,11.7,11.7,11.09,11.28,-1.05
17102025,84.89,11.28,11.76,11.76,11.01,11.44,1.42
20102025,81.68,11.44,11.15,11.74,11.05,11.38,-0.52
21102025,83.11,11.38,11.4,11.74,11.15,11.51,1.14
22102025,83.11,11.38,11.4,11.74,11.15,11.51,1.14
23102025,66.63,11.51,11.55,11.99,11.35,11.81,2.61
24102025,67.44,11.81,12.0,12.0,11.4,11.7,-0.93
27102025,82.3,11.7,11.99,11.99,11.2,11.33,-3.16
28102025,72.83,11.33,11.16,11.8,11.16,11.66,2.91
29102025,78.54,11.66,11.22,11.89,11.22,11.7,0.34
30102025,77.6,11.7,11.82,11.9,11.31,11.48,-1.88
31102025,82.11,11.48,11.49,11.78,11.26,11.5,0.17
03112025,92.02,11.5,11.5,11.63,11.37,11.47,-0.26
04112025,77.36,11.47,11.85,11.85,11.23,11.54,0.61
05112025,77.36,11.47,11.85,11.85,11.23,11.54,0.61
06112025,84.04,11.54,11.54,11.55,11.3,11.31,-1.99
07112025,83.03,11.31,11.32,11.62,11.32,11.5,1.68
10112025,73.47,11.5,11.29,11.69,10.82,11.03,-4.09
11112025,74.86,11.03,11.43,11.45,10.64,11.15,1.09
12112025,64.93,11.15,11.05,11.44,11.05,11.16,0.09
13112025,80.12,11.16,11.01,11.41,11.01,11.2,0.36
14112025,80.63,11.2,11.2,11.28,11.0,11.06,-1.25
17112025,91.68,11.06,11.46,11.46,10.81,11.01,-0.45
18112025,92.09,11.01,10.87,11.24,10.76,10.92,-0.82
19112025,66.05,10.92,10.92,11.17,10.1,10.89,-0.27
20112025,81.53,10.89,10.87,10.89,10.5,10.6,-2.66
21112025,81.71,10.6,10.61,10.98,9.96,10.07,-5.0
24112025,66.15,10.07,10.28,10.8,10.02,10.36,2.88
25112025,72.8,10.36,10.77,10.99,10.2,10.22,-1.35
26112025,81.04,10.22,10.4,10.73,10.13,10.18,-0.39
27112025,89.93,10.18,10.4,10.76,9.92,9.99,-1.87
28112025,87.13,9.99,10.01,10.45,10.01,10.35,3.6
01122025,77.61,10.35,10.35,10.35,9.89,10.01,-3.29
02122025,93.3,10.01,10.2,10.23,9.84,9.96,-0.5
03122025,83.72,9.96,9.83,10.19,9.67,10.0,0.4
04122025,63.02,10.0,10.2,10.22,9.87,10.07,0.7
05122025,74.83,10.07,10.17,10.34,9.95,10.28,2.09
08122025,83.11,10.28,10.28,10.28,9.8,10.0,-2.72
09122025,89.42,10.0,10.1,10.25,9.8,10.09,0.9
