Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
10122025,35.09,124.0,140.0,157.0,135.4,151.29,22.01
11122025,13.19,151.29,153.32,160.65,147.58,151.43,0.09
12122025,15.8,151.43,151.97,154.4,145.33,147.05,-2.89
15122025,28.84,147.05,145.3,145.67,138.44,140.75,-4.28
16122025,20.23,140.75,140.75,143.99,138.11,139.99,-0.54
17122025,6.51,139.99,140.0,164.39,139.55,158.8,13.44
18122025,8.5,158.8,162.0,165.4,148.44,151.22,-4.77
19122025,14.58,151.22,152.7,154.12,148.3,150.93,-0.19
22122025,14.36,150.93,153.0,153.85,140.59,144.64,-4.17
23122025,21.28,144.64,144.98,147.7,141.5,142.33,-1.6
24122025,24.48,142.33,142.84,144.3,139.0,139.63,-1.9
25122025,24.48,142.33,142.84,144.3,139.0,139.63,-1.9
26122025,18.3,139.63,140.01,143.3,138.75,139.37,-0.19
29122025,24.59,139.37,139.4,140.12,134.01,134.72,-3.34
30122025,14.18,134.72,134.7,141.44,134.41,136.88,1.6
31122025,24.08,136.88,136.99,138.6,136.0,137.49,0.45
01012026,27.95,137.49,137.5,141.1,136.26,138.19,0.51
02012026,56.34,138.19,137.95,138.79,136.5,137.37,-0.59
05012026,20.66,137.37,139.0,145.8,136.8,141.0,2.64
06012026,28.28,141.0,140.72,142.1,139.51,140.95,-0.04
07012026,34.13,140.95,139.75,141.5,137.0,140.56,-0.28
08012026,39.46,140.56,140.0,144.7,140.0,143.36,1.99
09012026,38.48,143.36,142.5,143.34,140.17,141.08,-1.59
12012026,46.05,141.08,141.09,145.0,139.42,143.7,1.86
13012026,29.25,143.7,144.05,147.0,140.01,141.58,-1.48
14012026,38.4,141.58,141.25,141.25,137.0,137.66,-2.77
15012026,38.4,141.58,141.25,141.25,137.0,137.66,-2.77
16012026,57.2,137.66,138.0,138.09,134.06,134.97,-1.95
19012026,44.5,134.97,137.49,137.94,134.35,134.97,0.0
20012026,52.81,134.97,136.21,136.45,134.5,135.42,0.33
21012026,41.58,135.42,135.0,136.4,134.51,135.41,-0.01
22012026,29.63,135.41,136.0,136.0,132.14,134.14,-0.94
23012026,40.24,134.14,134.73,137.59,132.76,134.53,0.29
27012026,44.03,134.53,135.09,135.35,132.06,134.57,0.03
28012026,37.06,134.57,134.8,137.9,134.27,136.6,1.51
29012026,32.36,136.6,136.9,143.6,136.2,139.18,1.89
30012026,35.62,139.18,135.0,136.3,132.0,135.38,-2.73
02022026,27.27,134.43,135.07,140.0,131.14,136.44,1.5
03022026,45.21,136.44,142.9,142.9,135.08,136.6,0.12
04022026,47.65,136.6,135.92,142.33,134.89,140.37,2.76
05022026,39.96,140.37,140.0,140.76,138.3,139.77,-0.43
06022026,39.57,139.77,139.99,142.35,139.37,140.18,0.29
09022026,33.46,140.18,148.69,148.75,143.15,144.22,2.88
10022026,49.97,144.22,144.0,146.65,143.1,144.15,-0.05
11022026,64.73,144.15,144.3,145.94,144.05,145.2,0.73
12022026,50.2,145.2,145.2,145.3,142.61,143.62,-1.09
13022026,45.16,143.62,143.1,145.6,138.94,141.99,-1.13
