Date,DelPerc
23122022,56.21
26122022,53.02
27122022,45.94
28122022,68.53
29122022,48.24
30122022,53.03
02012023,44.47
03012023,58.17
04012023,65.0
05012023,55.27
06012023,60.39
09012023,49.65
10012023,51.44
11012023,22.84
12012023,35.78
13012023,40.28
16012023,35.19
17012023,44.33
18012023,66.65
19012023,67.35
20012023,67.29
23012023,64.83
24012023,46.09
25012023,82.35
27012023,87.57
30012023,36.6
31012023,46.51
01022023,64.02
02022023,62.08
03022023,90.02
06022023,93.91
07022023,78.57
08022023,91.69
09022023,47.27
10022023,86.41
13022023,52.17
14022023,44.94
15022023,32.63
16022023,33.71
17022023,33.87
20022023,84.2
21022023,39.24
22022023,75.27
23022023,51.5
24022023,45.67
27022023,63.82
28022023,62.88
01032023,79.49
02032023,33.99
03032023,70.75
06032023,75.74
07032023,75.74
08032023,59.34
09032023,48.37
10032023,54.52
13032023,82.73
14032023,45.18
15032023,56.12
16032023,91.35
17032023,93.94
20032023,92.36
21032023,96.71
22032023,79.92
23032023,43.4
24032023,77.96
27032023,92.56
28032023,80.29
29032023,64.92
30032023,64.92
31032023,96.51
03042023,76.79
04042023,76.79
05042023,72.45
06042023,54.58
07042023,54.58
10042023,40.98
11042023,43.27
12042023,26.32
13042023,23.14
14042023,23.14
17042023,19.14
18042023,17.52
19042023,22.53
20042023,20.88
21042023,32.94
24042023,32.81
25042023,50.88
26042023,48.21
27042023,23.73
28042023,51.09
01052023,51.09
02052023,39.58
03052023,21.17
04052023,28.84
05052023,36.92
08052023,36.02
09052023,61.96
10052023,74.77
11052023,42.12
12052023,20.16
15052023,43.63
16052023,52.78
17052023,16.03
18052023,18.73
19052023,28.09
22052023,13.98
23052023,49.86
24052023,38.05
25052023,42.41
26052023,30.33
29052023,19.65
30052023,12.33
31052023,10.26
01062023,6.36
02062023,10.42
05062023,6.57
06062023,8.19
07062023,31.61
08062023,27.16
09062023,33.32
12062023,16.51
13062023,17.4
14062023,23.13
15062023,12.79
16062023,17.27
19062023,40.23
20062023,40.56
21062023,51.83
22062023,18.02
23062023,29.42
26062023,40.73
27062023,58.4
28062023,27.25
29062023,27.25
30062023,7.46
03072023,6.69
04072023,21.31
05072023,41.78
06072023,16.82
07072023,67.16
10072023,61.88
11072023,32.1
12072023,15.66
13072023,28.56
14072023,20.51
17072023,12.63
18072023,26.74
19072023,35.0
20072023,40.64
21072023,3.55
24072023,22.02
25072023,14.09
26072023,11.35
27072023,29.43
28072023,43.29
31072023,46.54
01082023,52.27
02082023,70.12
03082023,40.7
04082023,46.2
07082023,45.59
08082023,52.99
09082023,47.61
10082023,47.76
11082023,41.9
14082023,42.05
16082023,34.43
17082023,10.08
18082023,28.75
21082023,42.02
22082023,39.97
23082023,61.7
24082023,92.57
25082023,72.39
28082023,48.64
29082023,68.79
30082023,21.12
31082023,32.42
01092023,61.01
04092023,54.82
05092023,28.18
06092023,59.61
07092023,39.16
08092023,20.58
11092023,62.12
12092023,50.77
13092023,29.48
14092023,35.5
15092023,29.65
18092023,15.77
19092023,15.77
20092023,15.94
21092023,35.66
22092023,34.86
25092023,35.76
26092023,34.57
27092023,13.42
28092023,27.99
29092023,35.18
03102023,9.59
04102023,23.25
05102023,16.91
06102023,14.23
09102023,26.08
10102023,19.39
11102023,14.81
12102023,36.29
13102023,30.52
16102023,81.07
17102023,19.18
18102023,49.48
19102023,21.5
20102023,43.26
23102023,42.96
24102023,42.96
25102023,49.37
26102023,50.53
27102023,53.44
30102023,75.06
31102023,11.31
01112023,27.0
02112023,30.56
03112023,25.31
06112023,19.78
07112023,23.82
08112023,69.82
09112023,34.1
10112023,42.02
13112023,42.6
14112023,42.6
15112023,52.62
16112023,62.59
17112023,44.36
20112023,24.01
21112023,36.63
22112023,38.97
23112023,34.86
24112023,59.43
27112023,59.43
28112023,35.23
29112023,34.82
30112023,21.69
01122023,49.63
04122023,65.96
05122023,43.2
06122023,37.37
07122023,43.65
08122023,51.07
11122023,43.24
12122023,28.18
13122023,67.46
14122023,73.95
