Date,DelPerc
01102019,53.73
03102019,44.87
04102019,44.29
07102019,86.65
08102019,86.65
09102019,44.03
10102019,76.24
11102019,68.45
14102019,69.26
15102019,71.89
16102019,53.37
17102019,69.46
18102019,79.69
21102019,79.69
22102019,66.64
23102019,49.02
24102019,75.4
25102019,76.59
28102019,85.53
29102019,71.19
30102019,75.71
31102019,70.28
01112019,84.56
04112019,59.53
05112019,38.69
06112019,61.57
07112019,81.86
08112019,84.58
11112019,55.08
12112019,55.08
13112019,69.78
14112019,75.73
15112019,51.91
18112019,70.85
19112019,53.06
20112019,58.02
21112019,70.24
22112019,89.06
25112019,70.73
26112019,63.74
27112019,82.98
28112019,89.67
29112019,59.12
02122019,65.28
03122019,88.45
04122019,74.38
05122019,73.81
06122019,68.67
09122019,63.82
10122019,60.9
11122019,78.29
12122019,25.23
13122019,49.88
16122019,61.68
17122019,89.82
18122019,77.66
19122019,38.74
20122019,70.97
23122019,59.03
24122019,80.24
25122019,80.24
26122019,86.53
27122019,80.81
30122019,71.12
31122019,81.4
01012020,88.8
02012020,70.47
03012020,71.62
06012020,89.84
07012020,99.96
08012020,81.97
09012020,80.64
10012020,47.2
13012020,66.15
14012020,77.89
15012020,85.36
16012020,90.46
17012020,66.72
20012020,75.63
21012020,72.12
22012020,77.16
23012020,98.59
24012020,84.04
27012020,85.48
28012020,87.35
29012020,47.21
30012020,35.38
31012020,45.13
03022020,67.34
04022020,74.0
05022020,69.64
06022020,60.74
07022020,70.62
10022020,88.74
11022020,86.77
12022020,65.09
13022020,85.97
14022020,85.69
17022020,77.84
18022020,82.43
19022020,71.33
20022020,93.11
21022020,93.11
24022020,84.5
25022020,72.82
26022020,54.07
27022020,76.5
28022020,76.11
02032020,74.11
03032020,69.88
04032020,72.16
05032020,77.44
06032020,82.21
09032020,81.61
10032020,81.61
11032020,74.79
12032020,62.67
13032020,50.49
16032020,90.15
17032020,61.8
18032020,68.5
19032020,58.84
20032020,71.19
23032020,83.12
24032020,63.69
25032020,73.94
26032020,86.88
27032020,68.57
30032020,75.77
31032020,66.15
01042020,27.47
02042020,27.47
03042020,82.14
06042020,82.14
07042020,82.8
08042020,78.24
09042020,55.58
10042020,55.58
13042020,61.36
15042020,25.39
16042020,68.88
17042020,62.37
20042020,65.78
21042020,55.67
22042020,51.37
23042020,64.05
24042020,68.67
27042020,90.21
28042020,37.2
29042020,31.6
30042020,47.09
01052020,47.09
04052020,60.41
05052020,53.84
06052020,50.87
07052020,67.06
08052020,65.58
11052020,52.56
12052020,57.62
13052020,49.89
14052020,66.6
15052020,45.04
18052020,60.08
19052020,57.72
20052020,39.0
21052020,43.57
22052020,77.14
25052020,77.14
26052020,50.33
27052020,54.0
28052020,46.77
29052020,59.84
01062020,46.56
02062020,42.99
03062020,35.18
04062020,55.64
05062020,50.37
08062020,49.38
09062020,49.24
10062020,45.27
11062020,51.02
12062020,29.28
15062020,50.01
16062020,37.26
17062020,64.62
18062020,57.65
19062020,37.72
22062020,29.32
23062020,64.29
24062020,64.42
25062020,55.06
26062020,60.46
29062020,65.09
30062020,49.15
01072020,38.82
02072020,29.9
03072020,59.82
06072020,68.24
07072020,48.8
08072020,49.72
09072020,52.83
10072020,31.22
13072020,24.71
14072020,37.41
15072020,38.11
16072020,64.32
17072020,44.34
20072020,39.12
21072020,55.4
22072020,65.9
23072020,57.41
24072020,9.06
27072020,46.42
28072020,27.37
29072020,12.65
30072020,15.09
31072020,16.51
03082020,25.38
04082020,40.7
05082020,23.63
06082020,40.58
07082020,32.98
10082020,55.41
11082020,74.69
12082020,57.71
13082020,64.19
14082020,42.44
17082020,53.73
18082020,41.44
19082020,37.59
20082020,75.36
21082020,52.96
24082020,40.01
25082020,34.9
26082020,53.44
27082020,55.5
28082020,68.48
31082020,75.84
01092020,44.71
02092020,59.92
03092020,31.08
