Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
11112025,52.66,1.97,1.97,2.05,1.87,1.89,-4.06
12112025,68.02,1.89,1.98,1.98,1.8,1.98,4.76
13112025,89.52,1.98,2.02,2.07,1.97,1.99,0.51
14112025,89.5,1.99,2.07,2.07,1.98,2.02,1.51
17112025,71.07,2.02,2.02,2.07,1.91,1.91,-5.45
18112025,71.3,1.91,1.92,1.94,1.81,1.81,-5.24
19112025,59.47,1.81,1.81,1.9,1.72,1.78,-1.66
20112025,86.27,1.78,1.78,1.86,1.76,1.86,4.49
21112025,86.99,1.86,1.9,1.95,1.76,1.77,-4.84
24112025,93.48,1.77,1.82,1.85,1.73,1.81,2.26
25112025,83.01,1.81,1.81,1.9,1.8,1.88,3.87
26112025,63.79,1.88,1.96,1.96,1.79,1.81,-3.72
27112025,78.75,1.81,1.81,1.9,1.81,1.87,3.31
28112025,94.61,1.87,1.87,1.95,1.87,1.88,0.53
01122025,61.68,1.88,1.92,1.93,1.8,1.87,-0.53
02122025,91.85,1.87,1.9,1.96,1.86,1.91,2.14
03122025,79.48,1.91,1.95,1.98,1.84,1.92,0.52
04122025,97.52,1.92,1.94,1.94,1.88,1.91,-0.52
05122025,81.26,1.91,1.87,2.0,1.87,1.98,3.66
08122025,100.0,1.98,2.17,2.17,2.02,2.17,9.6
09122025,67.52,2.17,2.38,2.38,2.37,2.38,9.68
10122025,99.98,2.38,2.6,2.61,2.6,2.61,9.66
11122025,100.0,2.61,2.74,2.74,2.74,2.74,4.98
12122025,100.0,2.74,2.87,2.87,2.87,2.87,4.74
15122025,74.49,2.87,3.01,3.01,2.87,3.01,4.88
