Date,DelPerc
01102019,62.67
03102019,58.96
04102019,75.0
07102019,47.38
08102019,47.38
09102019,66.02
10102019,84.95
11102019,58.81
14102019,59.79
15102019,69.92
16102019,38.13
17102019,92.42
18102019,62.86
21102019,62.86
22102019,92.23
23102019,64.5
24102019,50.29
25102019,68.41
28102019,77.15
29102019,82.4
30102019,60.49
31102019,68.64
01112019,53.89
04112019,60.93
05112019,95.54
06112019,62.97
07112019,68.18
08112019,58.23
11112019,82.47
12112019,82.47
13112019,69.72
14112019,64.97
15112019,70.74
18112019,83.71
19112019,74.47
20112019,67.49
21112019,50.28
22112019,56.04
25112019,81.62
26112019,65.37
27112019,68.09
28112019,87.69
29112019,69.94
02122019,52.57
03122019,44.74
04122019,55.9
05122019,60.73
06122019,56.67
09122019,58.47
10122019,90.48
11122019,67.34
12122019,57.9
13122019,59.12
16122019,51.31
17122019,77.61
18122019,78.67
19122019,61.25
20122019,77.13
23122019,58.96
24122019,42.15
25122019,42.15
26122019,71.93
27122019,58.1
30122019,47.57
31122019,49.63
01012020,38.53
02012020,90.82
03012020,64.68
06012020,49.49
07012020,46.35
08012020,49.13
09012020,78.01
10012020,56.54
13012020,70.69
14012020,72.9
15012020,49.79
16012020,45.32
17012020,52.74
20012020,64.6
21012020,56.06
22012020,54.81
23012020,55.74
24012020,82.56
27012020,42.12
28012020,51.42
29012020,69.69
30012020,58.24
31012020,59.0
03022020,68.27
04022020,65.32
05022020,82.59
06022020,72.37
07022020,74.2
10022020,50.57
11022020,54.36
12022020,70.28
13022020,45.04
14022020,73.27
17022020,91.26
18022020,76.28
19022020,51.08
20022020,60.33
21022020,60.33
24022020,54.68
25022020,70.53
26022020,87.67
27022020,73.51
28022020,66.49
02032020,68.1
03032020,78.24
04032020,72.32
05032020,77.49
06032020,70.01
09032020,56.91
10032020,56.91
11032020,59.77
12032020,59.46
13032020,70.87
16032020,85.37
17032020,67.04
18032020,74.54
19032020,50.24
20032020,55.27
23032020,74.75
24032020,60.72
25032020,57.72
26032020,62.09
27032020,94.53
30032020,60.06
31032020,56.73
01042020,54.5
02042020,54.5
03042020,65.68
06042020,65.68
07042020,56.96
08042020,48.17
09042020,62.96
10042020,62.96
13042020,57.34
15042020,59.26
16042020,60.3
17042020,44.1
20042020,60.72
21042020,54.89
22042020,48.45
23042020,27.49
24042020,39.65
27042020,49.15
28042020,50.42
29042020,42.67
30042020,32.06
01052020,32.06
04052020,43.94
05052020,45.21
06052020,47.75
07052020,37.26
08052020,73.45
11052020,47.94
12052020,42.09
13052020,54.44
14052020,50.67
15052020,47.08
18052020,57.26
19052020,40.4
20052020,45.87
21052020,53.63
22052020,36.18
25052020,36.18
26052020,49.14
27052020,66.51
28052020,63.9
29052020,42.35
01062020,52.23
02062020,66.41
03062020,52.97
04062020,55.29
05062020,37.58
08062020,65.29
09062020,67.62
10062020,74.77
11062020,50.78
12062020,43.27
15062020,45.38
16062020,55.82
17062020,51.9
18062020,26.86
19062020,59.85
22062020,67.38
23062020,71.36
24062020,85.11
25062020,53.42
26062020,54.96
29062020,61.43
30062020,90.3
01072020,68.77
02072020,42.23
03072020,38.14
06072020,53.65
07072020,51.57
08072020,75.88
09072020,60.27
10072020,86.52
13072020,54.76
14072020,59.4
15072020,40.78
16072020,83.43
17072020,74.59
20072020,52.42
21072020,36.75
22072020,56.98
23072020,50.52
24072020,44.68
27072020,61.36
28072020,58.55
29072020,76.73
30072020,70.69
31072020,79.44
03082020,62.89
04082020,42.15
05082020,49.17
06082020,61.84
07082020,55.89
10082020,67.08
11082020,55.99
12082020,60.58
13082020,77.65
14082020,42.9
17082020,39.1
18082020,45.97
19082020,46.95
20082020,52.73
21082020,33.93
24082020,49.65
25082020,32.73
26082020,54.85
27082020,67.63
28082020,48.66
31082020,56.0
01092020,58.26
02092020,67.14
03092020,65.88
04092020,94.83
07092020,66.12
08092020,66.05
09092020,53.44
10092020,68.56
11092020,62.93
14092020,56.18
15092020,53.89
16092020,52.99
17092020,51.28
18092020,88.62
21092020,60.68
22092020,42.46
23092020,39.96
24092020,61.3
25092020,57.71
28092020,33.55
29092020,59.29
