Date,DelPerc
17102025,76.96
20102025,54.63
21102025,62.65
22102025,62.65
23102025,61.36
24102025,58.46
27102025,47.45
28102025,53.17
29102025,61.57
30102025,49.78
31102025,51.7
03112025,51.0
04112025,47.63
05112025,47.63
06112025,60.3
07112025,32.96
10112025,33.46
11112025,33.74
12112025,54.86
13112025,28.57
14112025,25.66
17112025,33.87
18112025,41.67
19112025,35.24
20112025,47.49
21112025,37.0
24112025,32.29
25112025,47.26
26112025,66.09
27112025,59.79
28112025,58.75
01122025,59.31
02122025,76.06
03122025,69.0
04122025,50.54
05122025,52.6
08122025,65.06
09122025,35.89
10122025,24.23
11122025,49.37
12122025,65.49
15122025,64.93
16122025,56.99
17122025,68.69
18122025,56.09
19122025,53.7
