Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,36.4,233.47,233.46,236.6,231.71,236.41,1.26
02012025,63.95,236.41,237.89,244.93,236.55,244.6,3.46
03012025,58.67,244.6,244.6,246.2,243.51,244.62,0.01
06012025,54.07,244.62,244.63,246.9,238.2,239.33,-2.16
07012025,43.05,239.33,239.33,241.1,238.74,239.21,-0.05
08012025,48.97,239.21,239.99,240.38,236.44,238.11,-0.46
09012025,43.48,238.11,238.99,239.99,237.0,237.5,-0.26
10012025,69.04,237.5,238.59,239.64,233.35,234.41,-1.3
13012025,52.52,234.41,234.41,234.41,228.4,229.07,-2.28
14012025,40.72,229.07,230.38,234.1,229.07,233.42,1.9
15012025,40.47,233.42,233.42,235.39,228.0,231.68,-0.75
16012025,44.62,231.68,236.95,236.95,232.26,233.67,0.86
17012025,58.61,233.67,234.45,234.45,231.33,233.02,-0.28
20012025,58.99,233.02,237.5,237.5,230.1,231.68,-0.58
21012025,46.95,231.68,233.12,233.5,227.5,228.06,-1.56
22012025,44.88,228.06,228.85,229.14,226.1,227.68,-0.17
23012025,52.28,227.68,228.0,230.76,226.11,230.3,1.15
24012025,66.5,230.3,231.04,231.04,226.22,226.7,-1.56
27012025,54.72,226.7,226.99,226.99,223.19,224.44,-1.0
28012025,38.64,224.44,224.45,229.47,223.02,227.69,1.45
29012025,48.04,227.69,226.56,231.53,226.55,230.61,1.28
30012025,45.9,230.61,229.11,231.73,227.15,230.07,-0.23
31012025,82.38,230.07,231.37,234.53,229.42,233.76,1.6
03022025,49.93,238.14,236.0,238.95,236.0,238.17,0.01
04022025,92.49,238.17,240.65,242.35,237.99,239.68,0.63
05022025,51.15,239.68,239.8,242.68,238.67,239.53,-0.06
06022025,49.53,239.53,241.99,242.0,237.18,237.55,-0.83
07022025,44.91,237.55,238.99,239.99,236.34,238.98,0.6
10022025,41.75,238.98,243.0,243.0,235.54,235.91,-1.28
11022025,50.46,235.91,240.0,240.0,230.1,230.59,-2.26
12022025,42.6,230.59,232.9,232.9,225.84,228.53,-0.89
13022025,44.26,228.53,231.37,231.37,227.54,228.18,-0.15
14022025,59.94,228.18,229.88,229.88,223.53,225.64,-1.11
17022025,46.23,225.64,227.12,228.56,221.01,223.78,-0.82
18022025,41.84,223.78,225.29,225.29,221.02,222.94,-0.38
19022025,48.77,222.94,222.75,223.72,220.51,222.54,-0.18
20022025,89.96,222.54,223.11,225.98,220.12,225.56,1.36
21022025,67.4,225.56,227.69,228.29,218.25,218.97,-2.92
24022025,53.0,218.97,218.99,219.98,216.49,219.44,0.21
25022025,47.41,219.44,220.88,221.9,218.7,220.38,0.43
27022025,57.11,220.38,222.0,224.0,216.43,217.16,-1.46
28022025,70.16,217.16,219.88,219.88,209.24,210.01,-3.29
03032025,46.07,210.01,212.0,212.96,208.0,209.91,-0.05
04032025,61.12,209.91,211.37,211.37,206.0,207.06,-1.36
05032025,46.25,207.06,208.85,212.91,207.51,212.26,2.51
06032025,44.47,212.26,213.42,214.88,211.85,213.91,0.78
07032025,39.28,213.91,213.89,216.26,213.0,214.54,0.29
10032025,50.63,214.54,214.0,215.9,211.5,212.09,-1.14
11032025,45.52,212.09,210.1,212.0,209.11,211.23,-0.41
12032025,37.57,211.23,213.33,213.33,210.3,212.39,0.55
13032025,58.68,212.39,212.99,213.88,209.71,210.11,-1.07
17032025,67.95,210.11,213.88,213.88,210.0,211.24,0.54
18032025,51.02,211.24,213.77,216.5,211.87,216.3,2.4
19032025,54.57,216.3,216.84,218.34,216.11,217.6,0.6
20032025,44.0,217.6,219.0,221.16,217.15,220.52,1.34
21032025,44.41,220.52,221.09,224.05,220.61,221.7,0.54
24032025,42.78,221.7,224.0,224.0,220.88,223.44,0.78
25032025,47.12,223.44,224.69,226.27,221.0,221.56,-0.84
26032025,45.62,221.56,221.0,223.51,220.5,221.53,-0.01
27032025,49.78,221.53,219.4,220.2,216.02,219.08,-1.11
28032025,56.4,219.08,219.16,219.4,216.17,216.87,-1.01
01042025,48.2,216.87,213.63,219.51,210.35,216.32,-0.25
02042025,61.75,216.32,218.99,218.99,215.97,218.47,0.99
03042025,62.59,218.47,223.0,223.0,214.53,216.32,-0.98
04042025,74.76,216.32,216.21,216.21,209.63,210.71,-2.59
07042025,63.62,210.71,209.63,209.63,197.07,202.66,-3.82
08042025,44.99,202.66,205.0,207.04,202.35,205.67,1.49
09042025,36.08,205.67,206.97,207.67,204.66,205.84,0.08
11042025,52.59,205.84,208.29,210.98,207.78,209.93,1.99
15042025,48.24,209.93,214.0,216.94,212.77,216.7,3.22
16042025,58.98,216.7,216.98,217.0,215.05,216.21,-0.23
17042025,43.73,216.21,216.2,218.86,214.01,218.49,1.05
21042025,49.01,218.49,218.49,223.06,216.68,222.81,1.98
22042025,50.85,222.81,222.81,224.12,220.53,223.26,0.2
23042025,51.31,223.26,224.0,229.5,223.31,228.56,2.37
24042025,51.51,228.56,228.56,229.69,227.11,228.12,-0.19
25042025,54.29,228.12,229.26,229.99,222.86,224.14,-1.74
28042025,50.92,224.14,228.0,228.38,223.05,227.62,1.55
29042025,48.9,227.62,230.37,230.37,220.79,227.51,-0.05
30042025,48.13,227.51,227.5,228.2,224.92,227.15,-0.16
02052025,47.49,227.15,228.28,231.12,226.05,226.87,-0.12
05052025,57.09,226.87,226.88,231.49,226.87,231.28,1.94
06052025,71.11,231.28,233.24,235.14,230.13,231.32,0.02
07052025,63.66,231.32,231.32,235.53,228.05,235.37,1.75
08052025,48.76,235.37,235.02,237.18,230.0,230.74,-1.97
09052025,68.27,230.74,230.15,232.13,227.06,230.32,-0.18
12052025,71.3,230.32,235.0,238.79,234.93,238.35,3.49
13052025,60.57,238.35,238.35,239.48,235.1,236.61,-0.73
14052025,41.24,236.61,243.71,243.71,234.24,238.34,0.73
15052025,62.48,238.34,238.48,243.1,237.6,242.58,1.78
16052025,54.94,242.58,242.63,244.5,242.5,244.0,0.59
19052025,59.18,244.0,247.0,247.0,243.35,244.83,0.34
20052025,54.37,244.83,244.83,246.05,239.14,239.91,-2.01
21052025,47.36,239.91,240.5,243.72,239.29,241.89,0.83
22052025,51.87,241.89,242.45,242.45,238.1,239.7,-0.91
23052025,40.45,239.7,240.89,241.55,238.52,240.12,0.18
26052025,45.13,240.12,241.77,243.81,239.72,242.76,1.1
27052025,59.09,242.76,241.0,244.99,240.01,241.23,-0.63
28052025,62.14,241.23,248.47,248.47,239.45,239.7,-0.63
29052025,46.28,239.7,246.89,246.89,239.31,240.46,0.32
30052025,73.28,240.46,240.97,241.0,238.0,238.48,-0.82
02062025,52.4,238.48,244.0,244.0,236.55,238.11,-0.16
03062025,38.65,238.11,239.3,239.9,237.0,237.57,-0.23
04062025,58.04,237.57,240.0,240.0,237.12,237.98,0.17
05062025,46.8,237.98,238.5,239.5,236.33,237.97,-0.0
06062025,53.91,237.97,238.96,242.29,237.22,241.99,1.69
09062025,50.12,241.99,245.0,245.0,241.99,243.1,0.46
10062025,51.39,243.1,242.03,243.74,242.03,242.7,-0.16
11062025,48.03,242.7,242.71,244.88,242.43,243.04,0.14
12062025,53.08,243.04,244.25,244.39,238.39,239.05,-1.64
13062025,56.83,239.05,241.27,241.27,234.11,238.68,-0.15
16062025,46.35,238.68,242.56,242.56,235.88,238.79,0.05
