Date,DelPerc
08022022,44.39
09022022,24.18
10022022,26.19
11022022,23.01
14022022,19.68
15022022,27.51
16022022,31.72
17022022,35.76
18022022,25.58
21022022,29.3
22022022,26.78
23022022,33.27
24022022,20.71
25022022,29.78
28022022,23.76
01032022,23.76
02032022,24.61
03032022,31.0
04032022,35.18
07032022,37.86
08032022,38.62
09032022,56.0
10032022,43.9
11032022,33.1
14032022,49.16
15032022,31.06
16032022,38.77
17032022,28.67
18032022,28.67
21032022,29.86
22032022,28.26
23032022,24.85
24032022,28.3
25032022,26.87
28032022,26.62
29032022,19.28
30032022,23.78
31032022,28.6
01042022,27.24
04042022,29.11
05042022,31.22
06042022,36.12
07042022,55.47
08042022,95.59
11042022,40.68
12042022,29.51
13042022,25.42
14042022,25.42
15042022,25.42
18042022,29.45
19042022,30.44
20042022,28.88
21042022,32.29
22042022,24.39
25042022,27.08
26042022,42.37
27042022,21.95
28042022,31.35
29042022,22.06
02052022,33.16
03052022,33.16
04052022,36.87
16082022,49.27
17082022,42.56
18082022,39.41
19082022,34.29
22082022,36.1
23082022,44.21
24082022,39.11
25082022,43.15
26082022,50.45
29082022,36.5
30082022,42.95
31082022,42.95
01092022,57.15
02092022,58.13
05092022,59.47
06092022,39.49
07092022,38.8
08092022,52.89
09092022,42.55
12092022,45.96
13092022,53.01
14092022,51.02
15092022,44.31
16092022,46.36
19092022,45.7
20092022,69.09
21092022,31.27
22092022,32.12
23092022,36.13
26092022,36.8
27092022,28.79
28092022,31.53
29092022,33.84
30092022,31.34
03102022,42.18
04102022,27.44
05102022,27.44
06102022,46.77
07102022,32.66
10102022,31.64
11102022,40.61
12102022,32.55
13102022,37.49
14102022,37.38
17102022,23.21
18102022,24.94
19102022,27.25
20102022,27.41
21102022,39.44
24102022,56.66
25102022,43.88
26102022,43.88
27102022,45.36
28102022,26.75
31102022,43.2
01112022,26.89
02112022,31.6
03112022,28.35
04112022,26.88
07112022,34.95
08112022,34.95
09112022,28.32
10112022,43.03
11112022,47.54
14112022,44.92
