Date,DelPerc
16092024,51.38
17092024,33.59
18092024,28.44
19092024,34.23
20092024,30.35
23092024,40.93
24092024,49.79
25092024,46.49
26092024,20.7
27092024,37.02
30092024,43.36
01102024,55.06
03102024,48.77
04102024,30.19
07102024,46.95
08102024,23.35
09102024,22.51
10102024,35.91
11102024,33.5
14102024,59.74
15102024,48.9
16102024,34.26
17102024,51.57
18102024,32.43
21102024,47.01
22102024,31.84
23102024,35.61
24102024,55.21
25102024,34.43
28102024,42.29
29102024,39.89
30102024,33.84
31102024,33.29
01112024,58.52
04112024,44.67
05112024,37.26
06112024,42.27
07112024,34.95
08112024,48.01
11112024,50.82
12112024,56.56
13112024,51.8
14112024,51.06
18112024,52.49
19112024,50.26
20112024,50.26
21112024,50.41
22112024,45.24
25112024,43.53
26112024,41.92
27112024,44.28
28112024,28.52
29112024,38.06
02122024,39.81
03122024,36.78
04122024,33.6
05122024,33.57
06122024,40.23
09122024,40.2
10122024,48.94
11122024,37.47
12122024,59.4
13122024,50.96
16122024,59.13
17122024,63.14
18122024,59.75
19122024,47.65
20122024,57.72
23122024,53.11
24122024,39.5
25122024,39.5
26122024,60.11
27122024,46.02
30122024,40.39
31122024,45.87
01012025,48.12
02012025,63.62
03012025,58.58
06012025,48.06
07012025,53.0
08012025,32.52
09012025,50.48
10012025,43.16
13012025,53.26
14012025,42.47
15012025,51.83
16012025,49.91
17012025,53.0
20012025,39.77
21012025,44.53
22012025,50.34
23012025,52.99
24012025,47.77
27012025,54.17
28012025,24.28
29012025,33.55
30012025,32.95
31012025,42.78
03022025,38.17
04022025,47.91
05022025,56.15
06022025,62.77
07022025,35.85
10022025,41.54
11022025,46.63
12022025,30.23
13022025,38.78
14022025,45.26
17022025,33.09
18022025,42.86
19022025,37.42
20022025,33.49
21022025,36.47
24022025,39.96
25022025,42.01
27022025,41.79
28022025,49.93
03032025,43.89
04032025,37.48
05032025,42.08
06032025,45.5
07032025,42.11
10032025,45.93
11032025,53.18
12032025,54.18
13032025,59.57
17032025,59.47
18032025,54.95
19032025,51.7
20032025,57.65
21032025,58.19
24032025,61.6
25032025,60.12
26032025,50.59
27032025,60.92
28032025,38.06
01042025,36.99
02042025,43.0
03042025,45.45
04042025,46.58
07042025,39.59
08042025,46.43
09042025,35.86
11042025,51.34
15042025,47.93
16042025,35.29
17042025,43.26
21042025,46.37
22042025,47.46
23042025,38.68
24042025,31.89
25042025,38.16
28042025,29.18
29042025,40.2
30042025,39.08
02052025,43.6
05052025,41.48
06052025,51.13
07052025,33.58
08052025,37.94
09052025,38.61
12052025,60.41
13052025,68.88
14052025,42.77
15052025,45.01
16052025,45.95
19052025,39.97
20052025,49.92
21052025,39.81
22052025,38.85
23052025,37.2
26052025,47.5
27052025,47.77
28052025,53.08
29052025,56.12
30052025,65.36
02062025,46.03
03062025,53.48
04062025,51.96
05062025,46.63
06062025,48.12
09062025,51.37
10062025,60.31
11062025,47.02
12062025,56.97
13062025,47.43
16062025,41.15
17062025,57.97
18062025,48.59
19062025,59.58
20062025,48.16
23062025,48.52
24062025,45.68
25062025,47.16
26062025,50.25
27062025,53.83
30062025,56.33
01072025,51.54
02072025,54.56
03072025,50.22
04072025,40.19
07072025,57.98
08072025,57.2
09072025,46.46
10072025,47.78
11072025,58.34
14072025,55.13
15072025,45.37
16072025,46.45
17072025,55.1
18072025,61.97
21072025,56.56
22072025,57.28
23072025,50.59
24072025,52.2
25072025,65.02
28072025,57.55
29072025,54.04
30072025,53.46
31072025,56.07
01082025,62.32
04082025,48.67
05082025,53.33
06082025,54.08
07082025,48.16
08082025,50.99
11082025,48.94
12082025,52.83
13082025,62.18
14082025,20.13
18082025,40.0
19082025,47.99
20082025,50.44
21082025,66.38
22082025,57.18
25082025,51.29
26082025,57.19
28082025,56.81
29082025,60.21
01092025,52.2
02092025,53.48
03092025,59.64
04092025,53.04
05092025,48.85
08092025,54.82
09092025,61.11
10092025,55.14
11092025,59.46
12092025,55.86
15092025,42.95
16092025,46.48
17092025,54.32
18092025,59.93
19092025,54.1
22092025,63.94
23092025,65.09
24092025,60.55
25092025,63.25
26092025,63.24
29092025,50.75
30092025,69.45
01102025,52.12
03102025,59.47
06102025,49.09
07102025,55.65
08102025,55.15
09102025,62.79
10102025,65.81
13102025,64.74
14102025,63.32
15102025,56.6
16102025,60.41
17102025,55.03
20102025,57.5
21102025,60.89
22102025,60.89
23102025,58.32
24102025,59.54
27102025,64.41
28102025,63.68
29102025,55.38
30102025,43.13
31102025,60.56
03112025,60.69
04112025,58.95
05112025,58.95
06112025,58.88
07112025,35.95
10112025,58.59
11112025,59.88
12112025,53.3
13112025,58.63
14112025,62.13
17112025,67.17
18112025,62.31
19112025,60.07
20112025,53.23
21112025,58.89
24112025,53.38
25112025,61.03
26112025,70.47
27112025,37.26
28112025,54.32
01122025,52.57
02122025,40.33
03122025,40.85
04122025,39.67
05122025,48.78
08122025,48.71
09122025,48.31
10122025,54.39
11122025,81.31
12122025,55.53
15122025,51.14
16122025,49.2
17122025,53.84
18122025,49.63
19122025,52.37
22122025,56.07
23122025,57.22
24122025,66.12
25122025,66.12
26122025,55.57
29122025,61.57
30122025,58.62
31122025,58.99
01012026,35.62
02012026,61.21
05012026,52.42
06012026,79.99
07012026,60.44
08012026,52.99
09012026,54.67
12012026,49.43
13012026,56.73
14012026,54.19
15012026,54.19
16012026,60.65
19012026,60.62
20012026,49.46
21012026,43.24
22012026,50.53
23012026,63.82
27012026,47.14
28012026,63.92
29012026,64.29
30012026,21.97
02022026,40.81
03022026,49.11
04022026,48.33
05022026,54.73
06022026,44.0
09022026,59.5
10022026,47.79
