Date,DelPerc
01102019,100.0
03102019,83.08
04102019,95.81
07102019,99.6
08102019,99.6
09102019,44.97
10102019,78.93
11102019,99.81
14102019,75.88
15102019,77.1
16102019,73.95
17102019,80.45
18102019,98.36
21102019,98.36
22102019,100.0
23102019,75.82
24102019,72.51
25102019,100.0
28102019,63.14
29102019,65.14
30102019,66.39
31102019,87.2
01112019,88.93
04112019,71.23
05112019,84.8
06112019,99.81
07112019,84.05
08112019,69.24
11112019,100.0
12112019,100.0
13112019,81.46
14112019,80.43
15112019,78.74
18112019,48.95
19112019,85.37
20112019,63.75
21112019,59.31
22112019,38.27
25112019,46.39
26112019,100.0
27112019,91.04
28112019,77.92
29112019,91.67
02122019,5.35
03122019,95.18
04122019,51.64
05122019,38.61
06122019,84.15
09122019,100.0
10122019,92.01
11122019,99.79
12122019,87.72
13122019,100.0
16122019,99.67
17122019,68.55
18122019,11.35
19122019,83.33
20122019,22.51
23122019,84.48
24122019,91.25
25122019,91.25
26122019,76.66
27122019,96.35
30122019,53.1
31122019,68.9
01012020,99.64
02012020,30.4
03012020,82.45
06012020,50.0
07012020,30.43
08012020,100.0
09012020,92.8
10012020,99.87
13012020,40.41
14012020,52.6
15012020,31.66
16012020,35.87
17012020,64.08
20012020,43.05
21012020,52.14
22012020,94.4
23012020,58.36
24012020,94.31
27012020,66.23
28012020,64.84
29012020,72.38
30012020,93.16
31012020,90.36
03022020,44.17
04022020,38.39
05022020,86.47
06022020,51.91
07022020,57.35
10022020,75.92
11022020,93.31
12022020,10.61
13022020,100.0
14022020,66.22
17022020,70.65
18022020,56.37
19022020,39.87
20022020,91.32
21022020,91.32
24022020,83.58
25022020,98.63
26022020,46.67
27022020,80.46
28022020,81.86
02032020,49.79
03032020,66.41
04032020,97.12
05032020,9.22
06032020,32.2
09032020,99.01
10032020,99.01
11032020,90.86
12032020,95.1
13032020,79.68
16032020,50.37
17032020,69.16
18032020,57.56
19032020,92.33
20032020,59.52
23032020,54.65
24032020,85.6
25032020,95.98
26032020,82.53
27032020,73.89
30032020,87.85
31032020,58.94
01042020,60.08
02042020,60.08
03042020,43.43
06042020,43.43
07042020,87.45
08042020,84.38
09042020,38.96
10042020,38.96
13042020,84.93
15042020,49.34
16042020,43.83
17042020,87.24
20042020,98.06
21042020,99.51
22042020,100.0
23042020,84.97
24042020,92.19
27042020,99.41
28042020,70.85
29042020,91.01
30042020,99.6
01052020,99.6
04052020,42.47
05052020,100.0
06052020,99.17
07052020,100.0
08052020,99.45
11052020,65.65
12052020,100.0
13052020,99.54
14052020,65.91
15052020,85.12
18052020,99.2
19052020,95.24
20052020,98.9
21052020,67.37
22052020,100.0
25052020,100.0
26052020,99.83
27052020,99.65
28052020,99.77
29052020,99.11
01062020,99.58
02062020,58.97
03062020,46.59
04062020,98.58
05062020,98.8
08062020,86.0
09062020,100.0
10062020,56.09
11062020,94.37
12062020,89.23
15062020,82.52
16062020,80.95
17062020,20.0
18062020,62.63
19062020,53.15
22062020,35.01
23062020,66.25
24062020,66.41
25062020,80.3
26062020,75.58
29062020,78.08
30062020,65.05
01072020,42.02
02072020,59.26
03072020,27.48
06072020,25.26
07072020,53.99
08072020,39.66
09072020,23.7
10072020,10.18
13072020,29.51
14072020,74.68
15072020,93.34
16072020,51.46
17072020,97.79
20072020,49.95
21072020,22.15
22072020,30.39
23072020,65.79
24072020,29.23
27072020,36.82
28072020,65.44
29072020,82.4
30072020,25.92
31072020,47.79
03082020,48.04
04082020,58.12
05082020,63.89
06082020,44.68
07082020,82.79
10082020,68.0
11082020,51.59
12082020,45.25
13082020,69.12
14082020,95.81
17082020,42.82
18082020,53.24
19082020,39.63
20082020,31.24
21082020,37.0
24082020,67.82
25082020,73.6
26082020,66.56
27082020,56.67
28082020,76.68
31082020,65.2
01092020,84.97
02092020,72.14
03092020,52.96
04092020,44.83
07092020,82.65
08092020,82.45
09092020,58.06
10092020,87.86
11092020,70.4
14092020,67.77
15092020,92.05
16092020,77.49
17092020,78.97
18092020,65.62
21092020,71.31
22092020,95.6
23092020,86.28
24092020,92.49
25092020,53.62
28092020,85.14
29092020,83.72
30092020,92.71
01102020,97.36
05102020,92.78
06102020,41.19
07102020,80.84
08102020,81.95
09102020,36.92
12102020,62.7
13102020,57.1
14102020,63.35
15102020,51.61
16102020,28.07
19102020,22.97
20102020,51.79
21102020,45.34
22102020,52.46
23102020,53.68
26102020,70.87
27102020,60.88
28102020,70.87
29102020,79.51
30102020,32.78
02112020,80.7
03112020,51.42
04112020,65.06
05112020,31.11
06112020,55.32
09112020,63.32
10112020,60.61
11112020,53.85
