Date,DelPerc
08102024,26.45
09102024,56.57
10102024,77.54
11102024,57.47
14102024,54.89
15102024,73.63
16102024,92.2
17102024,85.63
18102024,72.47
21102024,63.68
22102024,89.24
23102024,96.94
24102024,50.0
25102024,92.23
28102024,99.6
29102024,55.62
30102024,96.58
31102024,52.38
01112024,73.41
04112024,66.08
05112024,98.24
06112024,98.99
07112024,87.4
08112024,55.11
11112024,98.96
12112024,89.14
13112024,99.42
14112024,83.93
18112024,77.38
19112024,87.64
20112024,87.64
21112024,10.61
22112024,64.7
25112024,76.09
26112024,57.91
27112024,58.91
28112024,86.15
29112024,99.89
02122024,63.71
03122024,56.88
04122024,82.65
05122024,92.24
06122024,90.85
09122024,57.54
10122024,63.55
11122024,87.3
12122024,88.7
13122024,72.92
16122024,58.46
17122024,99.88
18122024,99.89
19122024,99.93
20122024,90.96
23122024,99.17
24122024,99.65
25122024,99.65
26122024,67.31
27122024,81.85
30122024,62.57
31122024,33.33
01012025,91.55
02012025,94.21
03012025,37.17
06012025,46.92
07012025,92.98
08012025,99.24
09012025,86.56
10012025,99.01
13012025,69.85
14012025,41.54
15012025,72.38
16012025,39.39
17012025,82.33
20012025,64.26
21012025,58.63
22012025,77.36
23012025,54.21
24012025,35.24
27012025,67.86
28012025,63.27
29012025,67.05
30012025,50.98
31012025,97.2
03022025,99.12
04022025,53.68
05022025,62.68
06022025,57.57
07022025,74.85
10022025,54.3
11022025,85.16
12022025,82.4
13022025,75.5
14022025,14.91
17022025,61.68
18022025,71.03
19022025,66.45
20022025,87.38
21022025,57.91
24022025,87.68
25022025,60.01
27022025,86.85
28022025,85.44
03032025,84.58
04032025,46.06
05032025,59.03
06032025,69.62
07032025,59.01
10032025,74.7
11032025,52.62
12032025,79.01
13032025,58.73
17032025,56.92
18032025,98.49
19032025,45.29
20032025,77.49
21032025,50.24
24032025,54.49
25032025,67.43
26032025,21.01
27032025,81.84
28032025,47.2
01042025,72.49
02042025,75.49
03042025,84.77
04042025,94.95
07042025,94.17
08042025,19.9
09042025,84.57
11042025,58.84
15042025,93.39
16042025,67.88
17042025,80.47
21042025,58.21
22042025,62.75
23042025,58.7
24042025,55.03
25042025,79.89
28042025,64.07
29042025,54.98
30042025,87.7
02052025,84.63
05052025,99.85
06052025,96.4
07052025,73.45
08052025,91.92
09052025,53.65
12052025,85.24
13052025,66.5
14052025,95.03
15052025,86.1
16052025,99.24
19052025,70.47
20052025,86.17
21052025,55.27
22052025,58.29
23052025,99.36
26052025,79.31
27052025,63.14
28052025,82.63
29052025,93.04
30052025,31.35
02062025,67.74
03062025,55.87
04062025,59.23
05062025,93.39
06062025,50.18
09062025,76.89
10062025,51.03
11062025,96.94
12062025,90.94
13062025,82.88
16062025,84.19
17062025,57.54
18062025,88.61
19062025,70.27
20062025,81.75
23062025,85.6
24062025,41.73
25062025,64.56
26062025,52.59
27062025,75.88
30062025,65.01
01072025,60.42
02072025,93.24
03072025,81.33
04072025,90.7
07072025,83.65
08072025,93.59
09072025,74.09
10072025,58.94
11072025,80.46
14072025,49.76
15072025,91.47
16072025,84.91
17072025,34.81
18072025,69.25
21072025,57.79
22072025,55.3
23072025,97.53
24072025,97.24
25072025,81.12
28072025,33.81
29072025,72.85
30072025,45.75
31072025,74.21
01082025,71.76
04082025,55.35
05082025,76.05
06082025,46.15
07082025,36.81
08082025,46.39
11082025,56.05
12082025,97.62
13082025,55.34
14082025,62.75
18082025,46.71
19082025,97.77
20082025,96.75
21082025,74.45
22082025,38.76
25082025,72.42
26082025,76.04
28082025,71.33
29082025,63.17
01092025,77.22
02092025,67.83
03092025,65.98
04092025,99.68
05092025,79.36
08092025,56.41
09092025,66.12
10092025,88.37
11092025,89.87
12092025,65.82
15092025,52.64
16092025,99.05
17092025,26.76
18092025,64.79
19092025,95.77
22092025,78.82
23092025,29.14
24092025,63.35
25092025,87.14
26092025,75.46
29092025,77.17
30092025,67.88
01102025,55.71
03102025,70.9
06102025,48.42
07102025,64.32
08102025,97.33
09102025,54.28
10102025,95.54
13102025,76.84
14102025,89.96
15102025,60.63
16102025,52.38
17102025,53.6
20102025,57.35
21102025,47.07
22102025,47.07
23102025,63.19
24102025,58.24
27102025,91.05
28102025,87.95
29102025,84.05
30102025,87.44
31102025,62.02
03112025,91.69
04112025,63.92
05112025,63.92
06112025,56.81
07112025,55.31
10112025,57.02
11112025,79.02
12112025,69.98
13112025,57.37
14112025,76.27
17112025,52.69
18112025,95.98
19112025,98.16
20112025,56.79
21112025,75.29
24112025,90.36
25112025,68.04
26112025,72.91
27112025,77.24
28112025,65.9
01122025,72.94
02122025,72.06
03122025,57.14
04122025,68.23
05122025,61.38
08122025,59.48
09122025,61.19
10122025,87.98
11122025,63.68
12122025,93.53
15122025,80.94
16122025,77.82
17122025,55.9
18122025,72.08
19122025,49.2
22122025,73.42
23122025,49.49
24122025,88.33
25122025,88.33
26122025,78.66
29122025,94.63
30122025,65.11
31122025,94.42
01012026,81.04
02012026,68.63
05012026,70.05
06012026,52.0
07012026,53.76
08012026,72.16
09012026,55.59
12012026,47.23
13012026,50.78
14012026,49.91
15012026,49.91
16012026,61.95
19012026,94.44
20012026,81.44
21012026,76.55
22012026,41.73
23012026,62.18
27012026,61.28
28012026,56.13
29012026,36.25
30012026,73.33
02022026,42.21
03022026,54.71
04022026,62.11
05022026,74.48
06022026,72.19
09022026,80.47
10022026,69.58
