Date,DelPerc
01102019,61.92
03102019,61.16
04102019,63.33
07102019,72.51
08102019,72.51
09102019,56.45
10102019,48.74
11102019,41.64
14102019,45.93
15102019,58.11
16102019,50.32
17102019,48.98
18102019,67.77
21102019,67.77
22102019,60.01
23102019,41.96
24102019,62.58
25102019,49.26
28102019,68.04
29102019,78.52
30102019,72.21
31102019,64.94
01112019,55.06
04112019,59.88
05112019,65.21
06112019,72.36
07112019,78.02
08112019,59.92
11112019,58.12
12112019,58.12
13112019,69.37
14112019,65.18
15112019,80.56
18112019,84.17
19112019,76.2
20112019,83.55
21112019,63.75
22112019,65.0
25112019,83.18
26112019,71.67
27112019,54.21
28112019,56.26
29112019,71.28
02122019,81.59
03122019,60.52
04122019,50.03
05122019,65.71
06122019,67.73
09122019,42.8
10122019,51.42
11122019,42.36
12122019,71.17
13122019,62.65
16122019,60.91
17122019,44.84
18122019,87.98
19122019,52.36
20122019,59.94
23122019,68.55
24122019,21.81
25122019,21.81
26122019,70.03
27122019,69.49
30122019,58.01
31122019,36.93
01012020,71.12
02012020,61.81
03012020,39.07
06012020,61.94
07012020,47.63
08012020,48.34
09012020,51.95
10012020,46.91
13012020,65.1
14012020,46.72
15012020,47.47
16012020,60.36
17012020,65.1
20012020,68.84
21012020,42.87
22012020,72.3
23012020,37.98
24012020,50.69
27012020,77.64
28012020,78.08
29012020,46.73
30012020,48.0
31012020,32.68
03022020,71.6
04022020,59.25
05022020,50.13
06022020,75.46
07022020,64.2
10022020,74.2
11022020,79.21
12022020,60.44
13022020,68.95
14022020,59.54
17022020,65.36
18022020,86.21
19022020,52.13
20022020,59.18
21022020,59.18
24022020,61.19
25022020,60.48
26022020,39.99
27022020,57.24
28022020,63.76
02032020,68.71
03032020,69.69
04032020,51.35
05032020,56.42
06032020,52.63
09032020,81.26
10032020,81.26
11032020,65.81
12032020,66.33
13032020,62.61
16032020,68.76
17032020,77.69
18032020,70.49
19032020,67.0
20032020,63.65
23032020,76.92
24032020,65.82
25032020,65.2
26032020,57.0
27032020,46.8
30032020,77.65
31032020,79.8
01042020,56.13
02042020,56.13
03042020,66.59
06042020,66.59
07042020,53.72
08042020,56.43
09042020,55.45
10042020,55.45
13042020,63.39
15042020,54.29
16042020,76.58
17042020,71.67
20042020,61.82
21042020,72.65
22042020,52.09
23042020,69.92
24042020,41.62
27042020,63.67
28042020,58.59
29042020,56.28
30042020,57.83
01052020,57.83
04052020,21.91
05052020,40.33
06052020,50.33
07052020,74.14
08052020,61.78
11052020,63.75
12052020,79.86
13052020,64.74
14052020,63.46
15052020,75.94
18052020,78.5
19052020,66.12
20052020,80.9
21052020,93.51
22052020,74.2
25052020,74.2
26052020,81.64
27052020,69.13
28052020,74.02
29052020,52.12
01062020,60.49
02062020,63.48
03062020,81.75
04062020,58.32
05062020,50.0
08062020,62.44
09062020,64.78
10062020,48.04
11062020,59.89
12062020,67.28
15062020,69.75
16062020,74.43
17062020,43.29
18062020,47.23
19062020,48.82
22062020,65.18
23062020,34.33
24062020,45.6
25062020,20.54
26062020,56.85
29062020,58.51
30062020,53.22
01072020,32.9
02072020,49.35
03072020,34.82
06072020,44.3
