Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,63.91,77.88,77.89,83.7,77.13,78.6,0.92
02012025,49.57,78.6,78.61,79.37,77.71,78.84,0.31
03012025,43.9,78.84,78.84,80.02,76.86,78.48,-0.46
06012025,60.67,78.48,79.97,79.97,76.86,77.07,-1.8
07012025,56.37,77.07,77.0,79.06,76.81,77.26,0.25
08012025,89.41,77.26,77.14,77.3,76.49,77.25,-0.01
09012025,93.69,77.25,78.8,78.8,76.09,76.7,-0.71
10012025,50.37,76.7,78.23,78.23,74.91,76.56,-0.18
13012025,77.48,76.56,80.01,80.01,74.5,75.69,-1.14
14012025,54.21,75.69,74.2,77.67,74.2,75.94,0.33
15012025,95.86,75.94,77.47,77.47,75.41,76.02,0.11
16012025,84.77,76.02,77.54,77.61,76.0,76.0,-0.03
17012025,58.64,76.0,78.3,78.3,75.61,75.65,-0.46
20012025,54.41,75.65,77.9,78.3,75.7,76.33,0.9
21012025,73.96,76.33,77.8,77.8,75.12,75.25,-1.41
22012025,71.4,75.25,75.13,76.38,75.03,75.79,0.72
23012025,90.34,75.79,75.82,76.04,75.52,75.84,0.07
24012025,81.48,75.84,77.37,77.37,75.41,75.56,-0.37
27012025,96.49,75.56,77.13,77.13,74.4,74.69,-1.15
28012025,72.21,74.69,74.41,75.62,74.0,75.21,0.7
29012025,84.95,75.21,75.21,76.34,74.03,75.89,0.9
30012025,55.05,75.89,77.41,80.0,75.28,76.22,0.43
31012025,96.07,76.22,77.69,77.69,76.2,76.85,0.83
03022025,89.42,76.87,78.41,78.41,75.77,76.43,-0.57
04022025,69.39,76.43,76.43,77.88,76.41,77.7,1.66
05022025,69.85,77.7,78.0,78.0,77.31,77.47,-0.3
06022025,54.05,77.47,77.55,77.55,76.84,77.42,-0.06
07022025,69.43,77.42,77.42,78.59,76.56,77.02,-0.52
10022025,70.89,77.02,76.32,77.07,76.19,76.48,-0.7
11022025,83.35,76.48,78.01,78.01,61.64,75.69,-1.03
12022025,79.06,75.69,75.69,75.83,74.72,75.62,-0.09
13022025,20.85,75.62,77.13,77.13,74.5,75.35,-0.36
14022025,61.9,75.35,76.86,76.86,74.73,75.15,-0.27
17022025,73.61,75.15,76.65,76.88,74.42,75.4,0.33
18022025,66.12,75.4,75.4,75.45,74.78,75.1,-0.4
19022025,47.91,75.1,75.36,75.67,75.04,75.11,0.01
20022025,93.03,75.11,75.11,75.21,74.77,75.08,-0.04
21022025,89.88,75.08,76.7,76.7,74.23,74.79,-0.39
24022025,86.47,74.79,76.37,76.37,73.67,73.81,-1.31
25022025,73.46,73.81,75.29,75.29,73.45,73.98,0.23
27022025,52.58,73.98,74.38,74.38,73.6,73.85,-0.18
28022025,99.86,73.85,73.85,73.85,72.5,72.73,-1.52
03032025,80.83,72.73,74.18,74.18,71.96,72.51,-0.3
04032025,54.56,72.51,72.51,72.55,72.0,72.43,-0.11
05032025,83.46,72.43,72.43,73.29,72.43,73.12,0.95
06032025,77.7,73.12,73.12,73.78,72.55,73.57,0.62
07032025,52.92,73.57,75.27,75.6,73.2,73.42,-0.2
10032025,36.61,73.42,75.0,75.47,73.21,73.37,-0.07
11032025,71.21,73.37,73.37,73.52,72.79,73.23,-0.19
12032025,91.53,73.23,73.99,74.0,72.8,73.5,0.37
13032025,96.99,73.5,75.27,75.27,73.18,73.29,-0.29
17032025,65.46,73.29,73.29,73.94,73.22,73.23,-0.08
18032025,84.37,73.23,71.4,74.33,71.4,74.33,1.5
19032025,69.05,74.33,74.86,74.92,74.53,74.88,0.74
20032025,89.62,74.88,75.5,75.86,74.95,75.51,0.84
21032025,82.11,75.51,76.85,76.85,75.07,76.12,0.81
24032025,86.35,76.12,77.97,79.0,76.08,78.02,2.5
25032025,61.0,78.02,79.97,79.97,76.62,77.11,-1.17
26032025,80.53,77.11,77.1,78.87,76.46,76.71,-0.52
27032025,94.08,76.71,76.1,77.33,76.1,76.66,-0.07
28032025,98.86,76.66,78.57,78.57,75.53,76.49,-0.22
01042025,91.25,76.49,76.6,76.94,75.25,75.47,-1.33
02042025,49.78,75.47,75.47,76.1,75.3,75.79,0.42
03042025,89.41,75.79,77.31,77.31,75.19,75.55,-0.32
04042025,98.91,75.55,77.27,77.27,74.43,74.79,-1.01
07042025,71.73,74.79,74.75,76.05,71.24,71.99,-3.74
08042025,67.7,71.99,73.25,73.96,72.86,73.72,2.4
09042025,78.81,73.72,73.84,73.94,72.39,73.2,-0.71
11042025,49.94,73.2,74.0,75.5,74.0,74.58,1.89
15042025,82.01,74.58,76.57,76.57,72.72,75.84,1.69
16042025,78.42,75.84,77.7,77.7,75.7,76.15,0.41
17042025,92.11,76.15,76.16,78.0,75.88,77.81,2.18
21042025,3.4,77.81,77.8,79.37,77.29,78.63,1.05
22042025,83.54,78.63,79.29,79.29,77.79,78.84,0.27
23042025,68.57,78.84,78.83,79.75,78.61,79.18,0.43
24042025,99.39,79.18,79.19,79.37,78.75,79.08,-0.13
25042025,85.27,79.08,79.99,79.99,77.83,78.26,-1.04
28042025,81.83,78.26,77.93,79.88,74.74,79.29,1.32
29042025,57.05,79.29,80.97,80.97,79.19,79.69,0.5
30042025,98.18,79.69,80.93,80.93,79.26,79.63,-0.08
02052025,91.68,79.63,79.51,80.9,79.43,79.84,0.26
05052025,52.64,79.84,81.44,81.44,79.82,79.88,0.05
06052025,78.28,79.88,79.88,80.01,79.56,79.74,-0.18
07052025,96.98,79.74,82.13,82.13,78.14,79.8,0.08
08052025,93.18,79.8,80.19,80.19,79.12,79.49,-0.39
09052025,71.66,79.49,79.12,80.05,78.33,78.61,-1.11
12052025,93.3,78.61,80.58,81.51,79.64,81.47,3.64
