Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,20.6,1758.65,1760.4,1822.0,1752.05,1808.65,2.84
02012025,30.76,1808.65,1818.0,1818.7,1775.05,1804.85,-0.21
03012025,32.51,1804.85,1810.0,1828.5,1800.05,1805.35,0.03
06012025,41.9,1805.35,1807.4,1816.9,1723.0,1731.25,-4.1
07012025,34.42,1731.25,1732.0,1772.0,1726.65,1758.75,1.59
08012025,29.22,1758.75,1760.4,1760.6,1698.0,1722.4,-2.07
09012025,34.23,1722.4,1718.85,1723.5,1671.0,1673.95,-2.81
10012025,36.7,1673.95,1671.65,1687.3,1590.0,1594.45,-4.75
13012025,37.12,1594.45,1574.85,1598.0,1516.75,1529.25,-4.09
14012025,28.17,1529.25,1544.0,1588.0,1527.7,1572.5,2.83
15012025,29.15,1572.5,1586.0,1642.25,1569.1,1602.9,1.93
16012025,35.1,1602.9,1631.0,1633.8,1590.25,1603.25,0.02
17012025,32.39,1603.25,1606.95,1616.35,1587.1,1597.9,-0.33
20012025,37.3,1597.9,1607.7,1619.35,1591.3,1598.4,0.03
21012025,40.55,1598.4,1600.05,1606.0,1522.0,1527.55,-4.43
22012025,29.79,1527.55,1526.0,1526.0,1474.05,1504.7,-1.5
23012025,30.62,1504.7,1503.85,1528.7,1485.45,1516.15,0.76
24012025,41.71,1516.15,1525.0,1542.0,1491.85,1500.25,-1.05
27012025,31.87,1500.25,1400.0,1420.2,1323.0,1344.05,-10.41
28012025,27.26,1344.05,1339.0,1341.0,1242.5,1264.6,-5.91
29012025,28.26,1264.6,1270.0,1300.0,1257.65,1291.45,2.12
30012025,34.99,1291.45,1304.7,1319.1,1259.5,1270.8,-1.6
31012025,36.97,1270.8,1285.0,1315.9,1271.0,1309.7,3.06
03022025,42.36,1306.9,1300.0,1302.75,1238.5,1247.05,-4.58
04022025,40.07,1247.05,1266.0,1293.95,1258.1,1290.5,3.48
05022025,27.71,1290.5,1307.0,1356.0,1304.95,1348.85,4.52
