Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,56.92,756.65,756.95,761.55,745.0,757.15,0.07
02012025,76.08,757.15,759.95,770.0,755.0,764.6,0.98
03012025,58.49,764.6,768.0,780.0,763.0,769.9,0.69
06012025,68.74,769.9,782.0,782.0,737.6,742.05,-3.62
07012025,70.07,742.05,742.55,747.95,732.8,734.4,-1.03
08012025,56.75,734.4,739.0,739.0,716.7,722.55,-1.61
09012025,47.45,722.55,722.95,726.4,715.0,717.55,-0.69
10012025,65.73,717.55,719.7,720.35,697.3,708.35,-1.28
13012025,71.78,708.35,707.95,709.85,685.2,696.35,-1.69
14012025,50.83,696.35,705.0,706.25,683.0,684.95,-1.64
15012025,78.5,684.95,685.1,691.2,665.0,671.9,-1.91
16012025,52.98,671.9,680.0,683.95,666.0,675.55,0.54
17012025,53.55,675.55,675.0,684.0,666.5,673.7,-0.27
20012025,56.16,673.7,679.0,684.0,673.85,678.6,0.73
21012025,50.25,678.6,678.05,686.25,666.3,670.8,-1.15
22012025,61.33,670.8,679.2,679.65,648.75,655.5,-2.28
23012025,67.49,655.5,648.0,668.95,648.0,663.3,1.19
24012025,76.6,663.3,660.0,666.2,640.1,644.9,-2.77
27012025,65.4,644.9,650.0,650.0,620.05,631.3,-2.11
28012025,46.73,631.3,638.0,655.3,615.75,645.7,2.28
29012025,32.72,645.7,647.0,649.9,635.95,641.5,-0.65
30012025,43.66,641.5,654.95,654.95,632.55,639.6,-0.3
31012025,45.73,639.6,647.0,655.0,637.1,652.9,2.08
03022025,87.55,641.2,637.7,657.0,630.05,654.7,2.11
04022025,80.91,654.7,670.0,675.0,648.5,652.35,-0.36
05022025,51.65,652.35,649.05,660.1,646.0,648.7,-0.56
06022025,50.12,648.7,648.7,664.0,648.7,655.05,0.98
07022025,44.19,655.05,655.05,656.35,641.0,644.55,-1.6
10022025,50.11,644.55,644.0,648.1,628.85,636.25,-1.29
11022025,63.31,636.25,630.05,632.55,616.1,619.75,-2.59
12022025,37.42,619.75,605.0,630.9,596.0,618.4,-0.22
13022025,50.2,618.4,619.0,627.25,612.45,617.05,-0.22
14022025,52.7,617.05,618.8,620.1,597.0,612.15,-0.79
17022025,62.42,612.15,617.9,625.0,591.75,620.4,1.35
18022025,63.65,620.4,622.2,629.9,603.25,614.1,-1.02
19022025,59.99,614.1,607.95,612.4,598.55,605.45,-1.41
20022025,46.91,605.45,605.55,617.95,598.6,601.65,-0.63
21022025,60.27,601.65,598.1,611.0,595.7,599.05,-0.43
24022025,52.89,599.05,587.0,593.7,580.55,588.5,-1.76
25022025,79.52,588.5,590.0,597.0,575.9,579.2,-1.58
27022025,65.58,579.2,584.5,589.2,557.9,560.55,-3.22
28022025,46.45,560.55,560.95,565.7,550.05,553.9,-1.19
03032025,61.78,553.9,561.05,565.0,538.3,540.85,-2.36
04032025,42.77,540.85,538.2,580.95,523.95,564.05,4.29
05032025,36.45,564.05,572.5,582.0,554.55,561.7,-0.42
06032025,54.69,561.7,566.0,571.6,546.1,547.3,-2.56
07032025,42.15,547.3,544.3,556.95,540.4,550.35,0.56
10032025,47.94,550.35,551.4,558.1,535.9,541.75,-1.56
11032025,44.86,541.75,535.0,541.7,527.2,536.9,-0.9
12032025,64.71,536.9,538.0,547.0,531.0,536.1,-0.15
13032025,56.33,536.1,540.25,546.0,531.25,537.55,0.27
17032025,88.9,537.55,538.0,544.6,532.5,535.0,-0.47
18032025,52.26,535.0,536.15,559.75,533.85,543.35,1.56
19032025,52.84,543.35,547.55,553.0,545.6,550.1,1.24
20032025,61.24,550.1,550.25,563.4,543.0,544.5,-1.02
21032025,28.41,544.5,549.4,597.95,533.3,577.9,6.13
24032025,49.88,577.9,587.0,589.9,568.5,572.7,-0.9
25032025,63.35,572.7,574.0,579.9,548.75,550.35,-3.9
26032025,54.25,550.35,555.85,561.75,547.2,557.75,1.34
27032025,51.68,557.75,550.0,580.05,547.5,562.9,0.92
28032025,46.58,562.9,565.9,574.75,538.85,546.25,-2.96
01042025,36.24,546.25,540.0,555.5,540.0,546.0,-0.05
02042025,57.41,546.0,546.5,548.7,540.05,544.95,-0.19
03042025,60.31,544.95,542.15,546.6,540.0,543.95,-0.18
04042025,47.67,543.95,543.95,545.35,525.0,532.5,-2.1
07042025,47.63,532.5,499.0,520.5,494.75,517.5,-2.82
08042025,32.75,517.5,527.65,528.55,512.55,524.45,1.34
09042025,39.22,524.45,521.75,529.95,515.5,519.4,-0.96
11042025,68.01,519.4,530.0,537.65,517.0,523.75,0.84
15042025,48.19,523.75,530.0,550.85,526.0,545.35,4.12
16042025,46.36,545.35,545.0,563.95,543.65,562.05,3.06
17042025,28.15,562.05,579.0,603.45,570.4,590.95,5.14
21042025,48.77,590.95,598.0,598.0,581.55,584.3,-1.13
22042025,46.73,584.3,587.05,593.85,578.05,584.85,0.09
23042025,46.92,584.85,585.55,588.55,575.3,581.65,-0.55
24042025,44.49,581.65,578.6,587.05,576.15,582.9,0.21
25042025,68.04,582.9,580.1,584.95,558.0,563.05,-3.41
28042025,44.79,563.05,563.05,565.95,553.75,559.75,-0.59
29042025,49.61,559.75,558.0,565.2,555.55,558.0,-0.31
30042025,59.0,558.0,555.0,557.05,546.85,549.7,-1.49
02052025,54.74,549.7,549.7,556.45,540.45,541.15,-1.56
05052025,45.86,541.15,539.0,573.0,536.35,568.3,5.02
06052025,42.61,568.3,570.0,580.8,549.7,552.7,-2.75
07052025,23.67,552.7,540.0,557.9,535.6,554.45,0.32
08052025,60.12,554.45,554.9,568.05,536.3,537.9,-2.98
09052025,56.33,537.9,535.0,538.4,527.0,534.35,-0.66
12052025,47.64,534.35,557.0,565.0,549.65,558.65,4.55
13052025,46.53,558.65,558.65,572.0,556.4,569.0,1.85
14052025,57.53,569.0,571.3,588.0,568.95,586.2,3.02
15052025,56.76,586.2,593.5,602.0,590.0,598.35,2.07
