Date,DelPerc
01102019,60.66
03102019,81.67
04102019,57.77
07102019,85.51
08102019,85.51
09102019,82.1
10102019,60.72
11102019,54.11
14102019,75.33
15102019,66.89
16102019,79.09
17102019,59.55
18102019,85.42
21102019,85.42
22102019,72.3
23102019,73.48
24102019,60.48
25102019,52.63
28102019,84.91
29102019,57.26
30102019,44.0
31102019,69.52
01112019,41.12
04112019,41.63
05112019,61.22
06112019,81.06
07112019,48.96
08112019,73.11
11112019,79.55
12112019,79.55
13112019,68.5
14112019,53.66
15112019,71.87
18112019,73.13
19112019,75.54
20112019,76.31
21112019,38.3
22112019,77.75
25112019,75.1
26112019,71.59
27112019,60.29
28112019,36.24
29112019,52.83
02122019,41.78
03122019,62.99
04122019,18.0
05122019,57.53
06122019,51.88
09122019,84.8
10122019,56.45
11122019,63.61
12122019,77.78
13122019,93.06
16122019,67.52
17122019,55.76
18122019,52.23
19122019,50.64
20122019,72.58
23122019,72.65
24122019,60.99
25122019,60.99
26122019,80.93
27122019,91.68
30122019,43.03
31122019,55.53
01012020,49.91
02012020,68.67
03012020,57.16
06012020,50.43
07012020,68.41
08012020,71.7
09012020,48.42
10012020,74.87
13012020,71.79
14012020,43.99
15012020,62.83
16012020,68.93
17012020,87.41
20012020,84.98
21012020,76.86
22012020,53.66
23012020,79.92
24012020,70.06
27012020,76.07
28012020,83.02
29012020,82.58
30012020,91.71
31012020,64.41
03022020,76.16
04022020,67.15
05022020,72.61
06022020,55.01
07022020,57.27
10022020,79.06
11022020,61.86
12022020,88.49
13022020,91.77
14022020,68.27
17022020,90.79
18022020,65.29
19022020,59.92
20022020,93.58
21022020,93.58
24022020,81.27
25022020,67.34
26022020,49.23
27022020,58.82
28022020,66.99
02032020,83.43
03032020,85.44
04032020,78.45
05032020,41.09
06032020,69.29
09032020,76.09
10032020,76.09
11032020,61.94
12032020,74.74
13032020,81.9
16032020,77.02
17032020,89.84
18032020,62.89
19032020,82.7
20032020,75.22
23032020,92.33
24032020,87.09
25032020,85.13
26032020,67.06
27032020,80.66
30032020,89.63
31032020,59.62
01042020,58.8
02042020,58.8
03042020,61.52
06042020,61.52
07042020,66.55
08042020,69.42
09042020,75.77
10042020,75.77
13042020,74.65
15042020,91.9
16042020,73.55
17042020,86.7
20042020,58.55
21042020,61.67
22042020,73.29
23042020,88.87
24042020,63.03
27042020,77.11
28042020,89.46
29042020,78.45
30042020,64.08
01052020,64.08
04052020,74.12
05052020,41.2
06052020,65.3
07052020,67.85
08052020,57.79
11052020,55.77
12052020,76.66
13052020,83.11
14052020,47.03
15052020,72.18
18052020,53.96
19052020,58.12
20052020,54.94
21052020,51.4
22052020,75.6
25052020,75.6
26052020,53.32
27052020,54.89
28052020,49.76
29052020,77.09
01062020,62.7
02062020,87.62
03062020,81.47
04062020,58.05
05062020,86.46
08062020,79.2
09062020,80.24
10062020,88.59
11062020,84.1
12062020,80.44
15062020,85.74
16062020,89.28
17062020,61.29
18062020,84.45
19062020,73.05
22062020,69.14
23062020,84.78
24062020,71.02
25062020,55.77
26062020,54.85
29062020,50.87
30062020,64.0
01072020,80.66
02072020,74.92
03072020,74.06
06072020,75.39
07072020,92.75
08072020,83.42
09072020,80.98
10072020,82.46
13072020,71.03
14072020,78.67
15072020,48.71
16072020,72.53
17072020,76.93
20072020,81.22
21072020,75.82
22072020,91.09
23072020,78.79
24072020,64.09
27072020,82.25
28072020,93.26
29072020,78.4
30072020,94.66
31072020,72.11
03082020,56.31
04082020,56.27
05082020,63.45
06082020,65.69
07082020,77.79
10082020,74.64
11082020,80.01
12082020,78.16
13082020,78.88
14082020,84.73
17082020,66.66
18082020,80.91
19082020,28.7
20082020,42.44
21082020,59.61
24082020,54.32
25082020,63.89
26082020,67.03
27082020,87.4
28082020,67.75
31082020,76.16
01092020,87.23
02092020,62.37
03092020,71.68
04092020,27.37
07092020,57.59
08092020,50.8
09092020,47.98
10092020,65.96
11092020,58.96
14092020,63.03
15092020,57.28
16092020,61.41
17092020,48.53
18092020,55.83
21092020,51.66
22092020,49.51
23092020,50.79
24092020,57.56
25092020,65.08
28092020,73.57
29092020,61.94
30092020,82.39
01102020,75.43
