Date,DelPerc
01102019,74.83
03102019,97.4
04102019,65.49
07102019,68.42
08102019,68.42
09102019,79.14
10102019,82.46
10122019,69.36
11122019,97.4
12122019,56.98
13122019,87.66
16122019,83.79
17122019,74.46
18122019,72.78
19122019,55.68
20122019,93.68
23122019,94.52
24122019,53.2
25122019,53.2
26122019,98.11
27122019,83.22
30122019,86.26
31122019,61.92
01012020,49.08
02012020,77.64
03012020,83.29
06012020,83.89
07012020,99.88
08012020,78.94
09012020,78.29
10012020,65.09
13012020,75.6
14012020,98.25
15012020,79.4
16012020,89.08
17012020,81.9
20012020,77.57
21012020,90.65
22012020,98.3
23012020,85.2
24012020,86.96
27012020,100.0
28012020,75.9
29012020,82.57
30012020,67.0
31012020,55.51
03022020,67.71
04022020,100.0
05022020,87.7
06022020,88.82
07022020,31.43
10022020,100.0
11022020,86.78
12022020,56.77
13022020,98.69
14022020,100.0
17022020,92.5
18022020,68.23
19022020,47.46
20022020,70.28
21022020,70.28
24022020,87.48
25022020,99.37
26022020,91.96
27022020,58.2
28022020,80.03
02032020,67.2
03032020,92.39
04032020,76.27
05032020,62.14
06032020,62.42
09032020,68.41
10032020,68.41
11032020,82.46
12032020,83.45
13032020,94.03
16032020,68.17
17032020,81.0
18032020,73.64
19032020,91.25
20032020,91.94
23032020,100.0
24032020,99.25
25032020,89.4
26032020,94.74
27032020,100.0
30032020,85.74
31032020,99.32
01042020,96.12
02042020,96.12
03042020,100.0
06042020,100.0
07042020,78.85
08042020,100.0
09042020,91.09
10042020,91.09
27052020,66.79
28052020,96.25
29052020,76.99
01062020,100.0
02062020,87.15
03062020,97.63
04062020,97.15
05062020,83.58
08062020,96.82
09062020,96.96
10062020,78.31
11062020,67.3
12062020,100.0
15062020,73.72
16062020,60.92
17062020,73.46
18062020,85.15
19062020,82.24
22062020,76.98
23062020,99.16
24062020,80.82
25062020,55.3
26062020,70.86
29062020,60.96
30062020,69.01
01072020,84.62
02072020,74.83
03072020,77.54
06072020,57.28
07072020,82.84
08072020,76.48
09072020,68.25
10072020,80.34
13072020,90.21
14072020,95.06
15072020,75.08
16072020,80.8
17072020,84.59
20072020,68.51
21072020,76.53
22072020,47.02
23072020,87.47
24072020,93.4
27072020,90.01
28072020,95.34
29072020,58.83
30072020,83.32
31072020,90.43
03082020,77.42
04082020,96.08
05082020,34.1
06082020,84.03
07082020,88.78
10082020,56.93
11082020,73.52
12082020,84.06
13082020,85.79
14082020,85.06
17082020,80.37
18082020,68.62
19082020,51.86
20082020,66.24
21082020,96.23
24082020,83.75
25082020,84.06
26082020,99.07
10112020,88.9
11112020,100.0
12112020,100.0
13112020,100.0
16112020,100.0
17112020,100.0
18112020,100.0
19112020,85.71
20112020,66.03
23112020,83.34
24112020,88.92
25112020,63.18
26112020,99.55
27112020,84.61
30112020,84.61
01122020,88.32
02122020,86.51
03122020,100.0
04122020,77.82
07122020,78.56
08122020,99.75
09122020,88.87
10122020,89.97
11122020,77.8
14122020,82.11
15122020,99.97
16122020,98.47
17122020,56.01
18122020,82.86
21122020,78.77
22122020,67.79
23122020,92.89
24122020,33.82
25122020,33.82
28122020,62.14
29122020,91.89
30122020,83.27
31122020,77.2
01012021,91.96
04012021,85.53
05012021,62.57
06012021,84.98
07012021,85.93
08012021,57.31
11012021,83.47
12012021,86.91
13012021,73.02
14012021,86.41
15012021,88.83
18012021,74.31
19012021,77.0
20012021,77.84
21012021,65.8
22012021,93.19
25012021,83.96
27012021,99.89
28012021,12.15
29012021,6.52
01022021,77.23
02022021,26.83
03022021,78.13
04022021,89.12
05022021,84.99
08022021,44.43
09022021,45.59
10022021,23.5
11022021,35.29
12022021,18.83
15022021,10.76
16022021,7.04
17022021,7.59
18022021,3.75
19022021,81.82
22022021,77.34
23022021,73.36
24022021,24.84
25022021,58.17
26022021,74.33
01032021,35.33
02032021,93.98
03032021,78.77
04032021,60.51
05032021,64.83
08032021,88.16
09032021,73.04
10032021,96.42
11032021,96.42
12032021,77.66
15032021,78.17
16032021,79.49
17032021,77.32
18032021,37.2
19032021,24.08
22032021,60.44
23032021,77.1
24032021,65.24
25032021,74.52
26032021,93.49
29032021,93.49
30032021,88.47
31032021,78.88
01042021,80.25
02042021,80.25
05042021,86.7
06042021,77.06
07042021,51.93
08042021,67.26
09042021,93.33
12042021,56.64
13042021,40.39
14042021,40.39
15042021,72.69
16042021,51.14
19042021,50.21
20042021,67.04
21042021,67.04
22042021,83.33
23042021,100.0
26042021,100.0
12102021,65.97
13102021,60.72
14102021,60.38
15102021,60.38
18102021,85.34
19102021,69.38
20102021,70.37
21102021,74.87
22102021,67.2
25102021,76.92
26102021,92.47
27102021,91.1
28102021,59.86
29102021,83.85
01112021,79.32
02112021,62.34
03112021,83.12
04112021,83.12
05112021,92.79
08112021,76.89
09112021,46.92
10112021,70.56
11112021,95.48
12112021,90.77
15112021,100.0
16112021,100.0
17112021,100.0
18112021,68.13
19112021,68.13
22112021,76.2
23112021,95.24
24112021,99.99
25112021,99.62
26112021,80.14
29112021,42.24
