Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,41.63,490.45,493.0,505.0,490.8,503.95,2.75
02012025,52.15,503.95,505.0,509.0,496.85,502.1,-0.37
03012025,63.88,502.1,501.7,509.25,500.05,501.05,-0.21
06012025,67.95,501.05,504.45,507.0,483.6,487.55,-2.69
07012025,48.26,487.55,483.0,494.95,482.9,491.25,0.76
08012025,55.27,491.25,487.1,493.6,477.8,482.0,-1.88
09012025,49.51,482.0,481.0,484.0,470.05,471.1,-2.26
10012025,49.29,471.1,472.95,473.4,460.1,462.45,-1.84
13012025,60.19,462.45,458.95,464.55,440.0,443.8,-4.03
14012025,55.71,443.8,441.7,452.7,438.1,440.2,-0.81
15012025,52.67,440.2,446.95,447.35,435.7,437.55,-0.6
16012025,58.73,437.55,445.8,446.7,432.25,435.3,-0.51
17012025,58.61,435.3,433.0,438.15,426.45,436.25,0.22
20012025,57.86,436.25,431.05,440.0,426.05,429.75,-1.49
21012025,67.33,429.75,428.7,435.8,425.8,427.35,-0.56
22012025,59.96,427.35,426.1,432.5,410.55,417.4,-2.33
23012025,64.91,417.4,417.4,441.25,416.15,438.75,5.11
24012025,82.36,438.75,440.0,447.95,429.05,431.45,-1.66
27012025,65.2,431.45,428.6,433.7,422.7,429.2,-0.52
28012025,75.28,429.2,427.0,433.3,416.15,420.05,-2.13
29012025,74.14,420.05,423.0,429.8,417.0,426.45,1.52
30012025,58.45,426.45,429.65,443.15,425.8,436.9,2.45
31012025,57.11,436.9,436.05,437.55,427.05,433.35,-0.81
03022025,58.86,450.2,447.95,447.95,432.75,438.45,-2.61
04022025,46.87,438.45,444.0,469.2,444.0,466.7,6.44
05022025,57.0,466.7,466.0,481.45,462.3,466.05,-0.14
06022025,49.65,466.05,460.0,460.0,437.5,449.9,-3.47
07022025,49.16,449.9,448.0,466.45,441.2,463.0,2.91
10022025,59.14,463.0,464.9,469.65,440.95,444.5,-4.0
11022025,60.56,444.5,444.3,444.3,425.4,429.0,-3.49
12022025,69.14,429.0,421.85,442.5,421.0,436.3,1.7
13022025,51.26,436.3,432.5,441.95,428.05,436.55,0.06
14022025,60.81,436.55,438.0,440.0,427.0,430.2,-1.45
17022025,45.83,430.2,429.95,435.45,417.1,432.25,0.48
18022025,41.34,432.25,431.95,434.4,416.05,429.75,-0.58
19022025,45.53,429.75,427.7,453.45,423.9,451.4,5.04
20022025,42.33,451.4,450.95,460.4,443.8,452.9,0.33
21022025,50.27,452.9,452.7,461.45,446.9,458.1,1.15
24022025,47.09,458.1,449.05,455.6,446.15,450.25,-1.71
25022025,51.48,450.25,453.95,453.95,433.1,438.1,-2.7
27022025,57.48,438.1,438.1,438.1,423.1,425.0,-2.99
28022025,36.84,425.0,420.0,466.75,417.05,457.85,7.73
03032025,40.54,457.85,448.0,455.4,429.0,445.95,-2.6
04032025,48.9,445.95,435.0,445.3,416.4,442.15,-0.85
05032025,50.42,442.15,440.95,452.9,435.3,449.55,1.67
06032025,54.15,449.55,450.9,453.6,443.6,449.8,0.06
07032025,66.28,449.8,445.7,460.4,445.7,452.75,0.66
10032025,44.47,452.75,452.75,466.65,448.9,453.1,0.08
11032025,41.32,453.1,453.1,460.0,441.15,454.85,0.39
12032025,55.48,454.85,459.0,459.0,446.1,448.35,-1.43
13032025,48.3,448.35,448.1,450.7,430.8,436.55,-2.63
17032025,59.97,436.55,438.3,450.55,430.15,434.8,-0.4
18032025,50.56,434.8,434.85,444.4,428.95,440.65,1.35
19032025,58.55,440.65,441.0,451.0,436.35,443.55,0.66
20032025,53.32,443.55,443.0,460.6,442.15,457.0,3.03
21032025,45.4,457.0,459.7,497.0,455.25,489.05,7.01
24032025,44.89,489.05,493.45,499.45,479.15,481.75,-1.49
