Date,DelPerc
13112020,91.99
16112020,99.22
17112020,61.76
18112020,54.75
19112020,32.76
20112020,59.36
23112020,68.02
24112020,60.85
25112020,79.78
26112020,57.3
27112020,62.0
30112020,62.0
01122020,83.42
02122020,85.72
03122020,87.32
04122020,87.69
07122020,73.41
08122020,77.39
09122020,82.26
10122020,96.17
11122020,85.38
14122020,72.18
15122020,99.27
16122020,39.51
17122020,41.12
18122020,30.8
21122020,45.5
22122020,64.39
23122020,91.81
24122020,64.66
25122020,64.66
28122020,80.56
29122020,90.73
30122020,97.34
31122020,98.76
01012021,98.36
04012021,79.9
05012021,67.29
06012021,74.24
07012021,79.7
08012021,59.93
11012021,58.27
12012021,71.83
13012021,56.61
14012021,56.4
15012021,84.12
18012021,95.5
19012021,88.69
20012021,81.51
21012021,93.22
22012021,80.34
25012021,88.62
27012021,96.24
28012021,89.83
29012021,78.03
01022021,93.9
02022021,60.17
03022021,74.68
04022021,90.26
05022021,86.62
08022021,70.84
09022021,86.46
10022021,82.11
11022021,70.77
12022021,78.61
15022021,67.77
16022021,64.98
17022021,56.13
18022021,66.43
19022021,68.04
22022021,83.55
23022021,58.64
24022021,93.73
25022021,68.59
26022021,80.56
01032021,86.02
02032021,38.27
03032021,30.92
04032021,30.86
05032021,48.44
08032021,30.44
09032021,23.57
10032021,77.0
11032021,77.0
12032021,29.56
15032021,27.28
16032021,32.57
17032021,47.85
18032021,29.6
19032021,39.15
22032021,20.03
23032021,80.88
24032021,18.51
25032021,33.44
26032021,61.15
29032021,61.15
30032021,29.31
31032021,34.24
01042021,24.81
02042021,24.81
05042021,51.1
06042021,60.05
07042021,61.97
08042021,68.85
09042021,80.98
12042021,47.43
13042021,59.9
14042021,59.9
15042021,51.68
16042021,41.13
19042021,67.51
20042021,53.03
21042021,53.03
22042021,74.26
23042021,50.37
26042021,76.03
27042021,54.77
28042021,76.38
29042021,88.6
30042021,93.87
03052021,54.63
04052021,49.85
05052021,38.54
20072021,70.72
21072021,70.72
22072021,44.63
23072021,76.04
26072021,66.98
27072021,33.45
28072021,89.62
29072021,72.83
30072021,47.32
02082021,74.69
03082021,51.25
04082021,47.85
05082021,14.16
06082021,45.73
09082021,11.81
10082021,11.98
11082021,16.76
12082021,58.69
13082021,88.28
16082021,16.06
17082021,37.35
18082021,19.49
19082021,19.49
20082021,22.87
23082021,9.06
24082021,5.88
25082021,10.44
26082021,30.25
27082021,40.4
30082021,21.23
31082021,11.36
01092021,44.6
02092021,16.92
03092021,48.72
06092021,21.93
07092021,25.19
08092021,25.8
09092021,52.7
10092021,52.7
13092021,38.69
14092021,19.64
15092021,20.68
16092021,19.79
17092021,31.68
20092021,29.87
21092021,25.87
22092021,97.64
23092021,27.75
24092021,40.84
27092021,46.41
28092021,32.95
29092021,18.7
30092021,36.62
01102021,55.94
04102021,45.17
05102021,18.12
06102021,32.06
07102021,30.66
08102021,69.06
11102021,87.93
12102021,49.97
13102021,24.78
14102021,34.13
15102021,34.13
18102021,17.15
19102021,35.28
20102021,41.8
21102021,7.53
22102021,51.56
25102021,16.29
26102021,74.01
27102021,23.74
28102021,47.17
29102021,37.4
01112021,50.41
02112021,34.88
03112021,32.21
04112021,32.21
05112021,97.83
08112021,80.85
09112021,78.5
10112021,47.84
11112021,40.16
12112021,61.82
15112021,48.0
16112021,90.56
17112021,80.5
18112021,70.5
19112021,70.5
22112021,94.28
23112021,57.9
24112021,54.52
25112021,72.63
26112021,47.13
29112021,50.37
30112021,43.76
01122021,43.93
02122021,88.08
03122021,32.78
06122021,31.71
07122021,33.02
08122021,61.75
09122021,65.41
10122021,28.94
13122021,22.44
14122021,39.21
15122021,29.85
16122021,40.54
17122021,20.76
20122021,60.69
21122021,61.44
22122021,43.42
23122021,44.51
24122021,28.27
27122021,92.07
28122021,38.12
29122021,37.73
30122021,28.77
31122021,53.27
03012022,32.92
04012022,47.42
05012022,31.93
06012022,86.56
07012022,52.43
10012022,41.98
11012022,86.93
12012022,40.41
13012022,24.07
14012022,48.25
17012022,21.42
18012022,24.55
19012022,19.41
20012022,11.79
21012022,6.75
24012022,35.56
25012022,71.62
27012022,9.49
28012022,68.84
31012022,66.85
01022022,84.05
02022022,82.98
03022022,79.17
04022022,68.19
07022022,74.95
08022022,75.93
09022022,29.71
10022022,55.2
11022022,64.92
14022022,78.06
15022022,42.67
16022022,64.72
17022022,39.14
18022022,64.19
21022022,34.13
22022022,35.02
23022022,85.37
24022022,66.82
25022022,53.58
28022022,55.07
01032022,55.07
02032022,54.26
03032022,71.2
04032022,90.92
07032022,22.7
08032022,60.68
09032022,67.32
10032022,50.67
11032022,44.26
14032022,48.4
15032022,32.49
16032022,25.09
17032022,51.21
18032022,51.21
21032022,34.4
22032022,23.74
23032022,30.4
24032022,71.48
25032022,78.06
28032022,85.68
29032022,51.86
30032022,55.93
31032022,63.85
01042022,47.43
04042022,85.64
05042022,88.23
06042022,77.29
07042022,62.52
08042022,84.07
11042022,79.05
12042022,31.9
13042022,88.67
14042022,88.67
15042022,88.67
18042022,91.71
19042022,41.91
20042022,39.12
21042022,70.97
22042022,46.41
25042022,59.13
26042022,91.79
27042022,54.11
28042022,82.34
29042022,60.81
02052022,74.6
03052022,74.6
04052022,63.6
05052022,85.49
06052022,71.79
09052022,63.81
10052022,79.19
11052022,66.38
12052022,49.5
13052022,32.67
16052022,60.21
17052022,66.66
18052022,54.66
19052022,49.63
20052022,69.37
23052022,57.12
24052022,75.28
25052022,58.44
26052022,54.93
27052022,74.61
30052022,84.42
31052022,50.86
01062022,62.98
02062022,70.37
03062022,50.7
06062022,71.05
07062022,77.11
08062022,59.59
09062022,59.8
10062022,56.29
13062022,89.92
14062022,45.85
15062022,87.87
16062022,75.79
17062022,92.04
20062022,30.82
21062022,36.06
22062022,17.31
23062022,53.96
24062022,59.77
27062022,65.83
28062022,35.78
29062022,39.03
30062022,55.13
01072022,37.18
04072022,84.36
05072022,65.84
06072022,37.87
07072022,43.99
08072022,60.28
11072022,82.63
12072022,66.98
13072022,51.97
14072022,50.14
15072022,86.4
18072022,49.32
19072022,84.93
20072022,75.02
21072022,51.79
22072022,47.2
25072022,52.35
26072022,44.89
27072022,21.81
28072022,21.1
29072022,16.06
01082022,10.43
02082022,17.8
03082022,11.96
04082022,14.92
05082022,38.32
