Date,DelPerc
19102022,40.29
20102022,65.64
21102022,87.98
24102022,92.72
25102022,76.71
26102022,76.71
27102022,30.86
28102022,44.94
31102022,59.92
01112022,44.22
02112022,57.99
03112022,59.55
04112022,53.54
07112022,72.71
08112022,72.71
09112022,75.44
10112022,79.18
11112022,100.0
14112022,100.0
15112022,59.16
16112022,89.97
28022023,72.72
01032023,69.38
02032023,87.35
03032023,64.62
06032023,60.06
07032023,60.06
08032023,61.72
09032023,75.6
10032023,85.85
13032023,81.15
14032023,75.5
15032023,90.52
16032023,89.83
17032023,93.61
20032023,92.9
21032023,64.87
22032023,74.96
23032023,53.06
24032023,50.58
27032023,41.92
28032023,44.27
29032023,74.26
30032023,74.26
31032023,90.06
03042023,62.28
04042023,62.28
05042023,80.41
06042023,81.04
07042023,81.04
10042023,78.56
11042023,61.28
12042023,50.56
13042023,58.36
14042023,58.36
17042023,44.15
18042023,70.92
19042023,52.51
20042023,79.83
21042023,70.72
24042023,91.37
25042023,78.32
26042023,100.0
27042023,48.3
28042023,70.17
01052023,70.17
02052023,77.71
03052023,69.67
04052023,66.56
05052023,59.96
08052023,69.44
09052023,87.2
10052023,99.11
11052023,50.98
12052023,100.0
15052023,54.96
16052023,64.65
17052023,78.49
18052023,53.86
19052023,43.57
22052023,55.98
23052023,75.58
24052023,43.34
25052023,57.13
26052023,60.66
29052023,48.81
30052023,67.8
31052023,55.05
01062023,48.3
02062023,78.15
05062023,67.62
06062023,79.66
15012024,94.65
16012024,74.55
17012024,62.02
18012024,71.5
19012024,86.89
22012024,75.85
23012024,84.66
24012024,55.11
25012024,71.95
29012024,53.42
30012024,71.11
31012024,92.56
01022024,99.98
02022024,100.0
05022024,75.31
06022024,61.11
07022024,50.55
08022024,54.34
09022024,55.39
12022024,50.53
13022024,52.27
14022024,31.67
15022024,49.0
16022024,60.52
19022024,58.41
20022024,47.66
21022024,46.76
22022024,56.49
23022024,63.36
26022024,61.72
27022024,71.97
28022024,52.9
29022024,70.41
01032024,50.92
04032024,53.65
05032024,55.05
06032024,82.77
07032024,56.55
08032024,56.55
11032024,39.23
12032024,52.67
13032024,65.92
14032024,46.28
15032024,50.2
18032024,57.58
19032024,51.26
20032024,95.53
21032024,57.45
22032024,63.39
25032024,63.39
26032024,39.86
27032024,62.07
28032024,68.58
29032024,68.58
01042024,48.73
02042024,67.1
03042024,78.51
04042024,70.51
05042024,82.37
08042024,70.23
09042024,77.24
10042024,100.0
11042024,100.0
12042024,53.41
15042024,79.49
16042024,54.59
17042024,54.59
18042024,60.71
19042024,36.06
22042024,67.75
16072024,78.98
17072024,78.98
18072024,50.61
21102024,58.22
22102024,75.6
23102024,50.41
24102024,52.06
25102024,59.48
28102024,43.48
29102024,40.53
30102024,58.38
31102024,63.47
01112024,74.66
04112024,61.41
05112024,59.04
06112024,61.74
07112024,88.94
08112024,56.05
11112024,53.45
12112024,66.8
13112024,60.31
14112024,52.79
18112024,65.92
19112024,58.63
20112024,58.63
21112024,53.77
22112024,53.97
25112024,61.23
26112024,68.07
27112024,76.99
28112024,70.21
29112024,67.77
02122024,63.49
03122024,59.73
04122024,74.25
05122024,53.64
06122024,66.04
09122024,61.14
10122024,54.83
11122024,58.97
12122024,67.37
13122024,61.92
16122024,54.41
17122024,57.77
18122024,55.03
19122024,57.27
20122024,62.94
23122024,57.58
24122024,81.17
25122024,81.17
26122024,45.15
27122024,34.24
30122024,47.68
31122024,75.24
01012025,67.48
02012025,56.58
03012025,48.2
06012025,57.62
07012025,46.22
08012025,50.85
09012025,64.31
10012025,50.33
13012025,43.94
14012025,36.0
15012025,47.92
16012025,44.8
17012025,50.07
20012025,57.19
21012025,56.52
22012025,61.83
23012025,55.72
24012025,63.21
27012025,78.34
28012025,64.26
29012025,52.32
30012025,49.66
31012025,44.27
03022025,52.42
04022025,62.59
05022025,76.83
06022025,53.24
07022025,54.84
10022025,54.13
11022025,51.4
12022025,48.67
13022025,58.84
14022025,61.21
17022025,54.85
18022025,63.61
19022025,46.11
20022025,45.09
21022025,52.76
24022025,42.8
25022025,32.79
27022025,67.96
28022025,77.55
03032025,39.36
04032025,45.31
05032025,40.41
06032025,46.23
07032025,49.16
10032025,63.25
11032025,45.39
12032025,41.61
13032025,64.34
17032025,57.59
18032025,72.91
19032025,58.89
20032025,59.07
21032025,60.38
24032025,53.1
25032025,61.83
26032025,57.14
27032025,54.14
28032025,59.49
01042025,47.03
02042025,54.1
03042025,51.34
04042025,51.82
07042025,53.37
08042025,63.01
09042025,42.13
11042025,68.09
15042025,45.76
16042025,50.44
17042025,48.04
21042025,43.17
22042025,42.69
23042025,47.38
24042025,61.62
25042025,51.39
28042025,42.61
29042025,58.01
30042025,57.4
02052025,49.9
05052025,78.67
06052025,82.94
07052025,64.72
08052025,61.49
09052025,48.38
12052025,51.91
13052025,34.07
14052025,62.04
15052025,45.48
16052025,53.97
19052025,55.87
20052025,58.42
21052025,43.16
22052025,72.43
23052025,61.55
26052025,46.83
27052025,40.43
28052025,52.08
29052025,50.12
30052025,63.98
02062025,61.22
03062025,71.92
04062025,68.09
05062025,49.13
06062025,35.62
09062025,63.87
10062025,53.18
11062025,62.17
12062025,59.55
13062025,55.94
16062025,55.85
17062025,60.81
18062025,57.97
19062025,72.73
20062025,67.64
23062025,59.99
24062025,51.82
25062025,38.46
26062025,57.88
27062025,61.51
30062025,48.33
01072025,53.8
02072025,61.0
03072025,59.59
04072025,66.73
07072025,67.62
08072025,50.38
09072025,38.34
10072025,48.85
11072025,60.07
14072025,63.32
15072025,52.94
16072025,34.12
17072025,50.47
18072025,65.99
21072025,51.03
22072025,62.67
23072025,38.08
24072025,65.38
25072025,68.01
28072025,57.23
29072025,61.32
30072025,56.44
31072025,43.12
01082025,23.99
04082025,44.13
05082025,10.56
06082025,37.49
07082025,33.93
08082025,31.48
11082025,25.35
12082025,18.17
13082025,18.7
14082025,35.28
18082025,33.49
19082025,78.17
20082025,68.51
21082025,42.48
22082025,61.27
25082025,31.93
26082025,57.12
28082025,33.85
29082025,34.38
01092025,64.53
02092025,46.96
03092025,54.19
04092025,43.92
05092025,46.8
08092025,59.17
09092025,45.31
10092025,57.41
11092025,47.45
12092025,44.48
15092025,31.3
16092025,26.02
17092025,36.87
18092025,31.84
19092025,55.71
22092025,52.49
23092025,54.72
24092025,61.53
25092025,62.24
26092025,21.29
29092025,46.55
30092025,74.08
01102025,76.13
03102025,57.0
06102025,71.37
07102025,62.04
08102025,76.83
09102025,86.42
10102025,81.71
13102025,70.04
14102025,84.78
15102025,80.49
16102025,57.44
17102025,58.61
20102025,61.69
21102025,77.3
22102025,77.3
23102025,84.82
24102025,83.93
27102025,90.25
28102025,46.3
29102025,45.4
30102025,33.79
31102025,41.91
03112025,62.81
04112025,71.1
05112025,71.1
06112025,61.66
07112025,27.19
10112025,52.98
11112025,49.69
12112025,50.62
13112025,69.23
14112025,70.98
17112025,48.38
18112025,64.15
19112025,54.37
20112025,74.19
21112025,74.22
24112025,67.6
25112025,32.8
26112025,50.18
27112025,32.41
28112025,44.55
01122025,47.61
02122025,52.09
03122025,70.72
04122025,74.69
05122025,78.74
08122025,46.3
09122025,64.83
10122025,76.28
11122025,38.03
12122025,86.48
15122025,75.88
16122025,36.49
17122025,55.28
18122025,65.63
19122025,61.01
22122025,58.02
23122025,43.18
24122025,70.93
25122025,70.93
26122025,89.31
29122025,59.82
30122025,79.13
31122025,63.67
01012026,47.81
02012026,58.85
05012026,83.14
06012026,23.89
07012026,73.42
08012026,66.49
09012026,67.26
12012026,63.25
13012026,66.76
14012026,65.27
15012026,65.27
16012026,65.46
19012026,70.98
20012026,72.1
21012026,69.34
22012026,66.47
23012026,62.52
