Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,48.33,105.08,106.0,108.01,104.24,105.01,-0.07
02012025,51.58,105.01,105.34,107.74,104.61,105.21,0.19
03012025,66.22,105.21,105.21,115.21,104.0,112.12,6.57
06012025,45.97,112.12,113.79,115.45,105.5,109.07,-2.72
07012025,51.09,109.07,109.95,111.99,107.17,109.52,0.41
08012025,52.74,109.52,107.61,109.54,105.67,106.99,-2.31
09012025,64.22,106.99,108.65,108.8,101.51,103.03,-3.7
10012025,56.59,103.03,103.95,103.95,97.96,100.43,-2.52
13012025,50.68,100.43,100.4,102.94,98.0,100.03,-0.4
14012025,43.71,100.03,101.87,106.98,100.29,102.47,2.44
15012025,38.31,102.47,102.63,112.71,102.08,111.63,8.94
16012025,54.57,111.63,115.89,115.89,107.51,108.65,-2.67
17012025,31.36,108.65,107.06,112.1,106.63,108.04,-0.56
20012025,49.03,108.04,109.45,109.45,105.99,107.01,-0.95
21012025,32.04,107.01,109.0,112.56,104.15,105.14,-1.75
22012025,39.19,105.14,107.74,107.74,101.64,102.82,-2.21
23012025,47.48,102.82,104.75,105.56,102.15,102.7,-0.12
24012025,20.53,102.7,102.75,112.97,102.75,103.61,0.89
27012025,66.84,103.61,103.0,103.75,99.11,100.09,-3.4
28012025,53.33,100.09,101.6,102.0,91.66,94.37,-5.71
29012025,49.54,94.37,94.5,102.3,94.5,101.96,8.04
30012025,52.18,101.96,103.9,103.9,99.8,100.11,-1.81
31012025,59.48,100.11,98.51,102.94,98.51,100.52,0.41
03022025,35.24,101.5,101.8,102.0,99.03,100.64,-0.85
04022025,52.89,100.64,100.64,102.13,98.5,99.24,-1.39
05022025,58.22,99.24,101.43,103.4,99.2,100.57,1.34
06022025,37.98,100.57,102.5,103.74,99.3,100.23,-0.34
07022025,54.16,100.23,100.69,101.44,98.15,99.22,-1.01
10022025,67.49,99.22,99.76,101.95,97.5,100.02,0.81
11022025,59.76,100.02,101.98,110.0,97.55,107.85,7.83
12022025,38.95,107.85,107.32,107.8,98.99,101.61,-5.79
13022025,25.26,101.61,101.63,109.0,101.63,103.58,1.94
14022025,40.72,103.58,105.99,109.02,101.0,102.18,-1.35
17022025,55.27,102.18,104.5,104.5,100.43,102.69,0.5
18022025,65.17,102.69,105.5,105.5,96.7,98.41,-4.17
19022025,45.74,98.41,99.9,102.0,98.43,100.41,2.03
20022025,45.32,100.41,99.85,104.99,99.27,100.66,0.25
21022025,36.44,100.66,99.4,103.78,99.4,100.79,0.13
24022025,48.72,100.79,101.29,101.29,99.45,100.51,-0.28
25022025,42.48,100.51,100.0,106.81,95.6,102.17,1.65
27022025,96.45,102.17,102.17,104.54,99.4,100.01,-2.11
28022025,62.82,100.01,101.45,101.45,97.99,100.71,0.7
03032025,62.25,100.71,100.17,102.39,98.45,99.01,-1.69
04032025,55.26,99.01,99.01,101.58,99.0,99.34,0.33
05032025,54.77,99.34,99.34,102.79,98.98,99.45,0.11
06032025,59.53,99.45,99.8,101.39,99.2,100.07,0.62
07032025,43.7,100.07,101.5,102.55,98.61,101.21,1.14
10032025,71.13,101.21,100.07,102.59,99.0,99.18,-2.01
11032025,66.94,99.18,101.64,101.64,96.01,97.5,-1.69
12032025,60.1,97.5,97.99,99.0,97.1,97.35,-0.15
13032025,84.6,97.35,99.75,99.75,97.35,97.41,0.06
17032025,57.92,97.41,97.49,98.98,97.3,97.76,0.36
18032025,83.19,97.76,98.81,99.64,97.76,99.03,1.3
19032025,33.66,99.03,99.27,101.5,98.11,99.74,0.72
20032025,69.22,99.74,100.74,100.74,98.45,99.02,-0.72
21032025,60.86,99.02,99.28,99.85,97.6,98.96,-0.06
24032025,64.73,98.96,99.22,100.45,98.0,99.2,0.24
25032025,38.24,99.2,99.02,105.8,99.02,100.41,1.22
26032025,54.75,100.41,102.0,102.0,99.01,99.62,-0.79
27032025,71.41,99.62,98.93,101.64,98.0,99.06,-0.56
28032025,59.12,99.06,97.05,98.7,96.31,97.14,-1.94
01042025,65.66,97.14,98.02,101.0,98.02,99.34,2.26
02042025,64.54,99.34,101.2,101.2,98.51,98.93,-0.41
03042025,38.09,98.93,98.93,105.68,98.02,103.28,4.4
04042025,53.02,103.28,104.85,104.85,99.41,100.63,-2.57
07042025,45.26,100.63,97.25,99.0,92.57,95.28,-5.32
08042025,52.67,95.28,95.7,98.0,94.99,96.47,1.25
09042025,40.49,96.47,95.95,97.58,95.82,96.49,0.02
11042025,60.98,96.49,97.95,99.0,97.21,97.99,1.55
15042025,55.69,97.99,98.4,101.98,98.4,101.52,3.6
16042025,40.75,101.52,102.0,108.15,98.0,106.78,5.18
17042025,58.65,106.78,106.78,109.02,105.52,108.34,1.46
21042025,55.73,108.34,109.0,112.27,108.51,109.05,0.66
22042025,36.35,109.05,109.28,111.99,106.32,107.31,-1.6
23042025,65.99,107.31,107.89,108.3,104.01,106.07,-1.16
24042025,55.26,106.07,107.8,110.7,105.23,107.02,0.9
25042025,46.34,107.02,107.02,107.02,102.17,105.2,-1.7
28042025,65.19,105.2,105.05,105.79,103.0,103.6,-1.52
29042025,56.12,103.6,103.59,105.15,101.61,102.7,-0.87
30042025,51.63,102.7,104.4,104.4,97.61,99.32,-3.29
02052025,56.35,99.32,96.55,99.32,96.55,99.23,-0.09
05052025,49.59,99.23,99.23,102.6,96.51,100.32,1.1
06052025,37.18,100.32,104.15,104.15,100.64,101.48,1.16
07052025,43.37,101.48,101.16,102.1,100.06,100.85,-0.62
08052025,39.36,100.85,102.45,102.45,97.8,99.24,-1.6
09052025,47.04,99.24,98.82,99.59,94.8,97.72,-1.53
12052025,49.63,97.72,99.38,103.0,99.26,102.76,5.16
13052025,46.28,102.76,102.24,104.0,101.4,103.02,0.25
14052025,34.46,103.02,104.53,107.6,102.16,104.63,1.56
15052025,44.48,104.63,106.15,109.0,104.59,105.75,1.07
16052025,52.22,105.75,106.26,109.0,103.61,107.85,1.99
19052025,58.38,107.85,109.7,112.0,108.31,111.49,3.38
20052025,40.69,111.49,113.0,114.0,106.0,108.01,-3.12
21052025,57.59,108.01,107.9,114.45,106.72,113.09,4.7
22052025,58.7,113.09,111.4,112.7,109.03,112.01,-0.95
23052025,54.62,112.01,112.01,113.99,111.25,112.19,0.16
26052025,62.99,112.19,111.7,112.99,106.15,106.9,-4.72
27052025,31.4,106.9,107.98,107.98,104.25,107.34,0.41
