Date,DelPerc
01102019,58.1
03102019,53.05
04102019,74.58
07102019,65.83
08102019,65.83
09102019,56.55
10102019,63.04
11102019,61.29
14102019,70.05
15102019,57.33
16102019,82.24
17102019,68.98
18102019,62.02
21102019,62.02
22102019,71.09
23102019,70.09
24102019,64.83
25102019,87.94
28102019,58.2
29102019,50.61
30102019,76.01
31102019,71.21
01112019,67.72
04112019,82.06
05112019,88.93
06112019,76.62
07112019,63.26
08112019,47.15
11112019,68.48
12112019,68.48
13112019,78.88
14112019,83.2
15112019,52.12
18112019,51.65
19112019,61.1
20112019,79.26
21112019,52.84
22112019,69.42
25112019,72.21
26112019,32.66
27112019,50.04
28112019,42.71
29112019,51.3
02122019,67.82
03122019,67.37
04122019,75.66
05122019,85.91
06122019,67.93
09122019,53.12
10122019,74.32
11122019,75.84
12122019,79.33
13122019,73.83
16122019,75.57
17122019,94.82
18122019,74.24
19122019,75.49
20122019,87.2
23122019,61.17
24122019,85.57
25122019,85.57
26122019,61.07
27122019,42.94
30122019,71.33
31122019,53.06
01012020,44.68
02012020,79.35
03012020,50.92
06012020,68.13
07012020,18.05
08012020,51.21
09012020,62.08
10012020,44.78
13012020,85.52
14012020,78.55
15012020,68.9
16012020,68.48
17012020,43.11
20012020,51.55
21012020,64.42
22012020,70.12
23012020,52.91
24012020,58.51
27012020,63.22
28012020,78.37
29012020,78.41
30012020,66.49
31012020,73.1
03022020,67.61
04022020,66.37
05022020,51.83
06022020,66.35
07022020,71.13
10022020,84.16
11022020,39.73
12022020,81.27
13022020,66.82
14022020,63.35
17022020,57.87
18022020,80.21
19022020,62.75
20022020,49.63
21022020,49.63
24022020,86.32
25022020,39.5
26022020,61.77
27022020,69.56
28022020,77.14
02032020,62.07
03032020,66.94
04032020,81.62
05032020,59.07
06032020,61.29
09032020,70.1
10032020,70.1
11032020,54.07
12032020,53.91
13032020,77.57
16032020,61.21
17032020,64.05
18032020,68.05
19032020,59.75
20032020,58.56
23032020,89.05
24032020,59.68
25032020,70.83
26032020,72.11
27032020,76.79
30032020,99.59
31032020,69.3
01042020,53.43
02042020,53.43
03042020,70.14
06042020,70.14
07042020,73.17
08042020,49.97
09042020,44.71
10042020,44.71
13042020,61.05
15042020,90.64
16042020,54.71
17042020,55.14
20042020,60.64
21042020,62.81
22042020,66.05
23042020,70.1
24042020,49.24
27042020,68.69
28042020,53.94
29042020,67.73
30042020,64.09
01052020,64.09
04052020,72.54
05052020,73.29
06052020,20.12
07052020,30.08
08052020,40.97
11052020,42.7
12052020,45.68
13052020,43.91
14052020,55.25
15052020,59.12
18052020,69.91
19052020,43.41
20052020,53.36
21052020,29.94
22052020,53.28
25052020,53.28
26052020,62.46
27052020,51.93
28052020,62.06
29052020,57.07
01062020,56.61
02062020,59.62
03062020,65.3
04062020,29.06
05062020,49.47
08062020,57.89
09062020,60.17
10062020,57.62
11062020,63.88
12062020,54.42
15062020,60.96
16062020,45.2
17062020,67.1
18062020,52.03
19062020,69.75
22062020,57.49
23062020,59.04
24062020,36.53
25062020,50.65
26062020,56.56
29062020,40.14
30062020,63.9
01072020,75.54
02072020,21.87
03072020,43.53
06072020,58.14
07072020,75.27
08072020,34.75
09072020,40.89
10072020,26.78
13072020,63.9
14072020,56.67
15072020,44.47
16072020,41.61
17072020,60.75
20072020,54.06
21072020,50.33
22072020,44.49
23072020,49.03
24072020,66.43
27072020,66.82
28072020,62.75
29072020,69.88
30072020,45.69
31072020,62.35
03082020,70.94
04082020,58.25
05082020,74.52
06082020,58.08
07082020,64.14
10082020,56.09
11082020,54.17
12082020,91.34
13082020,58.25
14082020,46.08
17082020,79.3
18082020,82.97
19082020,45.69
20082020,30.48
21082020,29.56
24082020,54.68
25082020,66.98
26082020,54.46
27082020,59.73
28082020,69.96
31082020,61.4
01092020,50.16
02092020,68.06
03092020,65.99
04092020,80.16
07092020,57.08
08092020,64.55
09092020,75.39
10092020,69.19
11092020,84.93
14092020,30.41
15092020,55.68
16092020,41.66
17092020,46.24
18092020,51.97
21092020,74.78
22092020,48.94
23092020,36.64
24092020,43.89
25092020,30.03
28092020,68.23
29092020,47.65
