Date,DelPerc
01102019,42.75
03102019,46.32
04102019,37.76
07102019,30.9
08102019,30.9
09102019,31.14
10102019,29.26
11102019,26.07
14102019,27.82
15102019,25.52
16102019,29.39
17102019,22.06
18102019,21.21
21102019,21.21
22102019,32.44
23102019,23.72
24102019,22.33
25102019,27.98
28102019,37.38
29102019,34.92
30102019,29.63
31102019,36.14
01112019,34.13
04112019,45.91
05112019,33.41
06112019,44.1
07112019,29.41
08112019,26.89
11112019,30.89
12112019,30.89
13112019,44.24
14112019,41.09
15112019,45.93
18112019,50.06
19112019,22.19
20112019,32.95
21112019,31.61
22112019,31.1
25112019,49.65
26112019,34.2
27112019,22.05
28112019,24.88
29112019,31.32
02122019,18.18
03122019,23.66
04122019,70.38
05122019,54.23
06122019,32.24
09122019,34.87
10122019,42.84
11122019,51.09
12122019,54.36
13122019,55.77
16122019,29.39
17122019,34.95
18122019,37.68
19122019,34.39
20122019,57.41
23122019,24.38
24122019,28.07
25122019,28.07
26122019,33.82
27122019,31.71
30122019,47.18
31122019,48.79
01012020,42.19
02012020,38.02
03012020,40.85
06012020,59.06
07012020,29.42
08012020,42.94
09012020,27.16
10012020,20.38
13012020,37.36
14012020,58.37
15012020,48.99
16012020,21.08
17012020,38.1
20012020,43.08
21012020,30.28
22012020,39.94
23012020,36.32
24012020,50.07
27012020,43.89
28012020,51.8
29012020,48.7
30012020,34.42
31012020,24.59
03022020,24.87
04022020,39.49
05022020,37.67
06022020,45.59
07022020,48.47
10022020,51.09
11022020,54.16
12022020,33.14
13022020,45.33
14022020,39.25
17022020,43.24
18022020,49.24
19022020,37.53
20022020,43.78
21022020,43.78
24022020,48.03
25022020,27.81
26022020,29.08
27022020,54.4
28022020,55.8
02032020,44.51
03032020,35.46
04032020,44.64
05032020,36.06
06032020,45.01
09032020,61.1
10032020,61.1
11032020,31.79
12032020,52.63
13032020,48.45
16032020,43.33
17032020,42.21
18032020,48.21
19032020,52.6
20032020,66.91
23032020,92.97
24032020,86.37
25032020,75.02
26032020,89.71
27032020,78.6
30032020,100.0
31032020,67.82
01042020,99.86
02042020,99.86
03042020,98.31
06042020,98.31
07042020,88.91
08042020,61.22
09042020,52.56
10042020,52.56
13042020,64.66
15042020,70.82
16042020,58.18
17042020,59.3
20042020,60.3
21042020,68.87
22042020,42.97
23042020,66.29
24042020,60.6
27042020,63.46
28042020,76.43
29042020,73.25
30042020,60.51
01052020,60.51
04052020,83.73
05052020,85.77
06052020,86.63
07052020,77.28
08052020,64.54
11052020,71.61
12052020,79.98
13052020,63.86
14052020,64.94
15052020,61.43
18052020,72.79
19052020,50.58
20052020,69.65
21052020,80.69
22052020,60.69
25052020,60.69
26052020,90.84
27052020,100.0
28052020,100.0
29052020,57.29
01062020,73.84
02062020,100.0
03062020,99.18
04062020,53.71
05062020,56.75
08062020,48.31
09062020,63.52
10062020,55.63
11062020,62.36
12062020,55.97
15062020,57.44
16062020,46.83
17062020,52.01
18062020,51.02
19062020,41.94
22062020,61.71
23062020,79.01
24062020,56.23
25062020,38.55
26062020,45.66
29062020,58.05
30062020,42.74
01072020,44.57
02072020,36.8
03072020,42.25
06072020,42.08
07072020,57.29
08072020,52.3
09072020,47.83
10072020,49.91
13072020,54.66
14072020,55.95
15072020,59.43
16072020,60.29
17072020,60.92
20072020,50.16
21072020,66.94
22072020,60.69
23072020,65.0
24072020,54.19
27072020,69.03
28072020,75.81
29072020,45.62
30072020,66.18
31072020,74.03
03082020,63.65
04082020,68.69
05082020,47.04
06082020,47.34
07082020,26.21
10082020,40.1
11082020,46.96
12082020,31.19
13082020,30.21
14082020,37.59
17082020,36.62
18082020,35.18
19082020,38.34
20082020,35.25
21082020,47.64
24082020,65.02
25082020,45.32
26082020,43.01
27082020,41.85
28082020,39.53
31082020,48.72
01092020,44.89
02092020,49.75
03092020,55.58
04092020,56.9
07092020,48.35
08092020,35.42
09092020,43.26
10092020,38.47
11092020,49.96
14092020,43.95
