Date,DelPerc
11022025,53.02
12022025,37.39
13022025,46.64
14022025,46.15
17022025,36.1
18022025,29.88
19022025,29.19
20022025,16.56
21022025,14.38
24022025,17.65
25022025,33.14
27022025,20.24
28022025,29.77
03032025,34.03
04032025,29.99
05032025,34.81
06032025,37.57
07032025,41.64
10032025,46.11
11032025,35.06
12032025,62.15
13032025,48.5
17032025,40.55
18032025,41.94
19032025,39.66
20032025,40.17
21032025,39.82
24032025,47.48
25032025,48.83
26032025,45.72
27032025,53.4
28032025,50.76
01042025,45.41
02042025,42.95
03042025,54.48
04042025,57.5
07042025,39.04
08042025,36.72
09042025,39.26
11042025,59.99
15042025,49.97
16042025,38.03
17042025,34.89
21042025,24.64
22042025,34.37
23042025,30.6
24042025,45.37
25042025,46.71
28042025,34.87
29042025,38.46
30042025,51.63
02052025,47.78
05052025,47.68
06052025,62.0
07052025,52.27
08052025,34.31
09052025,47.83
12052025,55.18
13052025,40.78
14052025,57.29
15052025,41.54
16052025,50.13
19052025,49.39
20052025,56.0
21052025,45.45
22052025,46.62
23052025,32.4
26052025,46.79
27052025,55.26
28052025,43.44
29052025,39.54
30052025,42.68
02062025,55.06
03062025,50.33
04062025,57.99
05062025,50.93
06062025,60.04
09062025,48.48
10062025,50.07
11062025,44.69
12062025,51.16
13062025,41.14
16062025,52.54
17062025,45.47
18062025,49.14
19062025,61.25
20062025,42.86
23062025,45.93
24062025,43.97
25062025,44.06
26062025,49.41
27062025,50.53
30062025,46.14
01072025,48.21
02072025,51.34
03072025,52.8
04072025,51.21
07072025,54.59
08072025,55.96
09072025,68.5
10072025,54.76
11072025,28.55
14072025,39.38
15072025,52.5
16072025,49.03
17072025,64.45
18072025,11.72
21072025,16.94
22072025,23.87
23072025,19.12
24072025,31.16
25072025,40.26
28072025,35.13
29072025,17.98
30072025,32.88
31072025,30.86
01082025,46.78
04082025,37.47
05082025,38.92
06082025,48.88
07082025,30.43
08082025,32.25
11082025,33.01
12082025,29.94
13082025,16.74
14082025,19.83
18082025,33.21
19082025,11.96
20082025,10.6
21082025,20.0
22082025,16.68
25082025,29.57
26082025,28.41
28082025,16.89
29082025,14.93
01092025,19.54
02092025,22.02
03092025,38.5
04092025,32.92
05092025,23.44
08092025,27.34
09092025,38.12
10092025,42.14
11092025,30.74
12092025,39.08
15092025,23.33
16092025,33.49
17092025,25.28
18092025,10.94
19092025,13.06
22092025,26.34
23092025,19.28
24092025,31.44
25092025,35.02
26092025,21.52
29092025,22.48
30092025,29.19
01102025,21.7
03102025,25.51
06102025,19.98
07102025,21.42
08102025,31.9
09102025,34.74
10102025,28.38
13102025,33.85
14102025,25.16
15102025,25.45
16102025,36.15
17102025,43.97
20102025,19.83
21102025,49.78
22102025,49.78
23102025,41.62
24102025,38.12
27102025,41.27
28102025,31.01
29102025,48.21
30102025,31.81
31102025,44.39
03112025,41.75
04112025,46.19
05112025,46.19
06112025,26.48
07112025,41.89
10112025,38.01
11112025,21.11
12112025,33.33
13112025,43.86
14112025,34.04
17112025,49.15
18112025,35.75
19112025,52.83
20112025,36.17
21112025,55.09
24112025,44.83
25112025,36.47
26112025,40.78
27112025,37.46
28112025,46.01
01122025,44.88
02122025,55.54
03122025,51.48
04122025,36.12
05122025,49.23
08122025,56.69
09122025,30.01
10122025,56.82
11122025,40.84
12122025,49.72
15122025,39.8
16122025,51.89
17122025,5.88
18122025,10.56
19122025,25.57
22122025,28.23
23122025,42.05
24122025,40.71
25122025,40.71
26122025,29.67
29122025,41.73
30122025,42.06
31122025,51.64
01012026,48.47
02012026,43.5
05012026,48.6
06012026,45.36
07012026,54.32
08012026,45.76
09012026,44.02
12012026,45.32
13012026,39.15
14012026,46.96
15012026,46.96
16012026,54.15
19012026,48.8
20012026,35.83
21012026,37.19
22012026,34.84
23012026,40.45
27012026,36.39
28012026,38.34
29012026,37.29
30012026,41.87
02022026,45.05
03022026,44.77
04022026,49.88
05022026,49.58
06022026,50.31
