Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,44.42,406.7,410.45,413.8,400.0,402.45,-1.04
02012025,70.31,402.45,402.55,412.45,400.2,402.55,0.02
03012025,68.37,402.55,411.9,414.0,399.1,406.35,0.94
06012025,80.92,406.35,408.9,408.9,399.0,400.35,-1.48
07012025,80.91,400.35,400.35,410.0,397.55,406.0,1.41
08012025,43.64,406.0,414.55,424.4,400.0,405.4,-0.15
09012025,62.45,405.4,414.0,414.0,390.05,396.2,-2.27
10012025,57.59,396.2,396.2,404.05,376.5,381.95,-3.6
13012025,64.24,381.95,382.0,388.4,362.85,362.85,-5.0
14012025,86.3,362.85,359.45,360.95,344.7,345.75,-4.71
15012025,60.17,345.75,331.05,355.25,331.05,348.1,0.68
16012025,62.45,348.1,345.2,359.35,340.0,355.1,2.01
17012025,64.38,355.1,366.35,366.35,343.0,350.3,-1.35
20012025,87.41,350.3,350.3,367.8,350.3,367.8,5.0
21012025,46.27,367.8,383.95,383.95,356.4,358.75,-2.46
22012025,57.77,358.75,363.9,363.9,346.45,347.95,-3.01
23012025,79.61,347.95,350.85,355.0,338.55,340.8,-2.05
24012025,81.65,340.8,344.3,344.3,325.0,328.35,-3.65
27012025,55.1,328.35,313.0,343.0,311.95,323.4,-1.51
28012025,74.4,323.4,316.25,339.55,307.25,338.6,4.7
29012025,49.79,338.6,342.5,348.15,338.05,346.35,2.29
30012025,81.76,346.35,348.35,348.35,331.55,339.1,-2.09
31012025,82.82,339.1,356.0,356.0,322.15,322.15,-5.0
03022025,66.64,320.05,328.9,329.0,304.05,322.75,0.84
04022025,60.5,322.75,322.75,332.95,319.95,329.8,2.18
05022025,61.83,329.8,331.7,340.05,331.7,337.55,2.35
06022025,61.66,337.55,343.25,347.5,326.15,328.2,-2.77
07022025,43.06,328.2,325.0,329.65,322.0,322.35,-1.78
10022025,49.18,322.35,320.95,353.0,319.8,332.4,3.12
11022025,68.46,332.4,339.0,339.0,299.2,303.4,-8.72
12022025,50.06,303.4,312.2,312.2,279.15,300.2,-1.05
13022025,59.9,300.2,310.0,310.0,283.05,290.15,-3.35
14022025,53.93,290.15,293.15,310.0,288.05,299.95,3.38
17022025,76.31,299.95,278.9,308.3,278.5,299.25,-0.23
18022025,55.77,299.25,294.2,309.8,291.55,294.55,-1.57
19022025,61.13,294.55,294.0,298.95,285.0,292.3,-0.76
20022025,44.82,292.3,292.05,314.95,274.1,288.25,-1.39
21022025,62.84,288.25,289.1,291.95,282.05,284.8,-1.2
24022025,78.28,284.8,282.05,295.0,279.1,290.75,2.09
25022025,81.63,290.75,280.05,292.8,280.05,285.6,-1.77
27022025,77.29,285.6,286.1,290.0,280.35,283.55,-0.72
28022025,67.88,283.55,282.05,282.05,262.55,267.05,-5.82
03032025,74.24,267.05,267.05,280.4,259.45,276.2,3.43
04032025,83.13,276.2,266.95,288.25,266.05,276.7,0.18
05032025,84.38,276.7,283.5,285.75,270.35,276.6,-0.04
06032025,78.72,276.6,276.6,289.0,276.6,285.9,3.36
07032025,77.75,285.9,293.0,300.65,285.0,287.05,0.4
10032025,61.96,287.05,298.0,298.0,266.75,276.3,-3.74
11032025,68.24,276.3,266.2,272.6,254.0,261.45,-5.37
12032025,68.56,261.45,262.75,265.45,252.35,255.95,-2.1
13032025,83.04,255.95,255.95,264.0,255.0,256.75,0.31
17032025,66.22,256.75,275.95,275.95,252.5,257.5,0.29
18032025,66.54,257.5,257.5,266.95,256.2,259.25,0.68
19032025,70.82,259.25,257.65,276.45,257.65,274.45,5.86
20032025,74.73,274.45,273.5,301.85,270.3,301.85,9.98
21032025,52.49,301.85,315.0,325.95,284.1,292.8,-3.0
24032025,71.9,292.8,290.0,297.3,284.8,285.5,-2.49
25032025,66.37,285.5,285.5,289.95,278.0,285.65,0.05
26032025,58.27,285.65,286.35,290.0,270.15,272.15,-4.73
27032025,65.07,272.15,280.0,280.0,260.0,263.1,-3.33
28032025,58.1,263.1,265.1,276.65,259.55,262.0,-0.42
01042025,28.56,262.0,271.65,287.95,265.2,280.15,6.93
02042025,46.56,280.15,282.35,284.4,271.0,278.05,-0.75
03042025,67.01,278.05,281.6,290.0,275.0,278.05,0.0
04042025,52.39,278.05,278.0,291.1,272.0,280.6,0.92
07042025,46.67,280.6,254.8,277.95,254.8,265.45,-5.4
08042025,40.21,265.45,272.45,272.5,263.5,268.1,1.0
09042025,65.42,268.1,269.7,269.75,260.35,266.7,-0.52
11042025,48.44,266.7,282.55,282.55,268.0,278.4,4.39
15042025,53.5,278.4,282.6,293.85,280.05,283.4,1.8
16042025,52.44,283.4,287.65,318.3,278.55,309.85,9.33
17042025,65.5,309.85,309.0,311.95,288.5,291.0,-6.08
21042025,48.27,291.0,291.8,298.7,285.55,290.15,-0.29
22042025,72.78,290.15,290.0,294.5,286.5,290.15,0.0
23042025,71.44,290.15,287.05,294.2,283.95,285.1,-1.74
24042025,60.47,285.1,286.4,286.5,279.6,283.95,-0.4
25042025,70.2,283.95,286.2,286.2,270.0,270.35,-4.79
28042025,58.08,270.35,271.6,278.8,269.5,272.05,0.63
29042025,54.1,272.05,272.05,279.05,270.0,271.1,-0.35
30042025,43.52,271.1,271.0,277.4,270.0,270.5,-0.22
02052025,56.43,270.5,270.55,276.8,262.25,265.4,-1.89
05052025,64.42,265.4,269.4,275.2,264.75,270.1,1.77
06052025,63.18,270.1,272.9,275.05,267.0,269.0,-0.41
07052025,59.71,269.0,267.2,274.35,267.0,268.55,-0.17
08052025,52.28,268.55,269.75,284.4,266.85,270.25,0.63
09052025,63.42,270.25,262.0,294.8,262.0,265.4,-1.79
12052025,55.67,265.4,272.35,279.0,271.0,276.6,4.22
13052025,68.56,276.6,278.35,293.0,277.05,281.1,1.63
14052025,54.45,281.1,283.4,289.0,277.95,284.05,1.05
15052025,50.63,284.05,286.75,298.9,286.25,289.7,1.99
16052025,67.01,289.7,292.2,305.5,289.7,303.45,4.75
19052025,73.26,303.45,305.0,318.3,303.45,304.35,0.3
20052025,66.34,304.35,304.35,309.9,296.0,299.55,-1.58
21052025,75.49,299.55,291.7,303.65,291.65,296.7,-0.95
22052025,67.52,296.7,300.0,303.6,295.1,299.95,1.1
23052025,61.72,299.95,297.0,303.0,292.0,294.95,-1.67
26052025,53.93,294.95,295.8,301.05,294.55,298.85,1.32
27052025,64.24,298.85,307.8,307.8,294.5,296.5,-0.79
28052025,78.39,296.5,300.0,301.2,297.15,300.75,1.43
29052025,55.68,300.75,305.2,305.25,290.15,295.95,-1.6
30052025,54.51,295.95,296.05,310.0,277.0,289.15,-2.3
02062025,58.1,289.15,286.55,294.0,281.0,283.05,-2.11
03062025,65.76,283.05,283.05,293.0,282.95,287.75,1.66
04062025,42.08,287.75,291.4,304.5,289.3,294.9,2.48
05062025,67.02,294.9,294.9,299.9,291.2,292.25,-0.9
06062025,50.3,292.25,292.25,298.8,287.05,292.8,0.19
09062025,75.34,292.8,297.0,300.25,290.25,297.4,1.57
10062025,69.53,297.4,298.15,302.95,291.55,296.3,-0.37
11062025,60.39,296.3,294.0,301.35,294.0,295.35,-0.32
12062025,46.37,295.35,295.05,303.8,293.2,293.8,-0.52
13062025,56.58,293.8,299.0,299.0,289.05,290.25,-1.21
16062025,55.74,290.25,288.0,291.0,283.8,285.9,-1.5
17062025,59.54,285.9,285.0,292.45,285.0,288.45,0.89
18062025,63.09,288.45,284.05,291.7,280.55,284.45,-1.39
19062025,64.73,284.45,282.5,286.45,277.95,278.8,-1.99
20062025,53.99,278.8,278.8,287.2,276.05,277.6,-0.43
23062025,69.97,277.6,273.4,288.9,273.4,286.0,3.03
24062025,63.38,286.0,288.0,292.0,285.0,287.4,0.49
25062025,82.23,287.4,288.8,292.75,284.5,285.9,-0.52
26062025,77.05,285.9,286.7,288.65,282.5,283.35,-0.89
27062025,69.26,283.35,286.55,288.05,283.25,285.3,0.69
30062025,64.39,285.3,287.0,314.7,283.35,300.6,5.36
01072025,58.61,300.6,302.1,308.5,295.3,299.25,-0.45
02072025,57.65,299.25,299.25,316.0,297.35,300.75,0.5
03072025,47.39,300.75,301.05,314.8,298.35,307.1,2.11
04072025,49.5,307.1,307.05,312.0,301.8,306.9,-0.07
07072025,62.12,306.9,304.2,306.85,292.0,295.8,-3.62
08072025,60.06,295.8,298.0,319.0,295.0,305.3,3.21
09072025,12.28,305.3,308.0,352.5,306.8,342.1,12.05
10072025,32.55,342.1,338.5,354.2,331.1,340.7,-0.41
11072025,50.22,340.7,339.0,339.4,328.4,330.15,-3.1
14072025,31.23,330.15,333.4,350.85,326.85,333.35,0.97
15072025,60.7,333.35,336.0,337.75,330.0,336.15,0.84
16072025,43.44,336.15,339.25,348.0,338.0,341.0,1.44
17072025,56.35,341.0,343.55,347.7,335.95,337.1,-1.14
18072025,25.53,337.1,338.3,368.7,335.1,355.4,5.43
21072025,32.97,355.4,355.45,381.35,350.35,356.0,0.17
22072025,51.19,356.0,357.8,357.8,349.0,353.45,-0.72
23072025,57.09,353.45,357.0,357.0,343.45,347.95,-1.56
24072025,51.31,347.95,348.05,369.8,348.05,365.0,4.9
25072025,30.16,365.0,364.35,384.0,345.35,351.15,-3.79
28072025,43.11,351.15,353.95,359.45,338.8,346.55,-1.31
29072025,58.25,346.55,346.45,365.0,345.0,360.8,4.11
30072025,39.88,360.8,366.0,377.05,361.05,366.7,1.64
31072025,57.68,366.7,356.35,369.2,354.15,365.75,-0.26
01082025,69.84,365.75,362.7,367.5,343.5,346.1,-5.37
04082025,40.89,346.1,349.55,352.0,330.9,347.25,0.33
05082025,66.32,347.25,347.25,368.4,344.95,354.3,2.03
06082025,47.07,354.3,354.8,360.45,335.75,340.25,-3.97
07082025,63.78,340.25,339.65,348.0,333.9,344.45,1.23
08082025,70.13,344.45,347.75,347.75,336.45,337.9,-1.9
11082025,53.2,337.9,342.9,361.45,342.9,355.8,5.3
12082025,52.36,355.8,360.25,365.5,330.0,346.8,-2.53
13082025,37.37,346.8,348.95,371.5,327.6,353.3,1.87
14082025,49.13,353.3,355.5,359.15,331.3,346.6,-1.9
18082025,64.25,346.6,346.6,390.0,346.6,386.5,11.51
19082025,40.61,386.5,386.5,395.0,382.4,386.0,-0.13
20082025,42.17,386.0,380.2,383.85,363.6,377.1,-2.31
21082025,58.95,377.1,378.95,387.4,370.8,376.0,-0.29
22082025,44.78,376.0,377.9,405.45,375.1,391.35,4.08
25082025,45.27,391.35,393.7,415.8,392.95,403.1,3.0
26082025,52.69,403.1,405.15,410.95,388.25,391.55,-2.87
28082025,39.22,391.55,386.55,403.0,376.3,391.0,-0.14
29082025,55.32,391.0,390.15,392.85,372.0,374.55,-4.21
01092025,51.54,374.55,377.55,377.55,367.0,368.5,-1.62
02092025,48.37,368.5,368.05,379.9,365.85,376.35,2.13
03092025,56.71,376.35,378.85,378.85,371.5,373.35,-0.8
04092025,69.33,373.35,375.0,377.7,370.05,372.25,-0.29
05092025,58.03,372.25,370.1,374.0,362.35,368.7,-0.95
08092025,44.29,368.7,361.35,382.45,358.55,377.5,2.39
09092025,61.22,377.5,379.4,388.7,375.0,384.55,1.87
10092025,51.67,384.55,382.0,387.45,373.25,374.85,-2.52
11092025,60.11,374.85,374.05,377.25,353.35,355.2,-5.24
12092025,64.35,355.2,360.55,368.0,356.05,364.9,2.73
15092025,38.5,364.9,370.3,384.0,365.0,367.1,0.6
16092025,58.0,367.1,368.2,372.5,365.0,365.9,-0.33
17092025,69.86,365.9,367.9,368.0,359.0,360.75,-1.41
18092025,62.31,360.75,364.35,364.8,350.0,350.7,-2.79
19092025,57.72,350.7,352.25,354.6,339.15,342.1,-2.45
22092025,65.19,342.1,342.1,355.0,336.0,352.35,3.0
23092025,55.44,352.35,351.6,365.0,346.05,362.35,2.84
24092025,65.14,362.35,367.75,367.75,344.45,347.75,-4.03
25092025,47.1,347.75,352.95,352.95,333.05,335.85,-3.42
26092025,42.49,335.85,335.5,341.45,327.25,337.35,0.45
29092025,47.61,337.35,338.5,348.0,333.9,342.45,1.51
30092025,27.88,342.45,347.6,367.0,338.0,351.95,2.77
01102025,53.25,351.95,354.7,364.0,342.55,343.95,-2.27
03102025,42.52,343.95,345.75,357.8,341.0,342.75,-0.35
06102025,46.66,342.75,343.25,348.0,329.5,334.0,-2.55
07102025,57.93,334.0,334.1,341.45,327.85,329.0,-1.5
08102025,59.17,329.0,331.05,333.9,318.55,320.8,-2.49
09102025,69.46,320.8,325.0,325.0,316.85,320.0,-0.25
10102025,56.41,320.0,324.8,324.85,319.8,321.7,0.53
13102025,65.74,321.7,322.1,323.0,314.35,316.3,-1.68
14102025,60.29,316.3,320.0,320.35,312.0,313.7,-0.82
15102025,72.64,313.7,317.85,318.0,306.0,308.1,-1.79
16102025,58.27,308.1,309.0,316.0,307.6,313.45,1.74
17102025,70.36,313.45,314.4,315.6,311.1,312.7,-0.24
20102025,58.46,312.7,315.45,315.45,307.1,310.7,-0.64
21102025,84.99,310.7,310.5,320.3,310.5,318.75,2.59
22102025,84.99,310.7,310.5,320.3,310.5,318.75,2.59
23102025,81.3,318.75,318.75,323.0,314.95,318.65,-0.03
24102025,72.86,318.65,318.0,324.05,317.3,322.8,1.3
27102025,59.16,322.8,322.8,322.8,312.95,314.55,-2.56
28102025,65.49,314.55,316.8,321.5,306.35,310.15,-1.4
29102025,68.94,310.15,308.0,315.75,307.65,311.7,0.5
30102025,77.77,311.7,311.95,314.15,310.0,310.15,-0.5
31102025,54.55,310.15,307.0,316.9,307.0,314.8,1.5
03112025,81.31,314.8,318.9,318.9,299.6,303.15,-3.7
04112025,81.12,303.15,300.1,304.85,300.1,302.1,-0.35
05112025,81.12,303.15,300.1,304.85,300.1,302.1,-0.35
06112025,75.32,302.1,300.7,306.55,297.05,299.25,-0.94
07112025,69.95,299.25,300.3,301.9,295.05,300.85,0.53
10112025,68.08,300.85,305.4,305.4,297.55,298.7,-0.71
11112025,64.1,298.7,298.7,306.0,293.45,298.2,-0.17
12112025,51.37,298.2,292.0,304.7,287.45,302.75,1.53
13112025,59.1,302.75,302.75,304.7,271.1,273.3,-9.73
14112025,65.86,273.3,277.0,280.0,272.05,274.4,0.4
17112025,56.41,274.4,274.4,281.85,266.0,278.2,1.38
18112025,52.83,278.2,279.6,289.15,279.3,282.45,1.53
19112025,53.31,282.45,285.5,290.9,277.35,279.7,-0.97
20112025,42.12,279.7,281.8,285.75,276.75,279.55,-0.05
21112025,54.48,279.55,279.95,279.95,272.15,274.25,-1.9
24112025,77.95,274.25,272.1,273.0,260.1,261.9,-4.5
25112025,66.43,261.9,262.0,267.25,262.0,263.8,0.73
26112025,65.54,263.8,267.4,272.9,266.75,271.4,2.88
27112025,59.3,271.4,272.05,273.25,270.45,271.7,0.11
