Date,DelPerc
04092024,29.41
05092024,14.26
06092024,22.43
09092024,18.75
10092024,12.97
11092024,12.66
12092024,25.49
13092024,17.1
16092024,19.28
17092024,12.82
18092024,12.7
19092024,16.68
20092024,18.27
23092024,12.54
24092024,27.65
25092024,21.5
26092024,28.84
27092024,32.66
30092024,33.81
01102024,20.18
03102024,42.76
04102024,25.1
07102024,25.74
08102024,40.94
09102024,24.47
10102024,33.64
11102024,34.59
14102024,30.99
15102024,31.4
16102024,22.86
17102024,42.88
18102024,19.4
21102024,51.37
22102024,46.97
23102024,11.17
24102024,45.2
25102024,30.58
28102024,33.25
29102024,43.78
30102024,28.16
31102024,21.67
01112024,46.91
04112024,39.83
05112024,33.0
06112024,21.72
07112024,35.74
08112024,35.32
11112024,47.22
12112024,39.73
13112024,54.95
14112024,43.0
18112024,54.18
19112024,44.7
20112024,44.7
21112024,46.84
22112024,38.3
25112024,47.75
26112024,65.63
27112024,56.78
28112024,47.73
29112024,29.36
02122024,48.65
03122024,68.37
04122024,39.83
05122024,42.39
06122024,38.7
09122024,50.86
10122024,50.5
11122024,43.93
12122024,51.35
13122024,38.11
16122024,57.86
17122024,49.77
18122024,45.66
19122024,34.45
20122024,47.27
23122024,42.14
24122024,27.23
25122024,27.23
26122024,37.82
27122024,33.35
30122024,38.06
31122024,45.66
01012025,41.64
02012025,41.69
03012025,39.1
06012025,54.33
07012025,42.88
08012025,39.68
09012025,49.46
10012025,45.63
13012025,62.33
14012025,40.46
15012025,36.95
16012025,39.22
17012025,44.33
20012025,25.46
21012025,29.44
22012025,29.97
23012025,47.53
24012025,33.04
27012025,34.74
28012025,43.75
29012025,36.3
30012025,34.63
31012025,41.74
03022025,50.61
04022025,45.09
05022025,27.04
06022025,20.31
07022025,35.6
10022025,29.11
11022025,39.95
12022025,44.17
13022025,35.16
14022025,49.86
17022025,41.48
18022025,36.97
19022025,34.07
20022025,43.86
21022025,42.49
24022025,38.03
25022025,43.3
27022025,46.2
28022025,42.05
03032025,45.63
04032025,35.1
05032025,61.59
06032025,59.82
07032025,32.66
10032025,46.92
11032025,43.21
12032025,46.23
13032025,36.39
17032025,63.06
18032025,53.6
19032025,43.07
20032025,65.83
21032025,29.53
24032025,55.35
25032025,75.91
26032025,71.36
27032025,52.73
28032025,45.38
01042025,45.78
02042025,39.68
03042025,45.33
04042025,48.15
07042025,32.34
08042025,36.33
09042025,49.88
11042025,46.24
15042025,53.57
16042025,36.8
17042025,57.75
21042025,48.07
22042025,41.16
23042025,41.89
24042025,38.88
25042025,40.72
28042025,32.95
29042025,37.14
30042025,54.7
02052025,47.16
05052025,42.24
06052025,56.98
07052025,25.87
08052025,32.12
09052025,33.26
12052025,50.44
13052025,38.71
14052025,73.78
15052025,32.63
16052025,42.08
19052025,52.21
20052025,20.45
21052025,16.23
22052025,15.81
23052025,35.29
26052025,33.76
27052025,34.99
28052025,41.21
29052025,36.67
30052025,43.03
02062025,36.4
03062025,40.31
04062025,35.11
05062025,42.17
06062025,42.6
09062025,42.37
10062025,38.39
11062025,39.5
12062025,43.73
13062025,38.82
16062025,30.27
17062025,42.03
18062025,38.06
19062025,36.33
20062025,43.94
23062025,34.77
24062025,40.56
25062025,16.84
26062025,29.83
27062025,39.38
30062025,31.62
01072025,28.84
02072025,36.72
03072025,33.22
04072025,42.08
07072025,39.45
08072025,36.23
09072025,37.66
10072025,37.02
11072025,18.51
14072025,20.02
15072025,34.62
16072025,38.56
17072025,33.28
18072025,27.58
21072025,21.62
22072025,42.23
23072025,30.97
24072025,47.5
25072025,42.91
28072025,34.43
29072025,28.31
30072025,79.73
31072025,45.67
01082025,30.47
04082025,29.24
05082025,40.79
06082025,15.84
07082025,36.4
08082025,46.42
11082025,43.55
12082025,38.86
13082025,43.41
14082025,47.47
18082025,54.07
19082025,45.67
20082025,31.73
21082025,41.73
22082025,27.68
25082025,55.14
26082025,38.01
28082025,41.72
29082025,45.65
01092025,32.8
02092025,44.45
03092025,46.43
04092025,60.06
05092025,47.18
08092025,45.48
09092025,49.98
10092025,49.76
11092025,56.87
12092025,55.83
15092025,58.55
16092025,73.04
17092025,58.04
18092025,80.46
19092025,74.03
22092025,56.29
23092025,54.19
24092025,47.27
25092025,49.54
26092025,50.73
29092025,68.59
30092025,49.13
01102025,49.06
03102025,40.92
06102025,48.12
07102025,33.54
08102025,43.29
09102025,35.24
10102025,36.5
13102025,50.05
14102025,56.46
15102025,46.29
16102025,39.45
17102025,44.49
20102025,30.5
21102025,56.96
22102025,56.96
23102025,50.44
24102025,51.57
27102025,53.01
28102025,51.64
29102025,49.35
30102025,52.82
31102025,60.27
03112025,54.28
04112025,47.48
05112025,47.48
06112025,59.69
07112025,44.76
10112025,59.88
11112025,47.69
12112025,15.92
13112025,19.45
14112025,37.4
17112025,21.99
18112025,45.42
19112025,28.56
20112025,58.99
21112025,60.94
24112025,46.35
25112025,43.53
26112025,56.43
27112025,32.34
28112025,35.21
01122025,28.04
02122025,48.45
03122025,52.93
04122025,51.11
05122025,42.16
08122025,43.85
09122025,65.17
10122025,33.82
11122025,37.83
12122025,70.58
