Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,30.66,407.5,415.0,451.5,415.0,446.95,9.68
02012025,45.29,446.95,440.15,447.15,432.55,438.65,-1.86
03012025,40.53,438.65,441.8,455.7,434.5,438.7,0.01
06012025,51.96,438.7,441.9,442.0,408.7,411.45,-6.21
07012025,42.77,411.45,421.0,427.0,412.05,424.25,3.11
08012025,35.46,424.25,424.25,431.7,409.0,419.15,-1.2
09012025,45.87,419.15,417.5,423.5,404.1,406.6,-2.99
10012025,41.81,406.6,403.25,408.85,388.2,396.55,-2.47
13012025,41.16,396.55,400.0,400.0,365.3,374.1,-5.66
14012025,42.52,374.1,379.7,386.9,376.0,384.65,2.82
15012025,44.14,384.65,382.3,408.05,382.3,396.0,2.95
16012025,37.61,396.0,396.0,405.5,392.65,395.55,-0.11
17012025,49.6,395.55,391.0,398.4,389.05,393.75,-0.46
20012025,50.53,393.75,399.05,409.95,392.2,399.95,1.57
21012025,50.78,399.95,401.2,402.1,385.0,387.95,-3.0
22012025,47.71,387.95,393.75,393.75,375.1,378.5,-2.44
23012025,31.79,378.5,375.1,399.45,375.1,390.85,3.26
24012025,44.65,390.85,387.9,387.9,375.0,377.1,-3.52
27012025,52.12,377.1,375.0,375.0,355.2,361.55,-4.12
28012025,42.93,361.55,363.0,363.95,337.3,349.05,-3.46
29012025,52.22,349.05,351.0,374.95,351.0,370.5,6.15
30012025,40.33,370.5,373.0,377.25,366.95,372.1,0.43
31012025,50.23,372.1,375.65,380.9,369.9,378.05,1.6
03022025,31.18,394.25,400.0,409.0,384.05,402.5,2.09
04022025,27.94,402.5,402.0,414.9,401.0,406.25,0.93
05022025,49.44,406.25,405.05,411.5,401.0,401.9,-1.07
06022025,39.18,401.9,404.1,410.4,399.95,403.55,0.41
07022025,36.95,403.55,405.0,413.55,393.8,396.65,-1.71
10022025,26.98,396.65,402.9,410.0,362.1,369.8,-6.77
11022025,40.25,369.8,366.65,366.65,347.1,356.65,-3.56
12022025,43.11,356.65,356.85,366.65,346.15,363.2,1.84
13022025,36.6,363.2,360.1,382.9,358.05,374.25,3.04
14022025,44.15,374.25,373.4,373.4,351.15,357.45,-4.49
17022025,46.24,357.45,357.45,364.95,343.8,345.2,-3.43
18022025,64.15,345.2,349.95,350.25,333.3,340.35,-1.4
19022025,49.13,340.35,337.0,348.0,333.8,339.85,-0.15
20022025,38.43,339.85,339.85,365.6,336.45,353.95,4.15
21022025,39.94,353.95,351.3,361.9,340.0,346.05,-2.23
24022025,41.65,346.05,343.0,349.45,334.05,345.05,-0.29
25022025,51.18,345.05,345.05,349.0,341.25,344.35,-0.2
27022025,62.43,344.35,343.0,345.45,333.0,335.5,-2.57
28022025,56.01,335.5,333.05,333.5,313.5,317.3,-5.42
03032025,41.6,317.3,324.0,324.0,304.0,310.7,-2.08
04032025,54.57,310.7,310.0,318.65,306.05,310.7,0.0
05032025,48.14,310.7,308.25,329.0,308.25,326.8,5.18
06032025,47.35,326.8,327.75,340.0,327.75,334.85,2.46
07032025,46.34,334.85,336.85,339.6,331.25,336.5,0.49
10032025,68.57,336.5,340.85,340.85,324.0,325.95,-3.14
11032025,48.48,325.95,321.05,322.45,312.55,319.7,-1.92
12032025,36.9,319.7,318.15,333.8,318.15,324.65,1.55
13032025,27.21,324.65,325.95,340.0,320.65,333.85,2.83
17032025,45.28,333.85,332.7,341.6,326.7,329.1,-1.42
18032025,51.45,329.1,332.0,337.6,331.05,335.65,1.99
19032025,49.58,335.65,340.0,341.0,336.0,339.1,1.03
20032025,57.23,339.1,339.2,342.95,335.0,336.45,-0.78
21032025,46.51,336.45,338.7,348.9,337.8,346.15,2.88
24032025,44.42,346.15,351.1,359.15,346.05,347.3,0.33
25032025,54.21,347.3,351.4,353.25,349.0,351.45,1.19
26032025,58.69,351.45,353.2,354.7,351.0,351.25,-0.06
27032025,64.21,351.25,342.65,355.65,335.0,350.9,-0.1
28032025,43.96,350.9,352.15,363.95,341.4,344.45,-1.84
01042025,32.84,344.45,340.0,355.15,340.0,349.65,1.51
02042025,25.37,349.65,349.8,362.8,346.0,356.5,1.96
03042025,38.45,356.5,356.5,368.6,354.35,363.8,2.05
04042025,58.04,363.8,364.0,365.05,352.1,354.1,-2.67
07042025,44.66,354.1,320.0,353.85,319.25,351.3,-0.79
08042025,27.22,351.3,352.95,360.45,352.95,354.9,1.02
09042025,30.59,354.9,350.05,357.95,345.7,352.5,-0.68
11042025,47.47,352.5,357.0,371.5,353.75,367.9,4.37
15042025,49.07,367.9,371.25,379.8,367.9,376.3,2.28
16042025,47.22,376.3,375.75,375.75,362.0,366.55,-2.59
17042025,46.6,366.55,369.5,384.0,365.9,377.3,2.93
21042025,60.27,377.3,384.2,387.85,375.3,383.95,1.76
22042025,32.05,383.95,381.25,391.45,378.55,385.2,0.33
23042025,42.92,385.2,387.85,388.95,377.8,383.45,-0.45
24042025,38.07,383.45,388.0,389.7,380.7,383.65,0.05
25042025,50.89,383.65,383.65,385.15,362.0,366.55,-4.46
28042025,36.29,366.55,367.0,374.7,365.0,366.65,0.03
29042025,47.28,366.65,367.95,374.35,365.0,365.8,-0.23
30042025,50.73,365.8,365.8,368.25,352.6,353.9,-3.25
02052025,46.23,353.9,355.0,358.15,349.8,355.2,0.37
05052025,31.9,355.2,355.45,363.05,354.15,362.3,2.0
06052025,53.66,362.3,365.0,365.2,346.85,349.15,-3.63
07052025,39.66,349.15,342.6,353.6,340.55,349.95,0.23
08052025,44.2,349.95,354.9,362.85,342.4,344.25,-1.63
09052025,48.99,344.25,338.25,353.95,332.25,341.7,-0.74
12052025,46.05,341.7,350.1,368.95,350.1,364.25,6.6
13052025,56.67,364.25,371.8,375.0,366.2,370.75,1.78
14052025,53.7,370.75,374.8,374.8,366.0,371.15,0.11
