Date,DelPerc
01072025,57.98
02072025,30.51
03072025,43.59
04072025,31.68
07072025,25.14
08072025,36.81
09072025,28.8
10072025,19.51
11072025,27.36
14072025,28.1
15072025,38.84
16072025,24.43
17072025,51.09
18072025,55.84
21072025,43.14
22072025,33.05
23072025,52.88
24072025,50.64
25072025,55.24
28072025,65.0
29072025,78.14
30072025,44.42
31072025,43.75
01082025,44.67
04082025,49.38
05082025,55.83
06082025,64.97
07082025,49.1
08082025,30.04
11082025,48.01
12082025,53.7
13082025,50.43
14082025,54.11
18082025,49.22
19082025,72.41
20082025,44.9
21082025,40.52
22082025,48.28
25082025,59.81
26082025,36.58
28082025,22.06
29082025,50.52
01092025,41.5
02092025,37.83
03092025,43.69
04092025,62.76
05092025,44.8
08092025,53.64
09092025,56.71
10092025,59.69
11092025,58.53
12092025,47.93
15092025,51.68
16092025,69.03
17092025,49.54
18092025,52.67
19092025,58.82
22092025,51.58
23092025,48.53
24092025,44.75
25092025,53.05
26092025,56.92
29092025,47.67
30092025,51.23
01102025,56.52
03102025,53.85
06102025,70.8
07102025,53.48
08102025,63.48
09102025,64.72
10102025,75.09
13102025,61.33
14102025,42.9
15102025,56.44
16102025,42.99
17102025,49.99
20102025,52.78
21102025,49.07
22102025,49.07
23102025,54.65
24102025,60.46
27102025,54.13
28102025,53.89
29102025,48.97
30102025,43.0
31102025,53.26
03112025,57.42
04112025,62.3
05112025,62.3
06112025,68.04
07112025,50.71
10112025,43.82
11112025,44.27
12112025,57.47
13112025,90.3
14112025,91.79
17112025,89.52
18112025,55.51
19112025,86.79
20112025,54.68
21112025,40.86
24112025,60.02
25112025,49.98
26112025,45.06
27112025,57.73
28112025,49.39
01122025,51.28
02122025,63.84
03122025,58.78
04122025,44.65
05122025,52.76
08122025,57.67
09122025,60.59
10122025,95.65
11122025,23.41
12122025,46.68
15122025,56.09
16122025,52.42
17122025,60.91
18122025,47.86
19122025,56.86
22122025,61.21
23122025,55.29
24122025,51.01
25122025,51.01
26122025,62.13
29122025,61.81
30122025,47.34
31122025,49.35
01012026,51.57
02012026,62.57
05012026,64.78
06012026,58.03
07012026,55.92
08012026,54.38
09012026,73.91
12012026,57.69
13012026,49.11
14012026,49.79
15012026,49.79
16012026,37.09
19012026,56.31
20012026,61.67
21012026,43.04
22012026,62.7
23012026,64.67
27012026,57.43
28012026,56.82
29012026,58.88
30012026,51.16
02022026,33.05
03022026,48.83
04022026,55.22
05022026,63.46
06022026,72.45
09022026,54.31
10022026,82.34
11022026,70.09
12022026,62.03
