Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,24.39,161.89,163.25,173.0,160.57,161.59,-0.19
02012025,37.4,161.59,162.0,163.13,158.05,159.0,-1.6
03012025,29.38,159.0,159.5,164.5,158.81,162.1,1.95
06012025,35.1,162.1,162.51,163.51,147.35,150.89,-6.92
07012025,20.99,150.89,149.5,176.98,149.5,161.64,7.12
08012025,41.57,161.64,161.64,162.07,157.27,157.93,-2.3
09012025,46.14,157.93,157.95,159.25,147.21,147.9,-6.35
10012025,35.22,147.9,148.2,149.5,142.01,144.03,-2.62
13012025,36.61,144.03,142.6,144.11,135.35,137.54,-4.51
14012025,39.6,137.54,140.4,141.89,136.02,137.12,-0.31
15012025,27.3,137.12,138.88,140.09,133.35,135.26,-1.36
16012025,26.54,135.26,137.3,144.68,136.46,137.03,1.31
17012025,36.47,137.03,137.03,138.2,135.0,136.34,-0.5
20012025,55.25,136.34,135.0,137.24,133.37,134.64,-1.25
21012025,21.91,134.64,135.95,143.95,133.4,135.18,0.4
22012025,43.61,135.18,135.7,139.0,132.85,137.23,1.52
23012025,32.74,137.23,136.2,139.96,134.15,137.28,0.04
24012025,44.55,137.28,137.0,137.01,130.35,132.13,-3.75
27012025,50.03,132.13,130.8,130.8,124.8,125.96,-4.67
28012025,37.01,125.96,125.96,129.96,116.56,122.84,-2.48
29012025,35.07,122.84,123.5,132.98,123.2,125.49,2.16
30012025,35.45,125.49,127.29,129.9,124.31,126.21,0.57
31012025,48.67,126.21,125.85,129.8,124.23,126.67,0.36
03022025,44.4,131.13,130.9,130.9,124.43,126.12,-3.82
04022025,44.77,126.12,127.74,130.0,126.0,127.62,1.19
05022025,40.44,127.62,128.02,134.8,127.81,132.85,4.1
06022025,58.5,132.85,132.7,134.39,130.55,131.41,-1.08
07022025,53.7,131.41,131.7,131.7,125.4,127.03,-3.33
10022025,57.28,127.03,127.0,127.0,118.42,120.3,-5.3
11022025,40.63,120.3,117.9,119.94,114.39,117.35,-2.45
12022025,37.34,117.35,116.92,119.7,111.6,116.45,-0.77
13022025,37.0,116.45,117.62,121.38,115.31,117.27,0.7
14022025,48.4,117.27,116.4,117.44,104.35,107.68,-8.18
17022025,44.19,107.68,104.0,110.44,104.0,107.86,0.17
18022025,43.99,107.86,106.4,109.79,103.46,106.9,-0.89
19022025,38.54,106.9,105.3,111.79,105.3,109.13,2.09
20022025,52.01,109.13,109.57,112.99,107.43,110.35,1.12
21022025,34.18,110.35,110.9,115.44,110.76,111.85,1.36
24022025,53.23,111.85,110.15,112.0,109.0,109.69,-1.93
25022025,47.48,109.69,110.49,111.01,105.0,105.82,-3.53
27022025,63.46,105.82,107.8,107.8,97.35,100.98,-4.57
28022025,54.09,100.98,99.96,101.39,97.0,98.55,-2.41
03032025,58.6,98.55,98.2,100.74,92.4,93.81,-4.81
04032025,59.61,93.81,91.5,97.92,91.5,93.87,0.06
05032025,47.42,93.87,94.85,101.89,94.82,99.07,5.54
06032025,52.12,99.07,97.15,105.33,97.15,103.36,4.33
07032025,45.24,103.36,104.7,104.7,101.25,102.49,-0.84
10032025,48.04,102.49,100.81,102.75,95.05,95.88,-6.45
11032025,55.14,95.88,94.99,98.95,92.9,97.19,1.37
12032025,32.01,97.19,99.05,101.0,94.2,95.14,-2.11
13032025,62.84,95.14,95.9,96.69,90.0,90.44,-4.94
17032025,51.91,90.44,90.95,92.88,86.4,87.52,-3.23
18032025,50.46,87.52,87.52,94.19,87.5,92.88,6.12
19032025,49.41,92.88,94.0,104.8,94.0,100.82,8.55
20032025,53.26,100.82,102.75,103.0,97.0,97.76,-3.04
21032025,53.65,97.76,97.76,101.99,97.29,99.51,1.79
24032025,54.05,99.51,100.54,103.27,97.14,97.94,-1.58
25032025,68.74,97.94,98.66,98.66,93.61,94.55,-3.46
26032025,55.21,94.55,94.5,95.99,90.82,91.54,-3.18
27032025,65.91,91.54,92.0,96.89,86.6,89.03,-2.74
28032025,62.03,89.03,89.2,94.7,86.51,87.45,-1.77
01042025,60.95,87.45,86.01,93.18,86.01,89.0,1.77
02042025,44.41,89.0,90.74,91.78,86.52,90.56,1.75
03042025,44.24,90.56,92.5,93.11,89.93,91.54,1.08
04042025,49.74,91.54,92.2,92.44,85.35,86.76,-5.22
07042025,49.68,86.76,80.15,89.0,79.96,84.93,-2.11
08042025,47.58,84.93,86.72,88.03,84.08,87.08,2.53
09042025,48.62,87.08,85.25,87.69,84.09,86.37,-0.82
11042025,59.09,86.37,89.0,89.99,86.66,88.29,2.22
15042025,38.56,88.29,95.0,105.94,94.04,105.94,19.99
16042025,20.94,105.94,110.98,122.9,110.98,119.01,12.34
17042025,39.5,119.01,117.0,121.7,115.51,116.12,-2.43
21042025,53.44,116.12,115.01,117.0,113.36,114.6,-1.31
22042025,46.2,114.6,115.74,116.75,112.37,113.42,-1.03
23042025,53.23,113.42,115.01,115.01,109.35,112.09,-1.17
24042025,53.6,112.09,112.49,114.25,112.03,113.12,0.92
25042025,47.49,113.12,113.2,113.2,101.8,106.87,-5.53
28042025,44.98,106.87,108.99,109.0,105.0,107.15,0.26
29042025,49.24,107.15,108.8,111.25,105.17,106.84,-0.29
30042025,58.22,106.84,106.49,106.91,104.25,104.64,-2.06
02052025,38.98,104.64,105.75,107.99,102.71,105.06,0.4
05052025,60.46,105.06,107.0,109.79,104.61,108.79,3.55
06052025,72.49,108.79,108.43,108.43,103.0,103.88,-4.51
07052025,45.3,103.88,101.55,108.79,101.55,106.09,2.13
08052025,61.47,106.09,106.1,109.5,101.55,102.83,-3.07
09052025,58.0,102.83,101.0,105.5,99.91,104.66,1.78
12052025,45.95,104.66,106.7,109.3,105.75,106.34,1.61
13052025,56.56,106.34,108.4,109.85,107.02,107.75,1.33
14052025,53.37,107.75,107.86,118.7,107.85,116.23,7.87
15052025,58.73,116.23,118.5,121.0,117.03,119.0,2.38
16052025,61.2,119.0,120.42,121.0,117.01,119.72,0.61
19052025,49.35,119.72,119.72,120.53,117.52,118.56,-0.97
20052025,56.68,118.56,118.1,126.99,117.23,123.22,3.93
21052025,48.86,123.22,123.0,123.0,118.36,121.14,-1.69
22052025,40.66,121.14,119.77,121.19,117.52,118.75,-1.97
23052025,46.86,118.75,118.46,126.0,116.2,122.95,3.54
