Date,DelPerc
26092025,47.68
29092025,35.08
30092025,30.87
01102025,43.97
03102025,30.61
06102025,42.96
07102025,30.39
08102025,26.23
09102025,27.9
10102025,26.03
13102025,28.58
14102025,53.36
15102025,27.22
16102025,20.49
17102025,24.93
20102025,17.61
21102025,38.68
22102025,38.68
23102025,17.83
24102025,47.26
27102025,83.98
28102025,36.53
29102025,42.42
30102025,33.65
31102025,37.98
03112025,38.1
04112025,34.24
05112025,34.24
06112025,43.48
07112025,29.37
10112025,46.29
11112025,44.71
12112025,36.29
13112025,50.71
14112025,42.84
17112025,39.62
18112025,43.2
19112025,49.69
20112025,49.91
21112025,55.93
24112025,58.52
25112025,43.37
26112025,75.19
27112025,52.6
28112025,45.29
01122025,51.08
02122025,50.66
03122025,48.48
04122025,36.71
05122025,33.74
08122025,53.52
09122025,48.22
10122025,55.91
11122025,32.43
12122025,30.31
15122025,41.23
16122025,34.89
17122025,38.61
18122025,36.44
19122025,32.93
22122025,56.55
23122025,57.61
24122025,27.51
25122025,27.51
26122025,42.4
29122025,50.09
30122025,49.9
31122025,44.6
01012026,42.93
02012026,51.42
05012026,36.04
06012026,34.59
07012026,41.92
08012026,50.03
09012026,40.8
12012026,38.77
13012026,50.68
14012026,47.99
15012026,47.99
16012026,36.73
19012026,43.69
20012026,58.35
21012026,43.71
22012026,40.26
23012026,49.88
27012026,44.63
28012026,43.74
29012026,32.09
30012026,47.02
02022026,41.97
03022026,40.53
04022026,53.63
05022026,47.39
06022026,43.59
09022026,37.56
10022026,41.85
11022026,50.44
