Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,67.45,75.17,75.49,77.6,75.04,75.37,0.27
02012025,73.2,75.37,75.98,75.98,75.42,75.78,0.54
03012025,71.01,75.78,76.78,76.78,76.01,76.35,0.75
06012025,69.26,76.35,76.13,76.14,75.51,75.78,-0.75
07012025,91.25,75.78,75.78,76.07,75.72,75.99,0.28
08012025,82.91,75.99,75.99,76.45,75.99,76.39,0.53
09012025,88.91,76.39,76.7,76.79,76.4,76.64,0.33
10012025,94.39,76.64,77.08,77.08,76.58,76.95,0.4
13012025,80.5,76.95,77.54,77.9,77.06,77.55,0.78
14012025,78.86,77.55,77.5,77.89,76.59,77.5,-0.06
15012025,82.93,77.5,78.25,78.25,76.59,77.52,0.03
16012025,70.63,77.52,77.8,78.25,77.4,78.09,0.74
17012025,80.16,78.09,78.23,78.57,78.05,78.29,0.26
20012025,72.47,78.29,78.28,80.5,78.01,78.73,0.56
21012025,80.27,78.73,78.7,79.69,78.02,78.7,-0.04
22012025,98.27,78.7,79.21,79.55,78.81,79.35,0.83
23012025,91.24,79.35,78.73,79.87,78.72,79.16,-0.24
24012025,84.9,79.16,79.97,79.97,79.16,79.32,0.2
27012025,63.31,79.32,79.33,80.04,78.63,78.94,-0.48
28012025,72.83,78.94,78.94,79.18,78.66,78.89,-0.06
29012025,61.08,78.89,79.88,79.88,79.02,79.67,0.99
30012025,78.05,79.67,79.98,79.98,79.45,79.86,0.24
31012025,80.94,79.86,80.97,81.29,79.9,80.91,1.31
03022025,81.08,81.2,81.0,81.7,80.21,81.64,0.54
04022025,83.8,81.64,82.65,82.65,81.82,81.92,0.34
05022025,63.42,81.92,82.98,84.25,82.23,83.64,2.1
06022025,91.82,83.64,83.64,84.09,83.02,83.68,0.05
07022025,62.23,83.68,83.2,84.25,83.03,83.97,0.35
10022025,83.74,83.97,84.96,85.01,84.06,84.85,1.05
11022025,94.06,84.85,85.47,85.5,84.3,84.44,-0.48
12022025,55.69,84.44,84.39,84.4,83.41,83.88,-0.66
13022025,90.61,83.88,84.68,84.98,83.9,84.29,0.49
14022025,91.79,84.29,84.42,84.95,84.41,84.81,0.62
17022025,70.6,84.81,84.19,84.49,83.52,84.18,-0.74
18022025,65.99,84.18,84.18,84.77,84.1,84.43,0.3
19022025,56.87,84.43,85.28,85.29,84.63,85.03,0.71
20022025,92.09,85.03,85.03,85.46,84.72,85.17,0.16
21022025,83.02,85.17,84.99,84.99,84.34,84.66,-0.6
24022025,67.22,84.66,84.65,85.66,84.51,85.19,0.63
25022025,83.17,85.19,85.3,85.78,85.0,85.47,0.33
27022025,89.22,85.47,85.19,85.19,83.75,83.89,-1.85
28022025,63.4,83.89,83.78,83.88,82.91,83.61,-0.33
03032025,58.95,83.61,83.64,83.98,83.41,83.78,0.2
04032025,73.69,83.78,84.1,85.05,84.1,84.98,1.43
05032025,79.28,84.98,84.97,85.1,84.53,84.79,-0.22
06032025,88.87,84.79,85.43,85.43,84.3,84.52,-0.32
07032025,79.21,84.52,84.97,84.97,84.5,84.79,0.32
10032025,84.58,84.79,84.97,84.98,84.4,84.77,-0.02
11032025,81.28,84.77,84.35,84.6,84.06,84.58,-0.22
12032025,86.07,84.58,84.8,84.89,84.52,84.82,0.28
13032025,46.0,84.82,84.99,85.69,84.54,85.33,0.6
17032025,61.86,85.33,85.82,86.69,85.81,86.27,1.1
18032025,59.52,86.27,86.68,87.29,86.41,86.87,0.7
19032025,93.62,86.87,87.29,87.49,86.9,87.2,0.38
20032025,89.21,87.2,87.78,87.98,87.1,87.33,0.15
21032025,80.7,87.33,87.29,87.3,86.37,86.79,-0.62
24032025,43.18,86.79,86.41,87.04,85.86,86.14,-0.75
25032025,58.5,86.14,86.14,86.46,85.56,86.19,0.06
26032025,83.36,86.19,86.19,86.47,85.61,86.11,-0.09
27032025,97.94,86.11,86.29,86.68,86.01,86.56,0.52
28032025,80.45,86.56,87.02,87.88,87.02,87.36,0.92
01042025,47.17,87.36,88.8,92.0,88.23,91.22,4.42
02042025,72.66,91.22,91.87,91.88,89.0,89.45,-1.94
03042025,85.14,89.45,89.98,89.99,89.02,89.22,-0.26
04042025,67.84,89.22,88.49,88.58,87.6,88.18,-1.17
07042025,53.07,88.18,87.6,87.69,78.03,86.66,-1.72
08042025,48.38,86.66,86.66,87.98,84.5,86.54,-0.14
09042025,54.46,86.54,86.09,87.95,85.76,87.89,1.56
11042025,78.68,87.89,90.56,91.99,90.15,91.14,3.7
15042025,75.41,91.14,91.98,91.99,91.01,91.34,0.22
16042025,74.45,91.34,92.89,92.89,92.01,92.71,1.5
17042025,67.35,92.71,92.82,93.89,92.81,93.17,0.5
21042025,55.84,93.17,93.99,94.89,93.71,94.6,1.53
22042025,78.85,94.6,96.12,97.42,96.12,96.68,2.2
23042025,68.13,96.68,94.99,95.1,93.72,94.66,-2.09
24042025,56.45,94.66,95.0,95.43,93.99,94.19,-0.5
25042025,68.63,94.19,95.11,95.12,93.66,93.96,-0.24
28042025,59.3,93.96,93.96,94.45,92.66,92.91,-1.12
29042025,70.24,92.91,94.48,94.49,93.55,93.9,1.07
30042025,86.09,93.9,93.89,93.99,92.51,92.85,-1.12
02052025,65.8,92.85,91.99,92.35,90.59,92.2,-0.7
05052025,62.37,92.2,92.19,93.65,91.6,93.37,1.27
06052025,60.91,93.37,94.01,95.89,94.01,95.58,2.37
07052025,60.64,95.58,95.03,96.6,94.85,95.15,-0.45
08052025,59.49,95.15,95.2,96.29,93.79,94.98,-0.18
09052025,60.87,94.98,94.79,95.14,93.88,94.64,-0.36
12052025,66.83,94.64,93.48,93.49,91.56,91.77,-3.03
13052025,71.22,91.77,92.5,92.9,91.11,92.78,1.1
14052025,67.37,92.78,92.5,92.5,91.51,91.98,-0.86
15052025,62.46,91.98,90.89,90.92,89.99,90.81,-1.27
16052025,49.71,90.81,91.88,92.09,90.65,91.39,0.64
19052025,55.12,91.39,91.2,92.14,91.2,91.94,0.6
20052025,93.71,91.94,91.79,91.94,91.12,91.51,-0.47
21052025,64.43,91.51,93.64,93.67,92.79,93.08,1.72
22052025,73.24,93.08,93.55,93.96,93.43,93.72,0.69
23052025,64.02,93.72,93.71,94.0,93.12,93.71,-0.01
26052025,66.21,93.71,93.99,94.39,93.31,93.71,0.0
27052025,54.72,93.71,94.39,94.39,93.23,93.43,-0.3
28052025,52.4,93.43,93.81,93.95,93.15,93.74,0.33
29052025,69.37,93.74,93.38,93.39,92.67,93.0,-0.79
30052025,78.94,93.0,93.49,93.5,92.61,93.39,0.42
02062025,62.4,93.39,93.85,94.54,93.39,94.36,1.04
03062025,61.5,94.36,95.49,95.55,94.51,95.02,0.7
04062025,91.54,95.02,95.8,95.8,94.93,95.22,0.21
05062025,83.71,95.22,95.32,96.0,95.22,95.77,0.58
06062025,63.43,95.77,95.99,95.99,95.01,95.44,-0.34
09062025,81.41,95.44,94.89,94.89,94.0,94.49,-1.0
10062025,66.56,94.49,94.4,94.64,93.93,94.58,0.1
11062025,76.76,94.58,95.29,95.29,94.51,94.75,0.18
12062025,58.91,94.75,95.15,95.75,94.76,95.19,0.46
13062025,79.08,95.19,96.22,98.11,96.21,97.35,2.27
16062025,78.43,97.35,98.39,98.63,97.12,97.38,0.03
17062025,74.13,97.38,96.99,97.4,96.33,96.85,-0.54
18062025,86.41,96.85,99.27,99.27,96.56,97.28,0.44
19062025,78.98,97.28,97.28,97.89,96.4,97.15,-0.13
20062025,72.01,97.15,97.16,99.59,96.29,97.11,-0.04
23062025,80.05,97.11,99.53,99.53,96.63,97.05,-0.06
24062025,71.33,97.05,96.99,96.99,95.05,95.29,-1.81
25062025,73.91,95.29,97.67,97.67,94.55,95.13,-0.17
26062025,63.5,95.13,95.89,95.89,94.86,95.26,0.14
27062025,63.22,95.26,95.26,95.26,93.31,93.73,-1.61
30062025,64.86,93.73,94.4,94.44,93.3,93.99,0.28
01072025,86.65,93.99,94.46,95.19,94.34,95.12,1.2
02072025,63.24,95.12,95.13,95.44,94.89,95.14,0.02
03072025,65.53,95.14,95.59,95.61,94.85,95.07,-0.07
04072025,78.39,95.07,95.4,96.87,94.79,95.23,0.17
07072025,71.21,95.23,95.37,95.38,94.11,94.7,-0.56
08072025,61.07,94.7,94.81,95.49,94.75,94.85,0.16
09072025,78.91,94.85,94.49,94.49,94.0,94.08,-0.81
10072025,74.29,94.08,94.42,94.99,94.4,94.82,0.79
11072025,56.9,94.82,95.69,95.69,95.01,95.27,0.47
14072025,52.03,95.27,94.55,96.4,94.55,96.22,1.0
15072025,61.27,96.22,95.61,96.02,95.61,95.93,-0.3
16072025,72.88,95.93,95.64,95.64,95.22,95.59,-0.35
17072025,75.71,95.59,95.59,95.79,95.15,95.33,-0.27
18072025,78.78,95.33,95.58,96.07,95.11,96.02,0.72
21072025,70.19,96.02,95.72,96.5,95.72,96.38,0.37
22072025,75.21,96.38,96.87,97.33,96.81,97.1,0.75
23072025,59.2,97.1,97.65,98.99,97.56,98.25,1.18
24072025,50.48,98.25,96.98,97.25,96.54,96.82,-1.46
25072025,76.8,96.82,96.4,97.19,96.03,96.42,-0.41
28072025,46.05,96.42,96.4,96.8,95.62,96.24,-0.19
29072025,60.4,96.24,95.99,96.48,95.61,96.25,0.01
30072025,79.19,96.25,96.68,97.0,96.32,96.95,0.73
31072025,60.23,96.95,95.81,96.7,95.81,96.54,-0.42
01082025,84.92,96.54,96.49,96.49,95.81,96.08,-0.48
04082025,59.1,96.08,97.79,97.88,97.02,97.63,1.61
05082025,73.09,97.63,98.58,98.58,98.0,98.16,0.54
06082025,83.64,98.16,98.17,98.58,97.83,98.04,-0.12
07082025,65.94,98.04,98.49,99.0,97.79,98.39,0.36
08082025,94.0,98.39,98.61,99.48,98.61,98.97,0.59
11082025,68.04,98.97,98.47,99.11,97.76,97.93,-1.05
12082025,83.57,97.93,97.89,97.9,97.29,97.45,-0.49
13082025,93.86,97.45,97.32,97.88,97.31,97.82,0.38
14082025,84.87,97.82,97.2,97.8,97.2,97.71,-0.11
18082025,88.55,97.71,97.68,97.69,97.22,97.42,-0.3
