Date,DelPerc
01102019,46.77
03102019,36.56
04102019,26.82
07102019,21.41
08102019,21.41
09102019,14.54
10102019,36.32
11102019,16.18
14102019,27.18
15102019,20.38
16102019,21.8
17102019,14.84
18102019,27.29
21102019,27.29
22102019,19.3
23102019,23.78
24102019,24.32
25102019,15.58
28102019,15.54
29102019,22.76
30102019,17.1
31102019,20.42
01112019,19.6
04112019,26.62
05112019,18.04
06112019,28.77
07112019,28.89
08112019,15.55
11112019,16.44
12112019,16.44
13112019,22.68
14112019,15.25
15112019,20.12
18112019,12.83
19112019,23.15
20112019,32.64
21112019,18.81
22112019,16.33
25112019,14.64
26112019,33.06
27112019,15.37
28112019,24.13
29112019,18.01
02122019,14.71
03122019,24.77
04122019,20.5
05122019,19.18
06122019,10.05
09122019,26.74
10122019,10.89
11122019,18.78
12122019,28.24
13122019,25.97
16122019,22.82
17122019,26.58
18122019,27.59
19122019,26.07
20122019,38.95
23122019,34.91
24122019,27.11
25122019,27.11
26122019,29.41
27122019,37.1
30122019,30.56
31122019,36.44
01012020,6.93
02012020,17.2
03012020,20.09
06012020,20.89
07012020,13.65
08012020,15.12
09012020,36.82
10012020,25.41
13012020,19.89
14012020,24.21
15012020,32.14
16012020,23.7
17012020,17.8
20012020,16.75
21012020,25.28
22012020,18.52
23012020,17.29
24012020,16.94
27012020,22.07
28012020,24.08
29012020,35.68
30012020,30.86
31012020,27.65
03022020,32.59
04022020,11.85
05022020,30.78
06022020,27.88
07022020,26.2
10022020,24.05
11022020,43.21
12022020,29.31
13022020,34.43
14022020,15.03
17022020,27.49
18022020,27.45
19022020,14.7
20022020,25.85
21022020,25.85
24022020,46.88
25022020,31.9
26022020,35.88
27022020,25.09
28022020,44.72
02032020,26.77
03032020,36.75
04032020,35.16
05032020,30.02
06032020,43.53
09032020,47.33
10032020,47.33
11032020,44.08
12032020,42.59
13032020,51.31
16032020,40.01
17032020,42.08
18032020,44.01
19032020,45.08
20032020,42.53
23032020,58.71
24032020,36.37
25032020,31.27
26032020,35.27
27032020,20.95
30032020,28.07
31032020,36.88
01042020,31.63
02042020,31.63
03042020,19.78
06042020,19.78
07042020,37.67
08042020,23.71
09042020,34.21
10042020,34.21
13042020,40.42
15042020,22.86
16042020,56.04
17042020,27.14
20042020,20.54
21042020,45.47
22042020,45.64
23042020,30.0
24042020,28.46
27042020,16.68
28042020,22.39
29042020,39.08
30042020,48.63
01052020,48.63
04052020,41.13
05052020,30.62
06052020,27.77
07052020,26.21
08052020,19.54
11052020,32.16
12052020,18.9
13052020,26.57
14052020,19.11
15052020,14.95
18052020,36.5
19052020,44.48
20052020,18.64
21052020,24.79
22052020,14.47
25052020,14.47
26052020,50.73
27052020,17.41
28052020,23.12
29052020,25.52
01062020,27.41
02062020,11.78
03062020,25.11
04062020,15.64
05062020,11.13
08062020,22.17
09062020,22.57
10062020,12.02
11062020,13.33
12062020,15.69
15062020,36.72
16062020,11.2
17062020,12.61
18062020,22.21
19062020,46.7
22062020,26.64
23062020,23.97
24062020,29.18
25062020,18.1
26062020,13.8
29062020,28.49
30062020,24.2
01072020,23.2
02072020,11.64
03072020,30.34
06072020,19.01
07072020,22.74
08072020,34.26
09072020,17.15
10072020,12.27
13072020,20.88
14072020,33.45
15072020,28.47
16072020,36.75
17072020,47.31
20072020,26.21
21072020,21.16
22072020,19.07
23072020,28.89
24072020,30.83
27072020,28.94
28072020,50.1
29072020,23.26
30072020,16.28
31072020,18.32
03082020,16.54
04082020,27.29
05082020,10.7
06082020,18.21
07082020,24.91
10082020,22.61
11082020,23.73
12082020,39.46
13082020,24.68
14082020,26.88
17082020,51.51
18082020,7.46
19082020,14.62
20082020,21.57
21082020,34.07
24082020,18.16
25082020,19.67
26082020,23.76
27082020,15.71
28082020,27.55
31082020,35.0
01092020,19.04
02092020,30.6
03092020,13.93
04092020,22.9
07092020,28.48
08092020,32.12
09092020,25.31
10092020,37.27
11092020,43.62
14092020,18.88
15092020,12.82
16092020,8.51
17092020,18.56
18092020,40.71
21092020,19.8
22092020,16.11
23092020,29.11
24092020,46.54
25092020,14.74
28092020,15.77
29092020,14.04
30092020,29.38
01102020,11.48
05102020,19.17
06102020,21.0
07102020,19.93
08102020,18.6
09102020,34.3
12102020,45.65
13102020,14.68
14102020,13.59
15102020,13.56
16102020,14.74
19102020,13.51
20102020,16.37
21102020,19.86
22102020,29.76
23102020,26.32
26102020,16.94
27102020,29.03
28102020,45.64
29102020,27.65
30102020,13.71
02112020,36.72
03112020,35.91
04112020,38.12
05112020,38.66
06112020,38.58
09112020,51.19
10112020,41.57
11112020,45.54
12112020,27.69
13112020,19.1
16112020,30.06
17112020,25.32
18112020,34.68
19112020,25.7
20112020,30.09
23112020,36.65
24112020,48.94
25112020,26.4
26112020,26.62
27112020,53.43
30112020,53.43
01122020,27.42
02122020,37.56
03122020,42.62
04122020,26.49
07122020,41.15
08122020,36.41
09122020,38.42
10122020,42.78
11122020,46.15
14122020,30.03
15122020,39.67
16122020,40.87
17122020,43.69
18122020,40.8
21122020,37.92
22122020,36.44
23122020,38.37
24122020,45.0
25122020,45.0
28122020,35.98
29122020,23.01
30122020,24.12
31122020,21.93
01012021,18.12
04012021,17.47
05012021,27.23
06012021,23.65
07012021,16.86
08012021,44.08
11012021,24.45
12012021,17.7
13012021,22.24
14012021,33.84
15012021,22.13
18012021,39.65
19012021,10.8
20012021,17.95
21012021,22.84
22012021,22.02
25012021,16.51
27012021,20.76
28012021,21.0
29012021,23.59
01022021,24.6
02022021,22.6
03022021,26.89
04022021,33.77
05022021,22.71
08022021,29.7
09022021,30.13
10022021,20.98
11022021,29.9
12022021,17.91
15022021,21.73
16022021,25.91
17022021,32.25
18022021,34.25
19022021,27.32
22022021,26.64
23022021,22.3
24022021,28.23
25022021,28.76
26022021,48.04
01032021,17.71
02032021,37.48
03032021,35.19
04032021,34.06
05032021,47.41
08032021,32.36
09032021,29.67
10032021,31.18
11032021,31.18
12032021,45.21
15032021,29.56
16032021,35.85
17032021,46.06
18032021,21.22
19032021,38.92
22032021,24.05
23032021,27.73
24032021,45.28
25032021,35.84
26032021,47.49
29032021,47.49
30032021,40.94
31032021,29.41
01042021,23.91
02042021,23.91
05042021,26.06
06042021,27.34
07042021,38.64
08042021,48.95
09042021,31.33
12042021,31.54
13042021,34.31
14042021,34.31
15042021,33.15
16042021,32.96
19042021,38.56
20042021,49.7
21042021,49.7
22042021,39.15
23042021,46.68
26042021,31.07
27042021,36.2
28042021,48.17
29042021,48.64
30042021,44.3
03052021,31.56
04052021,34.35
05052021,30.08
06052021,46.5
07052021,44.4
10052021,32.9
11052021,36.45
12052021,32.93
13052021,32.93
14052021,34.72
17052021,22.44
18052021,28.28
19052021,14.88
20052021,36.02
21052021,37.84
24052021,31.3
25052021,12.09
26052021,16.03
27052021,67.52
28052021,18.92
31052021,19.4
01062021,26.92
02062021,48.7
03062021,35.86
04062021,20.06
07062021,23.61
08062021,23.21
09062021,24.41
10062021,17.77
11062021,24.54
14062021,25.51
15062021,24.68
16062021,46.23
17062021,22.94
18062021,37.19
21062021,39.28
22062021,42.83
23062021,43.89
24062021,61.43
25062021,57.64
28062021,35.98
29062021,41.07
30062021,37.54
01072021,30.81
02072021,39.72
05072021,44.72
06072021,31.27
07072021,37.75
08072021,48.83
09072021,39.53
12072021,33.05
13072021,26.05
14072021,27.06
15072021,46.69
16072021,41.15
19072021,23.43
20072021,34.91
21072021,34.91
22072021,38.21
23072021,65.64
26072021,48.83
27072021,46.51
28072021,52.02
29072021,58.47
30072021,51.14
02082021,24.94
03082021,30.5
04082021,31.37
05082021,23.62
06082021,26.58
09082021,36.48
10082021,34.94
11082021,39.2
12082021,20.46
13082021,16.84
16082021,21.78
17082021,38.98
18082021,36.42
19082021,36.42
20082021,42.27
23082021,42.09
24082021,56.57
25082021,59.57
26082021,40.04
27082021,42.7
30082021,52.16
31082021,54.03
01092021,40.94
02092021,52.15
03092021,29.61
06092021,30.21
07092021,46.12
08092021,21.05
09092021,27.83
10092021,27.83
13092021,35.32
14092021,36.65
15092021,33.66
16092021,38.47
17092021,56.59
20092021,47.32
21092021,24.81
22092021,48.26
23092021,33.41
24092021,31.41
27092021,41.34
28092021,24.41
29092021,44.28
30092021,39.73
01102021,30.5
04102021,21.82
05102021,36.15
06102021,46.81
07102021,87.61
08102021,41.22
11102021,46.45
12102021,31.95
13102021,29.2
14102021,33.64
15102021,33.64
18102021,44.73
19102021,34.54
20102021,49.95
21102021,32.53
22102021,26.48
25102021,24.0
26102021,40.25
27102021,42.96
28102021,45.69
29102021,39.6
01112021,29.86
02112021,26.87
03112021,41.41
04112021,41.41
05112021,38.22
08112021,29.98
09112021,43.37
10112021,36.01
11112021,35.91
12112021,39.45
15112021,25.45
16112021,31.44
17112021,33.99
18112021,26.88
19112021,26.88
22112021,36.55
23112021,53.04
24112021,47.13
25112021,34.13
26112021,42.53
29112021,35.84
30112021,62.37
01122021,39.69
02122021,42.86
03122021,45.28
06122021,57.74
07122021,57.92
08122021,33.12
09122021,43.44
10122021,36.45
13122021,45.99
14122021,51.56
15122021,47.88
16122021,48.61
17122021,50.67
20122021,46.81
21122021,51.37
22122021,56.04
23122021,51.41
24122021,33.84
27122021,58.39
28122021,55.09
29122021,53.51
30122021,55.74
31122021,42.64
03012022,31.27
04012022,36.44
05012022,48.22
06012022,60.25
07012022,22.85
10012022,43.93
11012022,34.58
12012022,32.14
13012022,50.85
14012022,52.81
17012022,27.96
18012022,25.61
19012022,22.35
20012022,27.8
21012022,21.77
24012022,36.67
25012022,36.76
27012022,46.51
28012022,35.99
31012022,45.46
01022022,20.8
02022022,39.14
03022022,31.54
04022022,27.55
07022022,23.17
08022022,33.35
09022022,31.24
10022022,38.78
11022022,38.58
14022022,27.81
15022022,46.0
16022022,36.28
17022022,43.14
18022022,40.78
21022022,46.12
22022022,48.19
23022022,46.93
24022022,41.52
25022022,46.49
28022022,54.57
01032022,54.57
02032022,47.61
03032022,41.05
04032022,40.97
07032022,42.24
08032022,34.44
09032022,59.06
10032022,35.19
11032022,58.8
14032022,40.32
15032022,35.12
16032022,53.03
17032022,71.91
18032022,71.91
21032022,46.14
22032022,32.58
23032022,50.8
24032022,37.85
25032022,41.87
28032022,62.69
29032022,61.97
30032022,52.23
31032022,52.93
01042022,55.89
04042022,52.94
05042022,49.08
06042022,35.36
07042022,50.84
08042022,26.4
11042022,31.27
12042022,37.83
13042022,42.34
14042022,42.34
15042022,42.34
18042022,28.78
19042022,36.38
20042022,42.31
21042022,42.39
22042022,56.59
25042022,40.4
26042022,46.45
27042022,36.4
28042022,51.56
29042022,50.98
02052022,35.47
03052022,35.47
04052022,38.12
05052022,38.24
06052022,34.79
09052022,46.99
10052022,53.94
11052022,46.59
12052022,38.53
13052022,29.21
16052022,41.35
17052022,46.47
18052022,45.83
19052022,40.72
20052022,34.42
23052022,46.37
24052022,29.59
25052022,22.4
26052022,29.21
27052022,36.3
30052022,30.93
31052022,57.29
01062022,42.58
02062022,31.28
03062022,42.59
06062022,50.17
07062022,51.73
08062022,53.5
09062022,50.12
10062022,24.52
13062022,41.13
14062022,35.26
15062022,29.97
16062022,38.13
17062022,29.98
20062022,29.04
21062022,38.16
22062022,34.87
23062022,30.36
24062022,39.17
27062022,43.03
28062022,36.33
29062022,48.81
30062022,51.21
01072022,28.95
04072022,42.59
05072022,22.86
06072022,37.69
07072022,31.7
08072022,18.69
11072022,24.11
12072022,30.04
13072022,24.4
14072022,43.1
15072022,24.68
18072022,36.34
19072022,56.0
20072022,43.35
21072022,66.05
22072022,35.18
25072022,58.51
26072022,49.31
27072022,26.62
28072022,50.48
29072022,37.73
01082022,44.02
02082022,53.98
03082022,41.32
04082022,55.01
05082022,38.78
10082022,49.14
11082022,43.6
12082022,17.99
16082022,30.55
17082022,25.93
18082022,39.05
19082022,43.6
22082022,54.05
23082022,62.97
24082022,50.87
25082022,49.44
26082022,38.38
29082022,50.36
30082022,48.49
31082022,48.49
01092022,53.53
02092022,45.77
05092022,47.95
06092022,47.77
07092022,26.78
08092022,35.81
09092022,37.56
12092022,31.55
13092022,45.06
14092022,35.2
15092022,46.54
16092022,43.66
19092022,36.12
20092022,47.2
21092022,55.19
22092022,38.77
23092022,64.51
26092022,51.02
27092022,37.23
28092022,45.05
29092022,54.2
30092022,48.88
03102022,44.49
04102022,51.43
05102022,51.43
06102022,50.14
07102022,48.72
10102022,56.3
11102022,48.17
12102022,37.32
13102022,48.34
14102022,42.08
17102022,56.3
18102022,60.28
19102022,52.64
20102022,44.41
21102022,29.71
24102022,42.97
25102022,43.98
26102022,43.98
27102022,52.5
28102022,36.74
31102022,54.13
01112022,38.19
02112022,44.91
03112022,36.32
04112022,43.12
07112022,41.35
08112022,41.35
09112022,48.53
10112022,50.44
11112022,58.12
14112022,30.38
15112022,34.89
16112022,35.69
17112022,32.76
18112022,34.07
21112022,28.8
22112022,35.88
23112022,47.9
24112022,49.17
25112022,51.69
28112022,37.7
29112022,56.88
30112022,55.76
01122022,40.12
02122022,37.35
05122022,38.9
06122022,45.56
07122022,37.37
08122022,35.48
09122022,42.22
12122022,36.54
13122022,47.14
14122022,46.64
15122022,33.95
16122022,49.22
19122022,39.63
20122022,49.84
21122022,33.69
22122022,24.84
23122022,24.31
26122022,34.01
27122022,34.55
28122022,30.47
29122022,37.67
30122022,32.97
02012023,28.78
03012023,50.27
04012023,29.86
05012023,43.89
06012023,44.71
09012023,45.76
10012023,48.01
11012023,50.6
12012023,50.24
13012023,56.85
16012023,49.29
17012023,54.25
18012023,41.92
19012023,61.11
20012023,42.75
23012023,47.06
24012023,38.43
25012023,33.56
27012023,49.18
30012023,39.14
31012023,69.74
01022023,49.88
02022023,51.89
03022023,57.93
06022023,46.5
07022023,48.25
08022023,45.55
09022023,50.73
10022023,37.73
13022023,29.32
14022023,27.39
15022023,24.8
16022023,33.71
17022023,28.09
20022023,51.25
21022023,38.57
22022023,49.18
23022023,37.61
24022023,43.64
27022023,40.66
28022023,55.22
01032023,39.48
02032023,47.51
03032023,49.26
06032023,50.95
07032023,50.95
08032023,56.36
09032023,44.56
10032023,38.27
13032023,40.15
14032023,38.11
15032023,39.2
16032023,42.69
17032023,59.74
20032023,39.65
21032023,44.94
22032023,32.77
23032023,24.62
24032023,48.02
27032023,29.33
28032023,33.5
29032023,52.42
30032023,52.42
31032023,66.66
03042023,74.11
04042023,74.11
05042023,74.51
06042023,48.5
07042023,48.5
10042023,54.9
11042023,43.94
12042023,42.41
13042023,36.36
14042023,36.36
17042023,56.92
18042023,28.72
19042023,48.75
20042023,39.53
21042023,42.91
24042023,46.21
25042023,38.0
26042023,66.39
27042023,56.27
28042023,65.61
01052023,65.61
02052023,44.87
03052023,58.71
04052023,62.1
05052023,46.98
08052023,71.25
09052023,74.26
10052023,37.67
11052023,40.9
12052023,56.51
15052023,44.83
16052023,41.32
17052023,49.85
18052023,30.99
19052023,36.47
22052023,24.32
23052023,54.66
24052023,44.03
25052023,51.99
26052023,38.96
29052023,46.09
30052023,38.8
31052023,77.2
01062023,62.34
02062023,53.55
05062023,48.08
06062023,52.17
07062023,59.4
08062023,60.99
09062023,42.1
12062023,39.38
13062023,48.03
14062023,50.46
15062023,44.94
16062023,69.5
19062023,58.58
20062023,60.88
21062023,42.75
22062023,31.49
23062023,34.86
26062023,45.43
27062023,48.63
28062023,60.91
29062023,60.91
30062023,52.33
03072023,45.56
04072023,37.29
05072023,42.96
06072023,53.24
07072023,56.7
10072023,57.26
11072023,57.64
12072023,68.34
13072023,53.71
14072023,53.33
17072023,54.08
18072023,53.88
19072023,45.8
20072023,38.91
21072023,46.74
24072023,28.18
25072023,33.01
26072023,41.03
27072023,54.82
28072023,57.77
31072023,52.4
01082023,66.79
02082023,63.91
03082023,44.81
04082023,58.05
07082023,50.14
08082023,57.76
09082023,59.88
10082023,32.53
11082023,46.42
14082023,53.14
16082023,58.55
17082023,55.03
18082023,54.68
21082023,59.82
22082023,52.36
23082023,63.7
24082023,65.85
25082023,51.97
28082023,68.48
29082023,63.73
30082023,58.86
31082023,70.18
01092023,60.82
04092023,63.81
05092023,44.95
06092023,51.69
07092023,50.3
08092023,57.37
11092023,50.28
12092023,40.41
13092023,32.03
14092023,44.45
15092023,43.98
18092023,50.19
19092023,50.19
20092023,47.03
21092023,40.56
22092023,51.09
25092023,57.79
26092023,56.45
27092023,41.52
28092023,37.21
29092023,67.88
03102023,57.66
04102023,61.27
05102023,45.42
06102023,50.43
09102023,56.23
10102023,56.51
11102023,43.46
12102023,44.32
13102023,44.3
16102023,54.12
17102023,55.05
18102023,48.14
19102023,34.16
20102023,58.57
23102023,53.48
24102023,53.48
25102023,57.58
26102023,54.18
27102023,44.0
30102023,42.4
31102023,45.43
01112023,46.75
02112023,24.15
03112023,53.75
06112023,41.03
07112023,40.4
08112023,41.92
09112023,37.55
10112023,42.26
13112023,36.94
14112023,36.94
15112023,62.78
16112023,55.54
17112023,60.16
20112023,46.05
21112023,45.89
22112023,56.66
23112023,60.43
24112023,46.27
27112023,46.27
28112023,68.35
29112023,71.02
30112023,58.67
01122023,52.13
04122023,49.81
05122023,49.06
06122023,54.51
07122023,55.31
08122023,44.85
11122023,54.32
12122023,47.55
13122023,58.31
14122023,52.95
15122023,58.65
18122023,53.54
19122023,48.97
20122023,62.09
21122023,32.82
22122023,67.07
25122023,67.07
26122023,62.49
27122023,59.67
28122023,56.31
29122023,62.08
01012024,45.63
02012024,63.82
03012024,66.48
04012024,65.6
05012024,58.51
08012024,68.9
09012024,76.86
10012024,44.63
11012024,64.83
12012024,58.32
15012024,50.36
16012024,69.69
17012024,50.03
18012024,51.56
19012024,54.49
22012024,53.15
23012024,62.92
24012024,45.35
25012024,55.51
29012024,61.18
30012024,63.49
31012024,55.25
01022024,47.94
02022024,47.64
05022024,68.3
06022024,62.21
07022024,61.03
08022024,48.47
09022024,24.76
12022024,32.25
13022024,31.68
14022024,53.72
15022024,51.65
16022024,46.41
19022024,24.73
20022024,27.29
21022024,32.9
22022024,30.46
23022024,49.47
26022024,50.51
27022024,48.48
28022024,60.15
29022024,59.34
01032024,38.83
04032024,56.1
05032024,51.12
06032024,51.54
07032024,55.66
08032024,55.66
11032024,51.89
12032024,69.15
13032024,50.13
14032024,54.11
15032024,79.6
18032024,59.89
19032024,62.88
20032024,50.14
21032024,61.1
22032024,65.56
25032024,65.56
26032024,70.88
27032024,70.0
28032024,40.4
29032024,40.4
01042024,29.67
02042024,41.36
03042024,42.99
04042024,21.96
05042024,58.09
08042024,37.13
09042024,38.32
10042024,59.18
11042024,59.18
12042024,51.25
15042024,47.56
16042024,63.61
17042024,63.61
18042024,38.37
19042024,37.97
22042024,57.56
23042024,40.07
24042024,58.2
25042024,35.53
26042024,50.87
29042024,45.87
30042024,50.81
01052024,50.81
02052024,36.26
03052024,60.46
06052024,47.23
07052024,51.98
08052024,47.7
09052024,39.22
10052024,51.07
13052024,55.26
14052024,61.37
15052024,42.81
16052024,39.11
17052024,52.03
20052024,36.06
21052024,58.02
22052024,58.93
23052024,31.33
24052024,45.66
27052024,65.45
28052024,50.22
29052024,56.7
30052024,45.76
31052024,63.01
03062024,57.57
04062024,46.48
05062024,59.9
06062024,32.43
07062024,47.6
10062024,31.34
11062024,49.54
