Date,DelPerc
01102019,69.19
03102019,56.15
04102019,61.54
07102019,85.07
08102019,85.07
09102019,58.07
10102019,79.07
11102019,52.95
14102019,75.54
15102019,58.08
16102019,61.81
17102019,79.37
18102019,78.83
21102019,78.83
22102019,64.0
23102019,78.17
24102019,61.46
25102019,51.51
28102019,83.76
29102019,85.67
30102019,57.76
31102019,81.42
01112019,64.5
04112019,55.31
05112019,69.5
06112019,72.35
07112019,65.35
08112019,74.35
11112019,54.79
12112019,54.79
13112019,52.12
14112019,53.57
15112019,62.76
18112019,59.86
19112019,70.99
20112019,72.53
21112019,66.18
22112019,59.11
25112019,73.1
26112019,79.51
27112019,68.33
28112019,61.12
29112019,63.34
02122019,79.51
03122019,65.88
04122019,67.58
05122019,31.37
06122019,94.09
09122019,56.03
10122019,71.33
11122019,92.37
12122019,34.78
13122019,88.7
16122019,88.82
17122019,65.44
18122019,58.51
19122019,89.06
20122019,77.01
23122019,43.57
24122019,53.19
25122019,53.19
26122019,46.24
27122019,40.23
30122019,65.84
31122019,29.02
01012020,43.59
02012020,39.54
03012020,51.67
06012020,38.04
07012020,30.29
08012020,52.72
09012020,45.38
10012020,42.93
13012020,33.06
14012020,41.56
15012020,45.19
16012020,35.96
17012020,47.32
20012020,77.87
21012020,25.4
22012020,34.93
23012020,66.07
24012020,36.65
27012020,70.03
28012020,70.51
29012020,49.58
30012020,36.2
31012020,26.24
03022020,49.03
04022020,50.31
05022020,61.75
06022020,49.33
07022020,53.42
10022020,51.27
11022020,61.81
12022020,48.32
13022020,48.72
14022020,46.36
17022020,50.61
18022020,38.22
19022020,34.12
20022020,47.35
21022020,47.35
24022020,54.27
25022020,61.64
26022020,38.74
27022020,40.45
28022020,52.13
02032020,56.05
03032020,65.21
04032020,48.56
05032020,59.75
06032020,71.93
09032020,76.3
10032020,76.3
11032020,73.91
12032020,75.57
13032020,62.18
16032020,62.38
17032020,66.39
18032020,70.56
19032020,74.98
20032020,81.86
23032020,72.53
24032020,81.87
25032020,70.57
26032020,67.16
27032020,64.38
30032020,81.58
31032020,69.66
01042020,70.91
02042020,70.91
03042020,56.46
06042020,56.46
07042020,72.38
08042020,57.94
