Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,44.12,1470.95,1457.6,1485.0,1457.6,1478.45,0.51
02012025,50.44,1478.45,1485.0,1485.0,1449.9,1469.55,-0.6
03012025,58.63,1469.55,1470.0,1484.2,1445.0,1448.7,-1.42
06012025,51.04,1448.7,1450.15,1452.95,1381.8,1391.95,-3.92
07012025,37.96,1391.95,1412.8,1419.95,1385.0,1404.1,0.87
08012025,47.82,1404.1,1409.95,1411.5,1377.05,1383.5,-1.47
09012025,43.43,1383.5,1380.5,1389.55,1362.0,1365.95,-1.27
10012025,36.47,1365.95,1360.05,1391.9,1308.55,1322.05,-3.21
13012025,28.71,1322.05,1312.0,1345.0,1250.0,1277.15,-3.4
14012025,24.69,1277.15,1270.2,1309.7,1267.25,1298.7,1.69
15012025,37.38,1298.7,1300.0,1328.0,1287.7,1318.15,1.5
16012025,38.21,1318.15,1318.2,1354.1,1312.75,1326.9,0.66
17012025,38.69,1326.9,1331.0,1344.8,1321.15,1331.55,0.35
20012025,47.23,1331.55,1350.0,1350.0,1325.75,1335.4,0.29
21012025,38.59,1335.4,1320.05,1345.9,1300.55,1304.05,-2.35
22012025,45.93,1304.05,1304.05,1310.0,1275.0,1285.25,-1.44
23012025,39.69,1285.25,1286.5,1337.5,1265.55,1280.4,-0.38
24012025,48.89,1280.4,1287.1,1290.95,1268.05,1271.15,-0.72
27012025,42.44,1271.15,1284.85,1284.85,1220.2,1257.6,-1.07
28012025,78.79,1257.6,1259.95,1267.9,1224.8,1249.45,-0.65
29012025,44.56,1249.45,1256.0,1277.85,1252.1,1261.65,0.98
30012025,13.74,1261.65,1280.55,1343.75,1232.0,1251.0,-0.84
31012025,49.34,1251.0,1251.0,1293.9,1249.5,1280.1,2.33
03022025,29.29,1273.75,1248.95,1257.8,1193.0,1211.25,-4.91
04022025,40.19,1211.25,1200.05,1237.85,1200.05,1214.95,0.31
05022025,57.9,1214.95,1229.0,1229.0,1196.05,1199.35,-1.28
06022025,86.17,1199.35,1217.35,1219.15,1196.25,1199.95,0.05
07022025,41.67,1199.95,1195.0,1204.5,1186.6,1189.15,-0.9
10022025,50.67,1189.15,1190.0,1198.95,1154.0,1155.85,-2.8
11022025,50.92,1155.85,1170.0,1170.0,1097.8,1104.25,-4.46
12022025,66.85,1104.25,1102.0,1114.8,1042.65,1102.0,-0.2
13022025,47.04,1102.0,1118.5,1132.9,1065.05,1070.5,-2.86
14022025,44.44,1070.5,1086.55,1086.55,1025.0,1028.2,-3.95
17022025,41.91,1028.2,1022.55,1030.05,990.6,1020.0,-0.8
18022025,42.19,1020.0,1016.5,1034.35,1004.2,1027.7,0.75
19022025,63.95,1027.7,1027.7,1064.9,1017.7,1059.8,3.12
20022025,48.68,1059.8,1075.65,1079.2,1035.3,1072.05,1.16
21022025,34.16,1072.05,1055.0,1090.0,1045.75,1060.8,-1.05
24022025,44.68,1060.8,1060.8,1060.8,1016.2,1019.75,-3.87
25022025,56.47,1019.75,1019.75,1029.4,1001.95,1009.75,-0.98
27022025,25.73,1009.75,1021.15,1023.45,994.5,1000.7,-0.9
28022025,68.07,1000.7,994.3,1010.45,979.0,1005.35,0.46
03032025,47.62,1005.35,1009.95,1018.4,967.0,1000.7,-0.46
04032025,38.84,1000.7,1009.95,1015.0,973.2,976.15,-2.45
05032025,33.04,976.15,970.75,1035.0,962.75,1008.7,3.33
06032025,47.28,1008.7,1003.15,1027.3,996.0,1023.55,1.47
07032025,43.23,1023.55,1039.95,1045.0,1029.55,1035.25,1.14
10032025,47.18,1035.25,1027.0,1058.9,1007.55,1014.15,-2.04
11032025,46.38,1014.15,1015.0,1018.0,981.4,1000.3,-1.37
12032025,65.98,1000.3,1010.25,1010.95,986.15,990.55,-0.97
13032025,57.97,990.55,980.6,986.2,955.0,959.05,-3.18
17032025,25.29,959.05,1020.0,1025.65,901.0,908.25,-5.3
18032025,34.17,908.25,921.0,947.7,909.0,940.65,3.57
19032025,3.8,940.65,1000.0,1075.0,982.0,1026.1,9.08
20032025,18.5,1026.1,1022.8,1025.95,990.1,1012.65,-1.31
21032025,33.3,1012.65,1011.75,1034.45,987.0,1019.75,0.7
24032025,34.66,1019.75,1019.75,1076.45,1019.75,1040.75,2.06
25032025,41.37,1040.75,1056.35,1056.35,1015.1,1030.5,-0.98
26032025,35.71,1030.5,1025.1,1040.05,1012.0,1033.85,0.33
27032025,47.73,1033.85,1027.8,1089.5,1009.05,1043.2,0.9
28032025,42.56,1043.2,1038.65,1053.95,1015.6,1042.95,-0.02
01042025,29.12,1042.95,1039.65,1064.9,1035.0,1048.95,0.58
02042025,33.8,1048.95,1040.0,1072.0,1033.05,1067.6,1.78
03042025,56.18,1067.6,1061.7,1085.0,1056.6,1078.35,1.01
04042025,27.44,1078.35,1090.0,1097.0,1032.05,1039.75,-3.58
07042025,37.88,1039.75,920.7,1011.45,920.7,1005.45,-3.3
08042025,33.61,1005.45,1029.95,1033.7,1013.45,1023.1,1.76
09042025,45.83,1023.1,1017.5,1044.45,1006.0,1040.25,1.68
11042025,53.45,1040.25,1042.0,1075.0,1042.0,1073.1,3.16
15042025,50.4,1073.1,1099.0,1109.0,1080.7,1093.5,1.9
16042025,40.14,1093.5,1085.5,1103.2,1079.6,1088.5,-0.46
17042025,35.69,1088.5,1089.3,1101.0,1080.2,1088.1,-0.04
21042025,39.27,1088.1,1099.9,1120.0,1090.0,1109.1,1.93
22042025,38.42,1109.1,1116.7,1132.0,1102.4,1120.5,1.03
23042025,29.5,1120.5,1121.0,1129.6,1092.5,1105.8,-1.31
24042025,45.1,1105.8,1112.0,1124.3,1104.2,1114.2,0.76
25042025,50.72,1114.2,1109.3,1115.2,1053.6,1063.7,-4.53
28042025,32.95,1063.7,1057.9,1086.0,1054.0,1075.6,1.12
29042025,38.51,1075.6,1079.3,1095.0,1075.6,1082.6,0.65
30042025,43.24,1082.6,1076.6,1076.6,1032.8,1038.1,-4.11
02052025,36.99,1038.1,1058.9,1060.9,1033.1,1052.2,1.36
05052025,41.3,1052.2,1069.8,1075.0,1045.5,1069.5,1.64
06052025,25.78,1069.5,1096.0,1115.2,1071.1,1075.6,0.57
07052025,44.61,1075.6,1057.4,1070.7,1025.0,1068.1,-0.7
08052025,51.38,1068.1,1068.1,1079.3,1050.0,1064.4,-0.35
09052025,48.88,1064.4,1035.0,1053.7,1025.1,1047.6,-1.58
