Date,DelPerc
10122019,62.64
11122019,93.36
12122019,99.26
13122019,75.42
16122019,99.15
17122019,68.32
18122019,66.06
19122019,85.53
20122019,88.4
23122019,86.19
24122019,94.98
25122019,94.98
26122019,86.86
27122019,73.1
30122019,75.7
31122019,71.59
01012020,77.26
02012020,94.21
03012020,41.45
06012020,71.15
07012020,82.53
08012020,74.1
09012020,98.09
10012020,92.64
13012020,97.78
14012020,100.0
15012020,78.69
16012020,100.0
17012020,100.0
20012020,66.68
21012020,72.99
22012020,80.89
23012020,83.67
24012020,89.98
27012020,75.63
28012020,100.0
29012020,74.24
30012020,89.26
31012020,83.25
03022020,84.82
04022020,68.69
05022020,68.13
06022020,94.68
07022020,64.07
10022020,82.87
11022020,80.31
12022020,98.53
13022020,54.81
14022020,73.42
17022020,84.78
18022020,85.91
19022020,68.26
20022020,73.13
21022020,73.13
24022020,78.49
25022020,68.9
26022020,70.52
27022020,64.87
28022020,80.7
02032020,81.2
03032020,87.92
04032020,74.07
05032020,84.51
06032020,66.99
09032020,78.82
10032020,78.82
11032020,63.81
12032020,91.23
13032020,73.93
16032020,73.72
17032020,59.63
18032020,71.06
19032020,100.0
20032020,79.8
23032020,95.01
24032020,97.6
25032020,100.0
26032020,89.64
27032020,96.72
30032020,91.89
31032020,66.34
01042020,98.92
02042020,98.92
03042020,85.31
06042020,85.31
07042020,99.96
08042020,99.18
09042020,92.76
10042020,92.76
13042020,96.9
15042020,81.76
16042020,84.18
17042020,78.37
20042020,82.8
21042020,87.15
22042020,70.55
23042020,91.26
24042020,86.75
27042020,74.8
28042020,92.52
29042020,72.1
30042020,63.1
01052020,63.1
04052020,98.65
05052020,81.75
06052020,74.11
07052020,92.2
08052020,79.81
11052020,83.1
12052020,76.72
13052020,69.18
14052020,87.03
15052020,80.09
18052020,82.56
19052020,88.96
20052020,62.14
21052020,99.51
22052020,94.78
25052020,94.78
26052020,71.43
27052020,78.75
28052020,78.92
29052020,66.35
01062020,89.04
02062020,98.07
03062020,64.09
04062020,99.85
05062020,100.0
08062020,100.0
09062020,100.0
10062020,96.99
11062020,81.69
12062020,100.0
15062020,93.25
16062020,69.33
17062020,80.66
18062020,66.92
19062020,80.51
22062020,68.93
23062020,79.13
24062020,92.91
25062020,73.6
26062020,77.14
29062020,83.35
30062020,91.79
01072020,71.29
02072020,55.99
03072020,86.56
06072020,94.79
07072020,86.1
08072020,85.11
09072020,79.47
10072020,86.89
13072020,91.89
14072020,70.74
15072020,77.11
16072020,77.5
17072020,72.43
20072020,87.34
21072020,86.71
22072020,73.91
23072020,64.62
24072020,84.55
27072020,81.37
28072020,73.61
29072020,79.48
30072020,73.91
31072020,82.16
03082020,65.22
04082020,83.11
05082020,61.2
06082020,65.73
07082020,71.21
10082020,68.21
11082020,78.7
12082020,68.81
13082020,62.2
14082020,68.93
