Date,DelPerc
23042024,82.87
24042024,89.78
25042024,72.67
26042024,83.41
29042024,90.27
30042024,98.72
01052024,98.72
02052024,63.37
03052024,70.8
06052024,63.73
07052024,87.49
08052024,85.67
09052024,72.96
10052024,72.34
13052024,51.11
14052024,70.88
15052024,72.4
16052024,78.78
17052024,82.21
20052024,43.86
21052024,69.27
22052024,67.06
23052024,71.98
24052024,58.21
27052024,91.67
28052024,68.84
29052024,88.46
30052024,100.0
31052024,66.21
03062024,80.89
04062024,92.31
05062024,92.0
06062024,57.03
07062024,80.31
10062024,72.94
11062024,98.23
12062024,86.2
13062024,84.02
14062024,88.42
17062024,88.42
18062024,85.33
19062024,90.31
20062024,76.38
21062024,76.4
24062024,78.89
25062024,65.91
26062024,67.07
27062024,68.11
28062024,64.54
01072024,48.66
02072024,73.48
03072024,50.67
04072024,72.22
05072024,78.24
08072024,69.3
09072024,78.14
10072024,67.4
11072024,87.05
12072024,60.85
15072024,79.41
16072024,78.6
17072024,78.6
18072024,90.92
19072024,93.49
22072024,58.07
23072024,66.4
24072024,75.87
25072024,51.74
26072024,86.3
29072024,58.14
30072024,38.0
31072024,78.56
01082024,68.75
02082024,55.18
05082024,87.32
06082024,56.4
07082024,62.79
08082024,64.91
09082024,80.28
12082024,86.4
13082024,69.48
14082024,57.35
16082024,80.79
19082024,70.03
20082024,71.85
21082024,67.64
22082024,87.07
23082024,82.67
26082024,64.54
27082024,74.77
28082024,84.78
29082024,51.09
30082024,94.12
02092024,60.54
03092024,81.09
04092024,58.76
05092024,70.46
06092024,87.5
09092024,86.16
10092024,86.24
11092024,56.72
12092024,72.78
13092024,74.47
16092024,73.4
17092024,79.0
18092024,85.92
19092024,69.04
20092024,70.68
23092024,40.58
24092024,87.99
25092024,76.51
26092024,63.65
27092024,72.17
30092024,67.3
01102024,71.6
03102024,77.78
04102024,65.24
07102024,51.8
08102024,58.63
09102024,81.65
10102024,59.43
11102024,49.08
14102024,53.8
15102024,41.98
16102024,44.95
31122024,93.37
01012025,98.27
02012025,81.52
03012025,70.98
06012025,86.42
07012025,69.98
08012025,76.18
09012025,77.16
10012025,70.7
13012025,64.67
14012025,74.92
15012025,76.68
16012025,65.49
17012025,80.84
20012025,65.31
21012025,92.8
22012025,64.32
23012025,75.05
24012025,82.61
27012025,64.81
28012025,79.79
29012025,53.83
30012025,81.55
31012025,64.6
03022025,81.73
04022025,91.08
05022025,81.72
06022025,95.54
07022025,79.47
10022025,82.19
11022025,85.0
12022025,81.64
13022025,90.3
14022025,57.65
17022025,76.47
18022025,68.53
19022025,71.44
20022025,76.81
21022025,72.53
24022025,87.83
25022025,80.56
27022025,64.89
28022025,76.58
03032025,81.85
04032025,76.58
05032025,86.11
06032025,75.63
07032025,77.68
10032025,94.4
11032025,87.68
12032025,91.05
13032025,59.46
17032025,77.54
18032025,79.33
19032025,77.02
20032025,34.93
21032025,86.1
24032025,94.49
25032025,74.28
26032025,63.87
27032025,84.65
28032025,85.51
01042025,97.3
02042025,89.96
03042025,90.78
04042025,70.06
07042025,66.09
08042025,67.97
09042025,70.05
11042025,61.98
15042025,71.24
16042025,64.57
17042025,45.87
21042025,73.74
22042025,65.24
23042025,48.19
24042025,66.09
25042025,70.14
28042025,81.29
29042025,65.07
30042025,89.62
02052025,71.59
05052025,69.94
06052025,71.84
07052025,91.17
08052025,80.06
09052025,81.8
12052025,65.63
13052025,45.59
14052025,88.2
15052025,94.64
16052025,86.69
19052025,95.63
20052025,96.37
21052025,85.9
22052025,88.58
23052025,74.24
26052025,70.37
27052025,92.53
28052025,91.81
29052025,91.82
30052025,73.61
02062025,91.93
03062025,94.81
04062025,84.58
05062025,80.74
06062025,88.06
09062025,82.95
10062025,74.27
11062025,29.59
12062025,63.68
13062025,49.82
16062025,54.2
17062025,29.28
18062025,62.62
19062025,67.94
20062025,59.32
23062025,26.37
24062025,59.88
25062025,73.17
26062025,50.19
27062025,69.29
30062025,51.27
01072025,69.78
02072025,85.52
03072025,78.95
04072025,59.91
07072025,51.94
08072025,63.6
09072025,68.81
13102025,66.15
14102025,72.54
15102025,94.59
16102025,94.12
17102025,84.67
20102025,65.96
21102025,79.07
22102025,79.07
23102025,45.83
24102025,86.03
27102025,81.31
28102025,82.68
29102025,77.63
30102025,93.36
31102025,77.75
03112025,88.4
04112025,64.54
05112025,64.54
06112025,61.0
07112025,58.41
10112025,83.8
11112025,89.51
12112025,86.73
13112025,86.64
14112025,59.62
17112025,72.05
18112025,95.07
19112025,73.39
20112025,85.22
21112025,82.63
24112025,84.66
25112025,90.62
26112025,85.29
27112025,63.02
28112025,72.21
01122025,86.92
02122025,75.25
03122025,73.61
04122025,84.61
05122025,60.41
08122025,73.06
09122025,89.12
10122025,61.82
11122025,77.65
12122025,49.26
15122025,54.75
16122025,42.19
17122025,59.53
18122025,62.42
19122025,71.75
22122025,79.7
23122025,85.22
24122025,80.74
25122025,80.74
26122025,74.75
29122025,92.77
30122025,84.0
31122025,80.61
01012026,64.71
02012026,96.87
05012026,75.32
06012026,70.63
07012026,86.11
08012026,73.89
09012026,86.57
12012026,78.79
13012026,73.28
14012026,82.18
15012026,82.18
16012026,94.31
19012026,70.93
20012026,74.63
21012026,89.42
22012026,65.65
23012026,77.06
27012026,94.43
28012026,58.81
29012026,56.74
30012026,63.36
02022026,53.89
03022026,79.69
04022026,68.08
05022026,54.04
06022026,84.52
09022026,68.27
10022026,60.68
11022026,82.07
12022026,90.59
