Date,DelPerc
30122021,86.95
31122021,62.03
03012022,70.95
04012022,65.82
05012022,75.29
06012022,77.71
07012022,97.16
10012022,85.05
11012022,97.18
12012022,100.0
13012022,66.24
14012022,65.85
17012022,34.68
18012022,57.18
19012022,52.38
20012022,39.2
21012022,66.18
24012022,51.54
25012022,42.8
27012022,50.41
28012022,47.51
31012022,49.87
01022022,68.25
02022022,53.1
03022022,49.14
04022022,72.65
07022022,59.19
08022022,46.63
09022022,52.77
10022022,51.13
11022022,54.56
14022022,58.09
15022022,65.16
16022022,88.38
17022022,44.75
18022022,69.79
21022022,56.91
22022022,54.89
23022022,89.13
24022022,79.58
25022022,57.49
28022022,83.38
01032022,83.38
02032022,62.67
03032022,98.69
04032022,63.05
07032022,90.09
08032022,71.42
09032022,49.39
10032022,76.46
11032022,33.95
14032022,86.33
15032022,25.82
16032022,77.94
17032022,21.64
18032022,21.64
21032022,58.01
22032022,69.97
23032022,73.26
24032022,55.05
25032022,84.22
28032022,68.06
29032022,78.61
30032022,88.93
31032022,90.38
01042022,59.18
04042022,23.79
05042022,86.39
06042022,83.16
07042022,83.35
08042022,56.77
11042022,61.33
12042022,88.62
13042022,65.66
14042022,65.66
15042022,65.66
18042022,81.88
19042022,78.84
20042022,86.71
21042022,85.62
22042022,92.33
25042022,93.11
26042022,89.83
27042022,67.67
28042022,73.64
29042022,87.2
02052022,75.01
03052022,75.01
04052022,94.31
05052022,46.79
06052022,84.9
09052022,88.32
10052022,92.66
11052022,86.58
12052022,69.37
13052022,82.18
16052022,94.47
17052022,63.15
18052022,70.63
19052022,88.42
20052022,82.61
23052022,35.74
24052022,66.4
25052022,98.17
26052022,60.27
27052022,65.5
30052022,90.48
31052022,92.1
01062022,50.48
02062022,85.71
03062022,84.92
06062022,80.4
07062022,63.0
08062022,73.63
09062022,92.76
10062022,66.01
13062022,49.3
14062022,79.16
15062022,58.14
16062022,59.91
17062022,48.26
20062022,72.04
21062022,49.91
22062022,57.59
23062022,57.06
24062022,66.83
27062022,53.53
28062022,79.61
29062022,24.81
30062022,70.15
01072022,62.71
04072022,70.69
05072022,70.08
06072022,65.89
07072022,64.36
08072022,51.17
11072022,84.63
12072022,54.55
13072022,92.38
14072022,50.0
15072022,100.0
18072022,68.58
19072022,46.47
20072022,60.32
21072022,76.48
22072022,93.75
25072022,65.22
26072022,36.97
27072022,35.72
28072022,76.34
29072022,70.62
01082022,61.14
02082022,89.8
03082022,91.92
04082022,100.0
05082022,99.12
10082022,73.81
11082022,64.83
13092022,93.45
14092022,37.27
15092022,79.08
16092022,82.12
19092022,89.22
20092022,87.69
21092022,100.0
22092022,54.39
23092022,61.55
26092022,83.65
27092022,98.69
28092022,51.5
29092022,97.9
30092022,99.16
03102022,92.07
04102022,50.0
05102022,50.0
06102022,94.21
07102022,89.35
10102022,75.1
11102022,78.02
12102022,69.2
13102022,40.64
14102022,61.48
17102022,33.17
18102022,73.79
19102022,54.29
20102022,85.31
21102022,38.46
24102022,69.51
25102022,80.66
26102022,80.66
27102022,83.06
28102022,92.22
31102022,85.91
01112022,46.07
02112022,69.39
03112022,81.91
04112022,68.09
07112022,59.93
08112022,59.93
09112022,78.22
10112022,53.07
11112022,51.45
14112022,59.59
15112022,87.77
16112022,80.48
17112022,84.04
18112022,46.7
21112022,54.34
22112022,50.4
23112022,79.04
24112022,62.17
25112022,54.67
28112022,47.72
29112022,49.21
30112022,83.64
01122022,56.48
02122022,81.53
05122022,82.69
06122022,45.48
07122022,97.35
08122022,31.67
09122022,35.35
12122022,53.46
13122022,51.23
14122022,70.68
15122022,63.04
16122022,70.2
19122022,51.72
20122022,58.45
21122022,43.35
22122022,46.8
23122022,48.38
26122022,39.4
27122022,55.16
28122022,46.25
29122022,24.8
30122022,72.62
02012023,99.99
03012023,55.28
04012023,100.0
05012023,100.0
06012023,51.97
09012023,98.38
10012023,100.0
11012023,60.9
28022023,61.34
01032023,95.73
02032023,80.07
03032023,94.37
06032023,55.29
07032023,55.29
08032023,79.59
09032023,81.72
10032023,52.54
13032023,50.0
14032023,97.21
15032023,70.55
16032023,78.07
17032023,40.96
20032023,78.0
21032023,76.48
22032023,75.63
23032023,100.0
24032023,100.0
27032023,79.69
28032023,97.56
29032023,75.9
30032023,75.9
31032023,53.19
03042023,85.26
04042023,85.26
05042023,79.97
06042023,50.0
07042023,50.0
10042023,85.3
11042023,48.91
12042023,85.71
13042023,69.43
14042023,69.43
17042023,82.45
18042023,86.91
19042023,41.58
20042023,54.41
21042023,79.66
24042023,87.66
25042023,78.86
26042023,44.28
27042023,38.1
28042023,69.95
01052023,69.95
02052023,72.14
03052023,48.44
04052023,40.37
05052023,82.47
08052023,65.07
09052023,64.23
10052023,41.22
11052023,55.57
12052023,43.23
15052023,41.17
16052023,43.77
17052023,33.79
18052023,76.96
19052023,49.09
22052023,62.43
23052023,44.46
24052023,65.46
25052023,57.76
26052023,49.18
29052023,50.21
30052023,68.16
31052023,54.13
01062023,73.47
02062023,74.75
05062023,84.32
06062023,47.24
07062023,77.42
08062023,72.34
09062023,46.55
12062023,65.28
13062023,64.18
14062023,54.44
15062023,66.56
16062023,67.02
19062023,71.91
20062023,74.95
21062023,66.28
22062023,85.28
23062023,52.19
26062023,60.91
27062023,100.0
28062023,59.28
29062023,59.28
30062023,66.67
03072023,75.84
04072023,53.23
05072023,60.78
06072023,59.58
07072023,90.12
10072023,95.03
11072023,89.52
12072023,73.97
13072023,84.55
14072023,82.3
17072023,68.15
18072023,37.61
19072023,70.83
20072023,76.03
24072023,90.74
25072023,49.0
26072023,71.9
27072023,73.57
28072023,58.88
31072023,41.39
01082023,51.56
02082023,92.58
03082023,42.02
04082023,62.18
07082023,64.85
08082023,76.94
09082023,91.81
10082023,63.03
11082023,63.94
14082023,91.05
16082023,64.63
17082023,78.88
18082023,99.7
21082023,67.86
22082023,67.54
23082023,64.01
24082023,62.33
25082023,57.68
28082023,61.98
29082023,42.69
30082023,40.84
31082023,64.06
01092023,77.44
04092023,64.57
05092023,74.9
06092023,64.0
07092023,57.41
08092023,87.18
11092023,55.5
12092023,70.78
13092023,70.25
14092023,51.85
15092023,57.26
18092023,29.27
19092023,29.27
20092023,62.83
21092023,45.05
22092023,25.15
25092023,46.98
26092023,64.11
27092023,62.21
28092023,26.61
29092023,38.02
03102023,27.18
04102023,25.68
05102023,27.93
06102023,27.65
09102023,41.33
10102023,15.18
11102023,37.03
12102023,54.02
13102023,34.96
16102023,41.94
17102023,45.3
18102023,31.74
19102023,36.58
20102023,82.9
23102023,57.95
24102023,57.95
25102023,25.07
26102023,71.52
27102023,76.97
30102023,49.7
31102023,78.82
01112023,63.81
02112023,80.6
03112023,5.7
06112023,2.49
07112023,12.13
08112023,15.67
09112023,13.3
10112023,50.07
13112023,37.58
14112023,37.58
15112023,52.11
16112023,77.21
17112023,60.11
20112023,57.25
21112023,36.5
22112023,6.45
23112023,6.24
24112023,34.74
27112023,34.74
28112023,58.74
29112023,81.35
30112023,45.01
01122023,5.09
04122023,67.15
05122023,81.54
06122023,90.51
07122023,65.99
08122023,41.97
11122023,75.81
12122023,100.0
13122023,100.0
14122023,100.0
15122023,100.0
18122023,100.0
19122023,75.18
20122023,45.72
21122023,78.65
26032024,76.25
27032024,74.06
28032024,81.46
29032024,81.46
01042024,78.65
02042024,48.77
03042024,46.23
04042024,58.21
05042024,62.01
08042024,95.55
09042024,94.5
10042024,46.64
11042024,46.64
12042024,79.85
15042024,75.6
16042024,53.98
17042024,53.98
18042024,64.09
19042024,84.76
22042024,70.17
23042024,76.17
24042024,70.37
25042024,72.49
26042024,73.59
29042024,82.78
30042024,72.47
01052024,72.47
02052024,59.79
03052024,72.9
06052024,74.12
07052024,79.52
08052024,53.1
09052024,61.25
10052024,73.95
13052024,90.71
14052024,100.0
15052024,56.69
16052024,71.82
17052024,69.76
20052024,87.27
21052024,59.48
22052024,83.75
23052024,75.92
24052024,46.62
27052024,55.64
28052024,81.39
29052024,59.92
30052024,83.36
31052024,77.57
03062024,70.99
04062024,66.36
05062024,58.12
06062024,68.56
07062024,69.16
10062024,71.33
11062024,63.62
12062024,61.46
13062024,62.52
14062024,76.17
17062024,76.17
18062024,74.36
23092024,66.29
24092024,68.98
25092024,55.91
26092024,83.81
27092024,67.01
30092024,56.9
01102024,59.27
03102024,50.43
04102024,54.24
07102024,84.86
08102024,61.02
09102024,30.56
10102024,58.0
11102024,45.67
14102024,45.65
15102024,21.63
16102024,31.21
17102024,13.86
18102024,23.22
21102024,27.54
22102024,67.06
23102024,24.4
24102024,36.32
25102024,22.92
28102024,23.86
29102024,66.28
30102024,60.46
31102024,38.07
01112024,71.26
04112024,91.24
05112024,78.45
06112024,99.68
07112024,65.7
08112024,56.76
11112024,98.74
17022025,66.77
18022025,86.17
19022025,88.71
20022025,66.2
21022025,69.21
24022025,55.35
25022025,91.78
27022025,63.44
28022025,61.88
03032025,70.01
04032025,49.08
05032025,58.74
06032025,64.53
07032025,81.6
10032025,74.69
11032025,66.41
12032025,76.07
13032025,86.4
17032025,69.63
18032025,83.56
19032025,37.72
20032025,79.32
21032025,73.5
24032025,57.12
25032025,94.92
26032025,75.94
27032025,64.71
28032025,59.95
01042025,63.55
02042025,69.43
03042025,66.7
04042025,59.07
07042025,59.5
08042025,44.95
09042025,52.58
11042025,46.31
15042025,75.22
16042025,64.67
17042025,52.23
21042025,44.33
22042025,65.86
23042025,65.39
24042025,60.75
25042025,66.77
28042025,54.16
29042025,60.18
30042025,54.61
02052025,41.53
05052025,55.09
06052025,47.85
07052025,71.48
08052025,57.15
09052025,64.71
12052025,69.88
13052025,50.03
14052025,55.55
15052025,83.85
16052025,52.08
19052025,61.56
20052025,83.2
21052025,18.56
22052025,50.16
23052025,100.0
26052025,71.14
27052025,57.69
28052025,58.8
29052025,47.36
30052025,65.59
02062025,60.03
03062025,58.87
04062025,80.04
05062025,68.44
06062025,48.66
09092025,70.95
10092025,62.68
11092025,73.46
12092025,53.12
15092025,64.94
16092025,70.72
17092025,76.85
18092025,68.19
19092025,56.98
22092025,33.08
23092025,57.36
24092025,65.75
25092025,34.15
26092025,55.26
29092025,57.71
30092025,64.54
01102025,53.09
03102025,54.98
06102025,59.73
07102025,42.76
08102025,48.94
09102025,58.15
10102025,35.91
13102025,37.84
14102025,61.85
15102025,61.82
16102025,36.25
17102025,48.12
20102025,48.69
21102025,54.83
22102025,54.83
23102025,82.92
24102025,49.14
27102025,38.57
28102025,56.85
29102025,39.03
30102025,50.43
31102025,42.72
03112025,52.5
04112025,50.9
05112025,50.9
06112025,49.05
07112025,24.55
10112025,24.92
11112025,43.97
12112025,64.66
13112025,57.26
14112025,48.12
17112025,59.29
18112025,38.1
19112025,69.45
20112025,61.22
21112025,46.4
24112025,66.92
25112025,75.01
26112025,52.12
27112025,52.43
28112025,35.97
01122025,54.19
02122025,36.97
03122025,38.02
04122025,50.2
