Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,43.36,183.16,183.05,185.9,182.77,184.81,0.9
02012025,25.25,184.81,185.6,194.2,185.6,193.61,4.76
03012025,25.51,193.61,192.5,202.94,192.5,198.66,2.61
06012025,39.07,198.66,200.0,200.04,186.35,187.66,-5.54
07012025,34.9,187.66,188.75,194.48,187.7,192.14,2.39
08012025,41.62,192.14,192.5,198.0,187.8,188.89,-1.69
09012025,52.9,188.89,189.49,189.56,185.01,186.15,-1.45
10012025,47.17,186.15,185.89,191.5,180.5,189.74,1.93
13012025,37.72,189.74,188.5,189.91,177.0,180.98,-4.62
14012025,35.34,180.98,180.7,183.06,179.65,181.31,0.18
15012025,45.36,181.31,184.2,185.67,181.25,183.53,1.22
16012025,42.7,183.53,183.5,191.23,183.5,186.83,1.8
17012025,48.95,186.83,186.2,188.9,183.6,186.63,-0.11
20012025,48.13,186.63,188.6,204.49,187.01,203.15,8.85
21012025,29.28,203.15,199.15,208.0,199.1,202.08,-0.53
22012025,41.05,202.08,200.0,204.72,191.3,194.79,-3.61
23012025,33.75,194.79,195.5,201.44,193.2,196.6,0.93
24012025,44.86,196.6,197.89,197.89,192.52,194.32,-1.16
27012025,37.7,194.32,192.7,192.7,180.75,182.42,-6.12
28012025,40.29,182.42,183.16,193.69,175.5,188.35,3.25
29012025,39.58,188.35,187.95,198.95,186.02,197.74,4.99
30012025,57.71,197.74,195.04,201.99,193.5,196.25,-0.75
31012025,45.75,196.25,194.6,199.98,194.6,198.17,0.98
03022025,59.77,196.23,193.99,196.0,190.0,191.62,-2.35
04022025,50.41,191.62,192.99,197.85,191.96,195.16,1.85
05022025,28.98,195.16,198.5,209.0,197.0,200.97,2.98
06022025,37.39,200.97,204.99,215.69,202.85,214.58,6.77
07022025,36.88,214.58,214.59,218.8,209.01,214.11,-0.22
10022025,45.9,214.11,214.08,214.08,205.5,207.47,-3.1
11022025,44.79,207.47,208.23,211.31,201.31,203.85,-1.74
12022025,33.52,203.85,206.39,210.27,196.85,203.3,-0.27
13022025,24.68,203.3,204.0,209.9,199.64,201.36,-0.95
14022025,44.62,201.36,201.99,203.25,190.5,193.97,-3.67
17022025,40.28,193.97,194.01,204.8,188.41,202.34,4.32
18022025,46.59,202.34,204.4,204.4,191.34,198.78,-1.76
19022025,41.22,198.78,198.77,207.85,194.4,201.92,1.58
20022025,40.42,201.92,200.1,208.66,199.32,205.77,1.91
21022025,32.1,205.77,205.76,213.78,200.25,202.08,-1.79
24022025,46.69,202.08,200.2,201.99,191.3,191.81,-5.08
25022025,39.92,191.81,192.2,197.99,191.51,192.73,0.48
27022025,48.63,192.73,193.5,193.5,184.0,184.8,-4.11
28022025,40.0,184.8,183.0,183.69,175.5,180.31,-2.43
03032025,39.47,180.31,179.55,186.51,172.45,182.6,1.27
04032025,48.98,182.6,179.83,188.79,178.7,182.79,0.1
05032025,47.99,182.79,182.7,185.5,181.1,181.85,-0.51
06032025,42.71,181.85,184.96,187.11,177.5,178.43,-1.88
07032025,45.25,178.43,179.99,181.61,177.73,178.44,0.01
10032025,54.31,178.44,178.4,179.4,169.15,170.89,-4.23
11032025,43.83,170.89,169.0,174.9,168.4,169.93,-0.56
12032025,52.52,169.93,171.2,176.48,165.0,166.86,-1.81
13032025,35.23,166.86,166.79,172.49,164.07,170.33,2.08
17032025,53.97,170.33,170.33,172.45,165.1,165.63,-2.76
