Date,DelPerc
13122022,100.0
14122022,100.0
15122022,100.0
16122022,100.0
19122022,100.0
20122022,100.0
21122022,100.0
22122022,72.97
23122022,99.99
26122022,75.29
27122022,100.0
28122022,100.0
28022023,100.0
01032023,99.96
02032023,71.51
03032023,81.78
06032023,38.81
07032023,38.81
08032023,93.97
09032023,92.54
10032023,78.99
13032023,82.34
14032023,99.42
15032023,25.11
16032023,82.22
17032023,66.4
20032023,87.59
21032023,97.29
22032023,99.57
23032023,68.6
24032023,66.36
27032023,38.9
28032023,100.0
29032023,94.74
30032023,94.74
31032023,100.0
03042023,99.75
04042023,99.75
05042023,54.77
06042023,100.0
07042023,100.0
10042023,77.11
11042023,97.71
12042023,100.0
13042023,99.93
14042023,99.93
17042023,99.86
18042023,93.25
19042023,99.92
20042023,87.65
21042023,99.92
24042023,80.19
25042023,88.16
26042023,84.24
27042023,95.17
28042023,71.78
01052023,71.78
02052023,78.36
03052023,88.99
04052023,58.58
23042024,91.69
24042024,94.4
25042024,70.77
26042024,92.73
29042024,71.22
30042024,79.86
01052024,79.86
02052024,74.79
03052024,98.27
06052024,84.15
07052024,90.42
08052024,99.68
09052024,67.41
10052024,76.14
13052024,92.92
14052024,54.9
15052024,82.7
16052024,88.94
17052024,100.0
20052024,99.98
21052024,99.98
22052024,100.0
23052024,99.97
24052024,100.0
27052024,100.0
28052024,100.0
29052024,85.98
30052024,94.22
31052024,100.0
03062024,87.07
04062024,99.99
05062024,66.54
06062024,91.51
07062024,92.36
10062024,90.39
11062024,82.99
12062024,88.03
13062024,84.53
14062024,73.66
17062024,73.66
18062024,84.61
19062024,72.14
20062024,78.87
21062024,49.09
24062024,82.06
25062024,86.35
26062024,86.27
27062024,80.76
28062024,71.48
01072024,83.0
02072024,86.81
03072024,73.75
04072024,78.87
05072024,82.1
08072024,72.16
09072024,74.85
10072024,73.16
11072024,53.1
12072024,76.51
15072024,44.31
16072024,64.82
17072024,64.82
18072024,35.05
19072024,90.78
22072024,66.97
23072024,69.42
24072024,74.21
25072024,73.95
26072024,78.99
29072024,84.25
30072024,56.28
31072024,100.0
01082024,100.0
02082024,68.18
05082024,100.0
06082024,100.0
07082024,100.0
08082024,84.91
17022025,96.16
18022025,67.78
19022025,97.08
20022025,67.69
21022025,51.61
24022025,61.54
25022025,31.52
27022025,80.98
28022025,94.36
03032025,96.83
04032025,95.3
05032025,99.1
06032025,80.24
07032025,89.85
10032025,73.08
11032025,51.76
12032025,77.39
13032025,94.38
17032025,77.2
18032025,58.84
19032025,89.49
20032025,86.33
21032025,85.48
24032025,63.0
25032025,67.74
26032025,73.8
27032025,97.37
28032025,89.45
01042025,59.53
02042025,75.02
03042025,64.36
04042025,70.49
07042025,67.31
08042025,63.73
09042025,65.25
11042025,91.18
15042025,79.09
16042025,72.51
17042025,89.3
21042025,88.28
22042025,90.28
23042025,90.48
24042025,68.71
25042025,95.47
28042025,55.78
29042025,61.77
30042025,87.91
02052025,69.64
05052025,68.43
06052025,51.92
07052025,97.76
08052025,88.19
09052025,26.52
12052025,88.72
13052025,56.68
14052025,78.14
15052025,80.87
16052025,49.79
19052025,87.74
20052025,83.04
21052025,53.17
22052025,91.25
23052025,65.01
26052025,60.33
27052025,59.42
28052025,69.78
29052025,82.96
30052025,67.46
02062025,53.07
03062025,65.19
04062025,86.44
05062025,93.97
06062025,94.65
09062025,57.42
10062025,58.85
11062025,35.16
15092025,75.98
16092025,79.41
17092025,63.76
18092025,72.5
19092025,69.66
22092025,77.46
23092025,70.45
24092025,82.6
25092025,75.04
26092025,87.06
29092025,88.23
30092025,98.69
01102025,79.91
03102025,52.99
06102025,89.54
07102025,68.05
08102025,73.41
09102025,32.41
10102025,44.32
13102025,54.15
14102025,75.28
15102025,67.5
16102025,57.15
17102025,18.37
20102025,30.09
21102025,72.44
22102025,72.44
27012026,93.51
28012026,48.16
29012026,46.94
30012026,58.26
02022026,78.35
03022026,54.35
04022026,79.14
05022026,72.75
06022026,68.06
