Date,DelPerc
01102019,90.37
03102019,76.58
04102019,65.91
07102019,73.3
08102019,73.3
09102019,75.2
10102019,66.91
11102019,76.44
14102019,72.03
15102019,84.12
16102019,72.3
17102019,76.79
18102019,90.22
21102019,90.22
22102019,63.77
23102019,68.43
24102019,77.86
25102019,72.66
28102019,89.28
29102019,75.66
30102019,52.95
31102019,81.25
01112019,91.04
04112019,82.78
05112019,69.47
06112019,55.53
07112019,63.44
08112019,67.77
11112019,38.87
12112019,38.87
13112019,72.85
14112019,69.16
15112019,69.65
18112019,67.32
19112019,70.89
20112019,84.62
21112019,70.9
22112019,76.0
25112019,70.69
26112019,73.73
27112019,69.92
28112019,78.7
29112019,82.72
02122019,76.37
03122019,84.76
04122019,71.72
05122019,82.89
06122019,81.06
09122019,67.7
10122019,76.27
11122019,77.57
12122019,88.64
13122019,71.98
16122019,59.04
17122019,66.76
18122019,72.88
19122019,70.92
20122019,72.81
23122019,91.05
24122019,77.61
25122019,77.61
26122019,83.42
27122019,75.9
30122019,83.28
31122019,80.03
01012020,48.1
02012020,85.11
03012020,67.78
06012020,69.04
07012020,79.51
08012020,74.95
09012020,75.45
10012020,78.86
13012020,71.47
14012020,72.93
15012020,68.62
16012020,78.1
17012020,72.82
20012020,58.79
21012020,71.39
22012020,70.7
23012020,66.79
24012020,70.83
27012020,74.64
28012020,88.46
29012020,64.91
30012020,67.64
31012020,86.24
03022020,67.87
04022020,59.86
05022020,80.34
06022020,66.35
07022020,59.34
10022020,67.35
11022020,43.96
12022020,42.86
13022020,53.72
14022020,54.49
17022020,65.4
18022020,90.88
19022020,61.79
20022020,64.76
21022020,64.76
24022020,72.87
25022020,61.07
26022020,56.28
27022020,56.22
28022020,74.44
02032020,67.82
03032020,64.73
04032020,67.71
05032020,80.83
06032020,63.83
09032020,75.56
10032020,75.56
11032020,75.58
12032020,71.4
13032020,67.23
16032020,85.35
17032020,82.37
18032020,89.07
19032020,81.79
20032020,81.0
23032020,96.0
24032020,83.14
