Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,49.82,705.0,708.0,708.0,688.05,701.0,-0.57
02012025,59.1,701.0,701.0,703.5,694.5,697.9,-0.44
03012025,54.69,697.9,691.55,701.2,691.0,698.55,0.09
06012025,52.27,698.55,698.55,720.15,690.0,697.55,-0.14
07012025,60.75,697.55,697.0,699.35,671.1,685.55,-1.72
08012025,44.83,685.55,695.0,705.35,685.5,689.65,0.6
09012025,64.64,689.65,696.55,697.5,682.0,686.05,-0.52
10012025,49.89,686.05,693.95,693.95,655.7,670.4,-2.28
13012025,49.79,670.4,655.1,671.75,638.1,644.45,-3.87
14012025,57.27,644.45,650.0,650.0,633.0,640.4,-0.63
15012025,74.52,640.4,650.0,660.0,629.9,650.6,1.59
16012025,72.74,650.6,650.6,656.95,631.6,654.65,0.62
17012025,69.99,654.65,660.0,666.0,641.2,660.15,0.84
20012025,68.81,660.15,668.0,672.8,656.2,658.5,-0.25
21012025,85.86,658.5,651.9,663.95,642.35,644.6,-2.11
22012025,47.28,644.6,643.3,646.8,621.85,637.4,-1.12
23012025,83.04,637.4,645.0,645.0,616.15,619.75,-2.77
24012025,47.5,619.75,624.95,636.6,618.0,633.7,2.25
27012025,41.52,633.7,630.05,643.9,609.9,635.2,0.24
28012025,40.15,635.2,625.0,643.0,610.0,627.35,-1.24
29012025,46.57,627.35,627.35,648.4,620.35,643.4,2.56
30012025,51.47,643.4,645.3,657.9,637.45,646.65,0.51
31012025,51.84,646.65,658.0,669.6,648.05,661.3,2.27
03022025,56.4,631.55,628.0,634.95,607.35,615.75,-2.5
04022025,92.5,615.75,628.0,645.0,607.0,641.85,4.24
05022025,44.39,641.85,647.6,694.85,641.1,670.25,4.42
06022025,55.0,670.25,661.1,676.9,661.1,670.9,0.1
07022025,65.05,670.9,705.0,715.0,683.0,698.1,4.05
10022025,61.81,698.1,704.0,708.95,685.0,693.95,-0.59
11022025,39.28,693.95,685.0,699.85,658.4,665.15,-4.15
