Date,DelPerc
01102019,36.88
03102019,50.91
04102019,29.14
07102019,49.24
08102019,49.24
09102019,45.56
10102019,48.26
11102019,41.56
14102019,62.37
15102019,13.78
16102019,20.35
17102019,8.19
18102019,75.15
21102019,75.15
22102019,62.88
23102019,13.88
24102019,47.55
25102019,36.51
28102019,32.79
29102019,27.84
30102019,43.84
31102019,43.39
01112019,58.66
04112019,66.06
05112019,65.88
06112019,37.77
07112019,16.06
08112019,10.5
11112019,5.39
12112019,5.39
13112019,56.33
14112019,71.04
15112019,53.46
18112019,49.36
19112019,52.75
20112019,43.22
21112019,83.27
22112019,56.0
25112019,41.47
26112019,91.7
27112019,54.25
28112019,14.85
29112019,77.12
02122019,72.56
03122019,65.73
04122019,24.91
05122019,39.76
06122019,38.01
09122019,25.8
10122019,43.6
11122019,92.42
12122019,53.74
13122019,53.4
16122019,6.02
17122019,9.5
18122019,77.39
19122019,93.9
20122019,41.28
23122019,75.76
24122019,28.97
25122019,28.97
26122019,35.61
27122019,64.11
30122019,44.8
31122019,37.47
01012020,87.34
02012020,64.29
03012020,53.93
06012020,80.38
07012020,47.04
08012020,62.76
09012020,38.06
10012020,66.09
13012020,72.26
14012020,74.16
15012020,64.68
16012020,32.85
17012020,40.37
20012020,31.96
21012020,13.24
22012020,81.75
23012020,81.64
24012020,32.09
27012020,85.77
28012020,84.01
29012020,80.45
30012020,67.18
31012020,55.41
03022020,74.98
04022020,53.03
05022020,90.45
06022020,36.0
07022020,31.93
10022020,76.52
11022020,28.39
12022020,65.42
13022020,71.6
14022020,77.74
17022020,74.78
18022020,21.79
19022020,87.85
20022020,52.57
21022020,52.57
24022020,84.76
25022020,70.66
26022020,86.75
27022020,86.02
28022020,71.14
02032020,71.37
03032020,51.6
04032020,75.7
05032020,85.41
06032020,75.42
09032020,83.39
10032020,83.39
11032020,67.46
12032020,57.01
13032020,36.62
16032020,76.63
17032020,64.41
18032020,57.41
19032020,54.05
20032020,62.24
23032020,69.74
24032020,86.15
25032020,63.5
26032020,53.4
27032020,74.85
30032020,21.2
31032020,67.68
01042020,68.17
02042020,68.17
03042020,49.25
06042020,49.25
07042020,64.31
08042020,43.78
09042020,52.38
10042020,52.38
13042020,43.04
15042020,72.88
16042020,64.62
17042020,56.88
20042020,71.75
21042020,74.13
22042020,63.65
23042020,86.32
24042020,44.53
27042020,62.37
28042020,94.13
29042020,72.88
30042020,77.32
01052020,77.32
04052020,65.56
05052020,63.64
06052020,92.33
07052020,59.7
08052020,50.74
11052020,30.26
12052020,68.8
13052020,39.1
14052020,45.05
15052020,45.25
18052020,58.66
19052020,73.83
20052020,81.46
21052020,39.77
22052020,36.5
25052020,36.5
26052020,70.71
27052020,38.36
28052020,54.37
29052020,50.93
01062020,98.66
02062020,100.0
03062020,100.0
18082020,93.17
19082020,93.4
20082020,84.64
21082020,68.67
24082020,89.07
25082020,88.23
26082020,82.89
27082020,72.03
28082020,96.39
31082020,88.43
01092020,51.41
02092020,85.92
03092020,88.89
04092020,76.38
07092020,75.62
08092020,64.81
09092020,71.89
10092020,75.83
11092020,45.55
14092020,80.5
15092020,62.42
16092020,76.37
17092020,69.87
18092020,73.52
21092020,72.68
22092020,60.52
23092020,37.44
24092020,43.19
25092020,60.77
28092020,74.78
29092020,95.98
30092020,99.93
01102020,30.04
05102020,58.96
06102020,73.11
07102020,29.67
08102020,29.14
09102020,83.62
12102020,40.69
13102020,52.3
14102020,62.64
15102020,46.3
16102020,88.31
19102020,64.48
20102020,67.42
21102020,55.87
22102020,94.09
23102020,100.0
26102020,60.51
27102020,28.67
28102020,63.03
29102020,100.0
30102020,75.36
02112020,62.8
03112020,76.44
04112020,63.4
05112020,80.73
06112020,87.59
09112020,73.33
10112020,53.97
11112020,75.52
12112020,67.48
13112020,77.14
16112020,79.76
17112020,81.88
18112020,80.34
19112020,75.14
20112020,51.49
23112020,55.4
24112020,88.77
25112020,73.35
26112020,58.81
27112020,80.09
30112020,80.09
01122020,47.12
02122020,84.74
03122020,80.64
04122020,79.77
07122020,81.55
08122020,78.51
09122020,84.39
10122020,81.39
11122020,85.18
14122020,78.91
15122020,82.89
16122020,79.95
17122020,84.26
18122020,82.29
21122020,89.25
22122020,89.6
23122020,81.83
24122020,83.77
25122020,83.77
28122020,79.24
29122020,76.51
30122020,85.99
31122020,68.03
01012021,89.63
04012021,88.91
05012021,79.83
06012021,85.36
07012021,97.9
08012021,100.0
11012021,100.0
12012021,100.0
13012021,74.67
20072021,63.11
21072021,63.11
22072021,54.57
23072021,83.14
26072021,90.3
27072021,61.14
28072021,61.16
29072021,57.42
30072021,61.93
02082021,83.84
03082021,52.62
04082021,61.19
05082021,56.17
06082021,52.14
09082021,72.6
10082021,90.29
11082021,50.44
12082021,57.15
13082021,92.23
16082021,100.0
17082021,43.17
18082021,63.27
19082021,63.27
20082021,71.54
23082021,64.74
24082021,49.51
25082021,38.76
26082021,41.66
27082021,55.14
30082021,57.15
31082021,39.53
01092021,44.6
02092021,62.97
03092021,75.59
06092021,58.55
07092021,39.37
08092021,75.25
09092021,61.78
10092021,61.78
13092021,73.23
14092021,78.62
15092021,66.97
16092021,66.09
17092021,78.88
20092021,77.64
21092021,79.18
22092021,70.82
23092021,29.87
24092021,77.06
27092021,61.25
28092021,63.87
29092021,36.24
30092021,33.93
01102021,65.2
04102021,56.02
05102021,61.6
06102021,98.74
07102021,53.44
08102021,77.16
11102021,62.97
12102021,73.62
13102021,65.75
14102021,69.13
15102021,69.13
18102021,53.83
19102021,39.47
20102021,31.98
21102021,56.61
22102021,76.43
25102021,63.09
26102021,48.84
27102021,58.66
28102021,67.25
29102021,56.33
01112021,84.71
02112021,85.76
03112021,82.94
04112021,82.94
05112021,74.78
08112021,86.78
09112021,61.88
10112021,72.19
11112021,64.91
12112021,64.96
15112021,60.37
16112021,48.96
17112021,51.34
18112021,68.29
19112021,68.29
22112021,75.75
23112021,67.5
24112021,72.21
25112021,61.96
26112021,63.27
29112021,69.28
30112021,89.27
01122021,75.04
02122021,70.29
03122021,96.23
06122021,100.0
07122021,81.45
08122021,55.79
09122021,58.67
10122021,69.9
13122021,78.61
14122021,40.01
15122021,49.61
16122021,58.62
17122021,60.75
20122021,52.86
21122021,65.79
22122021,92.28
23122021,100.0
24122021,99.99
27122021,99.99
28122021,99.97
29122021,69.23
30122021,68.69
31122021,97.05
03012022,100.0
29032022,83.36
30032022,93.35
31032022,77.08
01042022,55.63
04042022,61.79
05042022,66.27
06042022,76.98
07042022,56.73
08042022,74.7
11042022,55.76
12042022,67.34
13042022,69.54
14042022,69.54
15042022,69.54
18042022,66.46
19042022,81.57
20042022,53.95
21042022,63.41
22042022,75.39
25042022,58.28
26042022,43.64
27042022,84.77
28042022,26.29
29042022,63.74
02052022,54.31
03052022,54.31
04052022,61.37
05052022,65.69
06052022,67.26
09052022,65.46
10052022,76.9
11052022,37.55
12052022,85.36
13052022,63.98
16052022,48.71
17052022,69.59
18052022,75.1
19052022,77.29
20052022,77.21
23052022,79.27
24052022,67.46
25052022,66.39
26052022,60.67
27052022,69.56
30052022,50.98
31052022,37.4
01062022,58.5
02062022,26.32
03062022,65.47
06062022,76.38
07062022,52.19
08062022,71.41
09062022,63.94
10062022,67.98
13062022,62.68
14062022,52.16
15062022,49.43
16062022,64.92
17062022,61.06
20062022,67.23
21062022,78.65
22062022,73.17
23062022,82.23
24062022,35.34
27062022,46.89
28062022,64.56
29062022,66.81
30062022,66.48
01072022,53.48
04072022,66.29
05072022,100.0
06072022,55.91
07072022,75.52
08072022,100.0
11072022,41.84
12072022,70.77
13072022,24.96
14072022,64.75
15072022,59.81
18072022,72.34
19072022,60.77
20072022,80.43
21072022,45.11
22072022,63.19
25072022,56.31
26072022,53.53
27072022,77.74
28072022,96.06
29072022,100.0
01082022,79.01
02082022,50.28
03082022,76.96
04082022,45.52
05082022,65.12
10082022,66.16
11082022,66.38
12082022,51.02
16082022,76.63
17082022,40.49
18082022,54.61
19082022,78.54
22082022,67.93
23082022,65.69
24082022,42.69
25082022,69.45
26082022,71.04
29082022,89.38
30082022,64.92
31082022,64.92
01092022,39.3
02092022,64.27
05092022,65.05
06092022,71.63
07092022,74.83
08092022,59.02
09092022,62.47
12092022,71.06
13092022,66.19
14092022,73.66
15092022,63.82
16092022,61.91
19092022,7.98
20092022,65.99
21092022,47.45
22092022,49.65
23092022,78.21
26092022,74.6
27092022,60.23
28092022,63.78
29092022,71.52
30092022,63.99
03102022,62.64
04102022,88.13
05102022,88.13
06102022,58.79
07102022,74.33
10102022,91.36
11102022,56.57
12102022,71.7
13102022,86.13
14102022,96.67
17102022,94.15
18102022,74.24
19102022,61.98
20102022,84.28
21102022,72.34
24102022,78.82
25102022,88.34
26102022,88.34
27102022,88.39
28102022,74.87
31102022,72.99
01112022,66.97
02112022,82.15
03112022,63.95
04112022,99.98
07112022,100.0
08112022,100.0
09112022,65.24
10112022,61.97
11112022,49.77
14112022,86.45
15112022,80.41
16112022,61.42
23052023,68.84
24052023,78.46
25052023,93.9
26052023,32.33
29052023,58.52
30052023,70.0
31052023,31.29
01062023,81.84
02062023,66.59
05062023,64.81
06062023,64.75
07062023,59.7
08062023,76.23
09062023,67.76
12062023,83.01
13062023,27.86
14062023,54.47
15062023,57.95
16062023,54.3
19062023,55.57
20062023,74.24
21062023,67.81
22062023,44.45
23062023,58.68
26062023,77.71
27062023,42.46
28062023,51.84
29062023,51.84
30062023,62.98
09102023,75.19
10102023,41.72
11102023,53.18
12102023,66.6
13102023,67.8
16102023,52.41
17102023,59.05
18102023,62.53
19102023,69.52
