Date,DelPerc
10122019,67.1
11122019,61.79
12122019,77.17
13122019,74.03
16122019,77.7
17122019,46.71
18122019,50.55
19122019,39.1
20122019,47.17
23122019,53.49
24122019,49.93
25122019,49.93
26122019,41.9
27122019,77.93
30122019,54.39
31122019,56.61
01012020,51.09
02012020,48.15
03012020,56.17
06012020,50.49
07012020,57.65
08012020,54.81
09012020,51.84
10012020,63.57
13012020,46.27
14012020,52.7
15012020,71.3
16012020,85.56
17012020,94.43
20012020,56.78
21012020,97.3
22012020,88.6
23012020,53.98
24012020,92.32
27012020,76.65
28012020,84.36
29012020,90.47
30012020,90.17
31012020,89.61
03022020,75.28
04022020,92.0
05022020,72.59
06022020,83.42
07022020,71.6
10022020,92.36
11022020,54.58
12022020,47.3
13022020,77.29
14022020,38.71
17022020,80.87
18022020,93.22
19022020,85.39
20022020,85.49
21022020,85.49
24022020,99.65
25022020,85.71
26022020,88.24
27022020,95.77
28022020,64.63
02032020,88.46
03032020,78.96
04032020,88.54
05032020,65.84
06032020,74.39
09032020,78.6
10032020,78.6
11032020,81.19
12032020,85.63
13032020,83.14
16032020,67.56
17032020,100.0
18032020,79.59
19032020,91.07
20032020,89.14
23032020,76.44
24032020,78.56
25032020,68.87
27052020,92.67
28052020,88.02
29052020,66.57
01062020,77.93
02062020,59.06
03062020,59.62
04062020,72.86
05062020,71.82
08062020,75.3
09062020,84.6
10062020,54.46
11062020,58.84
12062020,70.0
15062020,55.46
16062020,94.81
17062020,86.65
18062020,79.9
19062020,73.73
22062020,53.72
23062020,70.33
24062020,81.3
25062020,77.41
26062020,71.99
29062020,73.73
30062020,77.17
01072020,81.07
02072020,80.18
03072020,49.25
06072020,64.41
07072020,85.51
08072020,92.33
09072020,76.84
10072020,69.08
13072020,68.51
14072020,53.68
15072020,62.05
16072020,77.5
17072020,71.6
20072020,63.45
21072020,65.94
22072020,76.8
23072020,72.87
24072020,75.92
27072020,59.15
28072020,73.74
29072020,82.32
30072020,78.27
31072020,70.74
03082020,79.61
04082020,83.12
05082020,68.21
06082020,77.31
07082020,79.76
10082020,88.39
11082020,70.7
12082020,65.32
13082020,64.43
14082020,64.8
17082020,70.14
18082020,73.35
19082020,68.38
20082020,58.35
21082020,56.62
24082020,57.57
25082020,57.92
26082020,53.26
27082020,68.91
28082020,50.1
31082020,71.35
01092020,42.06
02092020,60.21
03092020,67.02
04092020,38.61
07092020,41.25
08092020,54.84
09092020,83.34
10092020,63.23
11092020,69.24
14092020,72.95
15092020,69.15
16092020,84.6
17092020,83.02
18092020,93.02
21092020,89.0
22092020,78.21
23092020,62.41
24092020,65.23
25092020,79.57
28092020,88.84
29092020,100.0
30092020,59.61
01102020,61.33
05102020,91.91
06102020,99.99
07102020,56.38
08102020,62.57
09102020,65.37
12102020,74.93
13102020,81.93
14102020,58.48
15102020,80.43
16102020,72.31
19102020,69.58
20102020,91.04
21102020,49.42
22102020,75.58
23102020,78.85
26102020,64.77
27102020,56.29
28102020,70.29
29102020,59.85
30102020,63.29
02112020,80.24
03112020,55.29
04112020,61.88
05112020,77.42
06112020,55.07
09112020,81.99
10112020,49.55
11112020,60.97
12112020,74.25
13112020,71.8
16112020,80.42
17112020,76.75
18112020,91.39
19112020,35.93
20112020,67.91
23112020,76.64
24112020,66.94
25112020,58.21
26112020,82.26
27112020,57.57
30112020,57.57
01122020,81.67
02122020,72.73
03122020,68.28
04122020,79.89
07122020,69.55
08122020,65.76
09122020,69.52
10122020,75.2
11122020,72.82
14122020,76.54
15122020,68.22
16122020,70.12
17122020,83.04
18122020,70.83
21122020,75.77
22122020,54.13
23122020,61.99
24122020,80.87
25122020,80.87
28122020,64.12
29122020,78.07
30122020,89.48
31122020,75.78
01012021,94.34
04012021,72.66
05012021,58.95
06012021,82.8
07012021,61.88
08012021,50.53
11012021,69.83
12012021,73.65
13012021,55.31
14012021,49.98
15012021,58.8
18012021,83.49
19012021,72.5
20012021,66.34
21012021,70.07
22012021,57.24
25012021,67.26
27012021,59.48
28012021,59.31
29012021,58.77
01022021,66.77
02022021,60.55
03022021,60.89
04022021,71.72
05022021,69.82
08022021,86.94
09022021,74.8
10022021,60.37
11022021,73.39
12022021,61.23
15022021,56.44
16022021,76.21
17022021,67.66
18022021,55.81
19022021,48.45
22022021,59.29
23022021,68.45
24022021,81.59
25022021,60.95
26022021,61.3
01032021,67.33
02032021,75.35
03032021,67.43
04032021,68.22
05032021,68.75
08032021,78.33
09032021,68.83
10032021,90.85
11032021,90.85
12032021,100.0
15032021,43.13
16032021,63.12
17032021,59.05
18032021,66.07
19032021,62.16
22032021,59.82
23032021,64.08
24032021,70.3
25032021,69.65
26032021,54.02
29032021,54.02
30032021,66.82
31032021,74.19
01042021,65.19
02042021,65.19
05042021,61.13
06042021,72.13
07042021,84.13
08042021,67.69
09042021,72.03
12042021,50.85
13042021,50.82
14042021,50.82
15042021,62.41
16042021,58.27
19042021,64.13
20042021,44.23
21042021,44.23
22042021,48.49
23042021,47.56
26042021,50.91
27042021,46.08
28042021,48.93
29042021,55.95
30042021,48.26
03052021,48.06
04052021,62.72
05052021,39.48
06052021,58.89
07052021,58.68
10052021,37.35
11052021,50.56
