Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,44.85,83.48,82.6,86.6,82.6,85.61,2.55
02012025,53.34,85.61,84.95,90.48,84.95,89.9,5.01
03012025,30.93,89.9,90.35,93.1,88.61,89.19,-0.79
06012025,49.24,89.19,89.89,90.78,83.76,84.23,-5.56
07012025,42.17,84.23,85.5,87.89,84.4,87.22,3.55
08012025,43.2,87.22,88.1,89.4,85.7,86.29,-1.07
09012025,49.04,86.29,86.03,88.01,84.0,84.64,-1.91
10012025,55.92,84.64,84.0,84.08,81.0,81.44,-3.78
13012025,53.58,81.44,80.01,81.49,76.22,77.09,-5.34
14012025,36.04,77.09,78.25,80.95,76.61,80.29,4.15
15012025,50.72,80.29,80.55,81.48,80.0,80.14,-0.19
16012025,54.42,80.14,81.32,83.18,80.76,81.18,1.3
17012025,44.94,81.18,80.41,81.88,80.1,81.09,-0.11
20012025,63.94,81.09,81.89,82.99,80.6,81.12,0.04
21012025,47.81,81.12,81.76,82.09,80.1,80.42,-0.86
22012025,57.78,80.42,80.26,80.49,75.92,77.98,-3.03
23012025,50.83,77.98,78.0,79.36,77.87,78.74,0.97
24012025,47.14,78.74,79.01,79.05,77.12,77.73,-1.28
27012025,58.08,77.73,77.6,77.77,74.0,74.64,-3.98
28012025,44.0,74.64,75.75,75.75,72.0,73.26,-1.85
29012025,43.28,73.26,73.98,76.69,73.9,75.77,3.43
30012025,45.56,75.77,76.4,79.0,75.57,78.0,2.94
31012025,48.3,78.0,76.51,79.5,76.51,79.08,1.38
03022025,54.6,79.49,79.05,80.8,77.26,78.65,-1.06
04022025,59.29,78.65,79.75,81.84,78.35,79.73,1.37
05022025,59.63,79.73,79.01,81.5,79.01,80.23,0.63
06022025,50.64,80.23,80.9,81.85,79.0,80.78,0.69
07022025,42.89,80.78,80.9,82.08,79.17,80.26,-0.64
10022025,47.77,80.26,78.85,79.89,78.11,78.55,-2.13
11022025,64.32,78.55,78.18,78.27,75.02,75.41,-4.0
12022025,48.74,75.41,75.65,75.73,71.51,73.71,-2.25
13022025,44.25,73.71,74.75,75.75,73.21,74.16,0.61
14022025,57.42,74.16,72.51,74.51,69.77,71.36,-3.78
17022025,57.79,71.36,69.81,70.66,68.06,68.72,-3.7
18022025,59.55,68.72,68.4,69.05,61.2,63.2,-8.03
19022025,50.5,63.2,63.97,66.86,61.9,65.04,2.91
20022025,61.51,65.04,65.95,68.49,65.45,67.98,4.52
21022025,56.06,67.98,68.0,71.15,67.8,68.49,0.75
24022025,66.1,68.49,68.49,70.0,66.04,67.01,-2.16
25022025,68.99,67.01,67.0,70.2,67.0,69.71,4.03
27022025,58.79,69.71,70.0,70.16,68.0,69.41,-0.43
28022025,57.96,69.41,68.25,69.87,65.0,66.88,-3.65
03032025,50.41,66.88,66.88,67.76,64.6,65.84,-1.56
04032025,53.53,65.84,66.35,68.24,64.9,65.85,0.02
05032025,62.23,65.85,65.85,70.0,65.85,69.62,5.73
06032025,61.79,69.62,70.0,72.9,69.68,72.06,3.5
