Date,DelPerc
01102019,99.97
03102019,98.07
04102019,92.15
07102019,90.78
08102019,90.78
09102019,86.88
10102019,99.35
11102019,93.77
14102019,99.45
15102019,79.21
16102019,72.81
17102019,80.94
18102019,95.68
21102019,95.68
22102019,89.54
23102019,87.5
24102019,99.8
25102019,99.44
28102019,92.63
29102019,100.0
30102019,99.39
31102019,99.83
01112019,96.11
04112019,81.27
05112019,99.47
06112019,90.0
07112019,92.22
08112019,100.0
11112019,94.07
12112019,94.07
13112019,90.99
14112019,98.06
15112019,97.03
18112019,89.62
19112019,92.71
20112019,45.41
21112019,99.79
22112019,78.7
25112019,100.0
26112019,96.36
27112019,99.25
28112019,98.28
29112019,82.74
02122019,99.79
03122019,86.21
04122019,100.0
05122019,96.47
06122019,41.16
09122019,100.0
10122019,100.0
11122019,99.34
12122019,99.67
13122019,74.29
16122019,85.78
17122019,84.6
18122019,48.5
19122019,81.11
20122019,53.45
23122019,100.0
24122019,94.3
25122019,94.3
26122019,71.86
27122019,97.04
30122019,60.15
31122019,87.43
01012020,99.47
02012020,54.64
03012020,82.15
06012020,95.93
07012020,71.43
08012020,96.15
09012020,85.91
10012020,100.0
13012020,88.64
14012020,99.7
15012020,55.05
16012020,98.37
17012020,59.15
20012020,100.0
21012020,92.83
22012020,91.36
23012020,81.49
24012020,98.4
27012020,62.94
28012020,73.66
29012020,95.0
30012020,62.46
31012020,97.04
03022020,95.81
04022020,98.68
05022020,100.0
06022020,75.69
07022020,82.52
10022020,58.87
11022020,84.74
12022020,73.02
13022020,75.99
14022020,81.96
17022020,53.79
18022020,70.68
19022020,68.03
20022020,77.05
21022020,77.05
24022020,88.21
25022020,57.94
26022020,91.19
27022020,84.44
28022020,36.42
02032020,50.61
03032020,68.95
04032020,55.81
05032020,78.59
06032020,56.52
09032020,94.76
10032020,94.76
11032020,85.48
12032020,78.72
13032020,63.65
16032020,71.84
17032020,48.38
18032020,51.31
19032020,59.07
20032020,57.68
23032020,84.64
24032020,74.63
25032020,100.0
27052020,93.69
28052020,88.62
29052020,82.17
01062020,72.45
02062020,97.73
03062020,12.13
04062020,81.05
05062020,98.35
08062020,69.03
09062020,64.39
10062020,68.38
11062020,76.67
12062020,86.65
15062020,81.11
16062020,78.21
17062020,96.35
18062020,54.73
19062020,100.0
22062020,52.52
23062020,79.28
24062020,91.76
25062020,70.04
26062020,66.21
29062020,98.0
30062020,41.74
01072020,100.0
02072020,77.61
03072020,97.17
06072020,77.51
07072020,64.48
08072020,75.66
09072020,77.0
10072020,89.39
13072020,76.72
14072020,69.95
15072020,91.95
16072020,57.83
17072020,50.05
20072020,36.6
21072020,81.53
22072020,78.71
23072020,80.55
24072020,95.97
27072020,57.79
28072020,70.38
29072020,58.15
30072020,69.07
31072020,77.6
03082020,65.25
04082020,49.57
05082020,76.67
06082020,59.88
07082020,80.1
10082020,53.16
11082020,76.64
12082020,61.01
13082020,63.14
14082020,53.47
17082020,69.86
18082020,98.91
19082020,71.98
20082020,58.1
21082020,39.04
24082020,74.54
25082020,94.38
26082020,39.69
27082020,59.43
28082020,75.47
31082020,31.43
01092020,68.12
02092020,78.68
03092020,85.45
04092020,86.52
07092020,82.17
08092020,62.79
09092020,77.5
10092020,62.25
11092020,93.52
14092020,100.0
15092020,100.0
16092020,64.9
17092020,51.82
18092020,100.0
21092020,75.78
22092020,73.22
23092020,97.3
24092020,50.49
25092020,61.89
28092020,98.9
29092020,63.33
30092020,51.51
01102020,26.92
05102020,65.21
06102020,69.35
07102020,51.47
08102020,79.22
09102020,73.53
12102020,94.16
13102020,60.18
14102020,3.7
15102020,61.52
16102020,95.19
19102020,91.28
20102020,7.88
21102020,98.82
22102020,95.9
23102020,29.76
26102020,2.29
27102020,60.0
28102020,3.2
29102020,81.17
30102020,100.0
02112020,89.97
03112020,85.6
04112020,72.73
05112020,9.08
06112020,57.32
09112020,68.66
10112020,78.85
11112020,96.18
12112020,8.93
13112020,48.32
16112020,74.66
17112020,71.31
18112020,65.84
19112020,72.84
20112020,65.26
23112020,100.0
24112020,92.84
25112020,68.33
26112020,67.68
27112020,62.23
30112020,62.23
01122020,66.99
02122020,57.8
03122020,45.02
02022021,100.0
03022021,86.14
04022021,89.91
05022021,98.55
08022021,82.92
09022021,73.94
10022021,94.8
11022021,54.2
12022021,88.18
15022021,100.0
16022021,100.0
17022021,61.98
18022021,59.11
19022021,48.11
22022021,87.15
23022021,57.72
24022021,81.73
27042021,82.16
28042021,89.92
29042021,67.2
30042021,67.81
03052021,45.11
04052021,54.51
05052021,69.94
06052021,74.5
07052021,75.82
10052021,65.81
11052021,59.28
12052021,75.04
13052021,75.04
14052021,67.18
17052021,37.52
18052021,82.56
19052021,63.26
20052021,62.7
21052021,75.48
24052021,84.4
25052021,65.78
26052021,80.23
27052021,57.34
28052021,85.1
31052021,95.21
01062021,83.8
02062021,89.25
03062021,83.47
04062021,82.87
07062021,66.41
08062021,69.31
09062021,63.89
10062021,56.79
11062021,72.89
14062021,66.54
15062021,67.61
16062021,62.52
17062021,80.78
18062021,68.99
21062021,66.92
22062021,69.31
23062021,94.71
24062021,98.47
25062021,96.86
28062021,64.92
29062021,65.86
30062021,85.64
01072021,75.67
02072021,74.37
05072021,85.29
06072021,75.76
07072021,72.07
08072021,70.94
09072021,64.97
12072021,81.1
13072021,94.54
14072021,100.0
15072021,81.99
16072021,53.37
19072021,85.94
20072021,76.97
21072021,76.97
22072021,70.55
23072021,78.15
26072021,82.95
27072021,94.16
28072021,73.01
29072021,93.57
30072021,91.22
02082021,57.94
03082021,60.67
04082021,61.44
05082021,69.13
06082021,56.44
09082021,61.86
10082021,66.38
11082021,98.72
12082021,99.15
13082021,98.42
16082021,80.29
17082021,56.89
18082021,31.81
19082021,31.81
20082021,52.42
23082021,93.62
24082021,60.93
25082021,88.68
26082021,59.58
27082021,69.71
30082021,75.93
31082021,61.57
01092021,29.47
02092021,35.98
03092021,37.39
06092021,49.56
07092021,67.04
08092021,91.24
09092021,74.68
10092021,74.68
13092021,85.26
14092021,74.86
15092021,85.85
16092021,87.59
17092021,91.62
20092021,51.56
21092021,81.36
22092021,77.24
23092021,26.32
24092021,16.03
27092021,75.59
28092021,18.94
29092021,54.38
30092021,72.29
01102021,23.22
04102021,29.38
05102021,21.69
06102021,59.47
07102021,57.09
08102021,47.36
11102021,28.21
12102021,31.93
13102021,81.05
14102021,22.82
15102021,22.82
18102021,74.89
19102021,84.46
20102021,83.13
21102021,80.1
22102021,79.88
25102021,69.74
26102021,38.64
27102021,37.33
28102021,31.05
29102021,69.24
01112021,58.93
02112021,32.71
03112021,62.67
04112021,62.67
05112021,73.5
08112021,72.84
09112021,36.74
10112021,66.07
11112021,55.0
12112021,65.73
15112021,91.48
16112021,83.27
17112021,74.81
18112021,21.83
19112021,21.83
22112021,63.72
23112021,35.67
24112021,87.77
25112021,73.14
26112021,49.92
29112021,40.1
30112021,83.14
01122021,56.81
02122021,52.64
03122021,46.59
06122021,85.46
07122021,88.67
08122021,87.37
09122021,54.28
10122021,82.11
13122021,70.71
14122021,55.11
15122021,79.01
16122021,61.88
17122021,45.18
20122021,71.17
21122021,87.82
22122021,73.23
23122021,78.13
24122021,74.06
27122021,86.18
28122021,80.91
29122021,79.49
30122021,74.17
31122021,91.57
03012022,58.64
04012022,92.7
05012022,88.97
06012022,84.75
07012022,76.11
10012022,52.49
11012022,79.21
12012022,79.17
13012022,81.69
14012022,61.03
17012022,72.05
18012022,72.74
19012022,73.7
20012022,50.61
21012022,71.36
24012022,68.79
25012022,52.66
27012022,81.65
28012022,81.02
31012022,50.0
01022022,53.02
02022022,72.32
03022022,60.72
04022022,88.82
07022022,60.44
08022022,51.66
09022022,82.34
10022022,48.47
11022022,38.4
14022022,36.05
15022022,59.34
16022022,23.31
17022022,21.47
18022022,19.57
21022022,27.99
22022022,46.41
23022022,47.25
24022022,55.18
25022022,76.29
28022022,62.1
01032022,62.1
02032022,42.21
03032022,49.34
04032022,52.72
07032022,56.08
08032022,45.39
09032022,79.19
10032022,61.05
11032022,60.71
14032022,69.78
15032022,58.08
16032022,54.64
17032022,70.8
18032022,70.8
21032022,50.79
22032022,76.63
23032022,70.88
24032022,52.73
25032022,56.84
28032022,69.14
29032022,75.54
30032022,42.5
31032022,51.53
01042022,78.9
04042022,67.72
05042022,60.81
06042022,73.28
07042022,53.53
08042022,51.81
11042022,52.36
12042022,43.87
13042022,66.01
14042022,66.01
15042022,66.01
18042022,68.89
19042022,59.72
20042022,49.69
21042022,59.11
22042022,72.42
25042022,54.9
26042022,58.37
27042022,69.13
28042022,35.62
29042022,50.86
02052022,52.95
03052022,52.95
04052022,44.13
05052022,50.37
06052022,57.52
09052022,41.47
10052022,35.06
11052022,72.14
12052022,69.8
13052022,41.98
16052022,66.1
17052022,53.27
18052022,80.11
19052022,44.58
20052022,55.21
23052022,69.86
24052022,59.91
25052022,60.36
26052022,51.76
27052022,62.43
30052022,74.75
31052022,52.16
01062022,45.52
02062022,58.62
03062022,54.18
06062022,70.64
07062022,57.63
08062022,44.25
09062022,55.76
10062022,58.43
13062022,78.16
14062022,63.88
15062022,68.14
16062022,44.25
17062022,59.7
20062022,60.03
21062022,63.17
22062022,39.34
23062022,51.67
24062022,56.92
27062022,54.84
28062022,36.93
29062022,51.19
30062022,55.14
01072022,64.64
04072022,74.72
05072022,56.02
06072022,71.53
07072022,77.93
08072022,70.53
11072022,59.27
12072022,33.28
13072022,42.09
14072022,51.91
15072022,73.82
18072022,46.06
19072022,71.12
20072022,75.4
21072022,67.05
22072022,53.39
25072022,50.96
26072022,62.11
27072022,61.21
28072022,49.46
29072022,52.74
01082022,58.85
02082022,58.57
03082022,66.91
04082022,52.78
05082022,49.42
10082022,72.6
11082022,74.44
12082022,80.73
16082022,66.88
17082022,74.15
18082022,75.02
19082022,59.09
22082022,63.57
23082022,60.2
24082022,71.26
25082022,69.19
26082022,61.09
29082022,80.71
30082022,65.19
31082022,65.19
01092022,55.3
02092022,62.35
05092022,74.35
06092022,68.78
07092022,65.0
08092022,68.54
09092022,57.27
12092022,74.45
13092022,68.72
14092022,74.91
15092022,63.39
16092022,71.09
19092022,75.3
20092022,49.19
21092022,64.89
22092022,72.37
23092022,70.93
26092022,64.0
27092022,77.09
28092022,62.78
29092022,76.62
30092022,80.59
03102022,48.23
04102022,69.3
05102022,69.3
06102022,73.55
07102022,32.96
10102022,79.19
11102022,53.93
12102022,58.54
13102022,52.29
14102022,70.17
17102022,54.25
18102022,48.94
19102022,65.46
20102022,79.61
21102022,63.72
24102022,88.11
25102022,63.78
26102022,63.78
27102022,72.19
28102022,70.69
31102022,70.92
01112022,83.9
02112022,77.31
03112022,75.61
04112022,73.23
07112022,82.82
08112022,82.82
09112022,43.08
10112022,68.59
11112022,67.45
14112022,76.91
15112022,62.62
16112022,72.74
17112022,81.61
18112022,64.76
21112022,72.07
22112022,65.4
23112022,70.69
24112022,65.43
25112022,69.85
28112022,61.62
29112022,62.66
30112022,78.27
01122022,77.29
02122022,82.93
05122022,69.24
06122022,68.89
07122022,85.12
08122022,43.59
09122022,58.86
12122022,81.21
13122022,64.52
14122022,72.56
15122022,83.84
16122022,76.07
19122022,89.84
20122022,90.54
21122022,81.63
22122022,55.99
23122022,50.97
26122022,29.89
27122022,49.44
28122022,81.03
29122022,51.19
30122022,49.12
02012023,65.8
03012023,67.87
04012023,69.19
05012023,32.53
06012023,58.31
09012023,68.16
10012023,75.08
11012023,63.63
12012023,64.82
13012023,56.19
16012023,50.15
17012023,73.01
18012023,65.65
19012023,80.18
20012023,41.58
23012023,64.62
24012023,75.28
25012023,74.87
27012023,60.13
30012023,53.55
31012023,71.13
01022023,56.35
02022023,65.42
03022023,73.34
06022023,66.22
07022023,28.06
08022023,69.29
09022023,42.04
10022023,67.63
13022023,79.95
14022023,50.22
15022023,75.98
16022023,74.49
17022023,63.75
20022023,66.98
21022023,72.4
22022023,90.76
23022023,83.57
24022023,76.22
27022023,52.68
28022023,72.38
01032023,79.5
02032023,64.88
03032023,50.76
06032023,55.95
07032023,55.95
08032023,73.54
09032023,43.83
10032023,69.01
13032023,73.04
14032023,73.71
15032023,64.77
16032023,78.48
17032023,75.9
20032023,59.65
21032023,53.78
22032023,80.58
23032023,74.87
24032023,78.38
27032023,68.57
28032023,60.35
29032023,77.45
30032023,77.45
31032023,46.02
03042023,61.93
04042023,61.93
05042023,76.88
06042023,72.1
07042023,72.1
10042023,73.08
11042023,61.36
12042023,54.56
13042023,88.67
14042023,88.67
17042023,66.53
18042023,85.37
19042023,69.01
20042023,63.87
21042023,78.18
24042023,76.03
25042023,69.45
26042023,64.21
27042023,69.37
28042023,52.83
01052023,52.83
02052023,37.25
03052023,46.81
04052023,53.66
05052023,74.66
08052023,70.13
09052023,67.33
10052023,32.94
11052023,56.5
12052023,39.6
15052023,56.14
16052023,29.62
17052023,44.86
18052023,49.77
19052023,57.49
22052023,77.48
16082023,79.24
17082023,74.58
18082023,71.21
21082023,76.16
22082023,83.47
23082023,61.35
24082023,79.47
25082023,73.88
28082023,52.98
29082023,61.3
30082023,68.15
31082023,72.71
01092023,62.9
04092023,70.99
05092023,59.55
06092023,64.15
07092023,60.43
08092023,78.51
11092023,71.22
12092023,61.28
13092023,69.09
14092023,48.45
15092023,50.04
18092023,70.96
19092023,70.96
20092023,65.31
21092023,78.1
22092023,67.35
25092023,60.54
26092023,77.89
27092023,71.4
28092023,86.59
29092023,83.39
03102023,67.22
