Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,56.35,96.56,98.8,98.8,95.87,96.46,-0.1
02012025,49.4,96.46,99.76,99.76,97.15,97.6,1.18
03012025,52.91,97.6,99.0,99.56,97.0,97.39,-0.22
06012025,78.15,97.39,96.2,97.93,95.0,95.21,-2.24
07012025,42.44,95.21,97.29,97.87,95.0,95.63,0.44
08012025,64.88,95.63,96.8,96.8,95.05,95.94,0.32
09012025,73.31,95.94,97.98,97.98,94.55,95.19,-0.78
10012025,68.84,95.19,96.5,96.5,91.95,92.29,-3.05
13012025,75.07,92.29,92.3,93.04,85.56,87.09,-5.63
14012025,60.77,87.09,92.9,92.9,88.0,89.38,2.63
15012025,56.65,89.38,89.38,90.21,88.0,89.03,-0.39
16012025,59.2,89.03,89.0,93.34,89.0,91.73,3.03
17012025,70.0,91.73,92.76,95.78,92.48,94.68,3.22
20012025,34.18,94.68,94.8,96.8,92.1,93.9,-0.82
21012025,66.35,93.9,93.89,95.1,93.12,93.77,-0.14
22012025,68.52,93.77,93.53,93.91,89.02,90.52,-3.47
23012025,71.91,90.52,92.18,92.31,89.9,91.35,0.92
24012025,77.63,91.35,93.21,93.23,89.99,90.62,-0.8
27012025,75.1,90.62,90.0,90.74,88.0,89.75,-0.96
28012025,67.85,89.75,93.99,93.99,88.01,90.05,0.33
29012025,62.94,90.05,92.07,92.88,90.0,90.23,0.2
30012025,70.07,90.23,92.53,92.53,88.0,89.05,-1.31
31012025,80.37,89.05,91.45,91.93,89.06,89.07,0.02
03022025,59.0,91.95,94.8,94.8,89.0,90.32,-1.77
04022025,84.82,90.32,91.97,92.79,89.0,90.78,0.51
05022025,65.81,90.78,92.61,92.9,90.17,92.72,2.14
06022025,77.13,92.72,90.55,93.72,90.5,91.35,-1.48
07022025,61.81,91.35,91.72,92.79,90.35,91.9,0.6
10022025,59.46,91.9,93.6,93.6,88.99,91.58,-0.35
11022025,73.38,91.58,90.44,92.16,88.0,88.41,-3.46
12022025,60.58,88.41,88.41,89.05,85.5,85.54,-3.25
13022025,79.93,85.54,92.65,92.65,84.02,88.08,2.97
14022025,68.24,88.08,91.95,91.95,85.5,85.97,-2.4
17022025,61.34,85.97,87.0,89.3,78.0,80.49,-6.37
18022025,72.02,80.49,84.0,84.0,79.51,80.55,0.07
19022025,78.69,80.55,80.55,82.09,77.1,81.92,1.7
20022025,81.44,81.92,82.47,84.0,81.02,83.55,1.99
21022025,77.08,83.55,84.8,86.8,83.5,84.54,1.18
24022025,80.79,84.54,84.5,84.72,82.51,82.61,-2.28
25022025,69.26,82.61,83.82,84.8,81.0,81.22,-1.68
27022025,75.92,81.22,83.18,83.18,76.1,78.07,-3.88
28022025,65.04,78.07,80.32,80.33,73.8,76.05,-2.59
03032025,50.63,76.05,75.1,80.0,72.41,76.99,1.24
04032025,93.72,76.99,76.99,83.53,75.4,82.41,7.04
05032025,84.01,82.41,82.97,83.8,81.37,82.61,0.24
06032025,61.3,82.61,83.8,88.8,81.5,84.26,2.0
07032025,52.71,84.26,84.26,88.79,82.67,83.08,-1.4
10032025,45.71,83.08,80.7,82.74,79.0,80.3,-3.35
11032025,79.84,80.3,80.4,81.88,80.03,81.39,1.36
12032025,92.95,81.39,81.48,81.48,80.25,80.74,-0.8
13032025,39.72,80.74,81.26,81.26,77.37,78.27,-3.06
17032025,65.28,78.27,81.49,81.49,77.0,77.37,-1.15
18032025,82.27,77.37,78.4,83.7,78.01,82.35,6.44
19032025,33.79,82.35,83.88,86.79,82.4,83.18,1.01
20032025,60.44,83.18,84.04,84.55,83.0,83.8,0.75
21032025,71.6,83.8,83.51,84.46,82.27,84.14,0.41
24032025,56.66,84.14,84.5,84.55,77.35,81.42,-3.23
25032025,76.25,81.42,80.0,82.19,78.41,79.44,-2.43
26032025,69.42,79.44,79.96,79.99,76.65,77.03,-3.03
27032025,71.15,77.03,78.73,78.76,76.1,77.56,0.69
28032025,66.21,77.56,77.7,78.29,74.0,74.34,-4.15
01042025,58.08,74.34,74.09,76.78,73.5,75.04,0.94
02042025,50.75,75.04,75.6,80.8,75.51,79.08,5.38
03042025,74.62,79.08,78.98,80.85,78.8,79.2,0.15
04042025,39.04,79.2,78.61,80.5,77.32,79.2,0.0
07042025,46.51,79.2,64.3,77.9,64.3,73.86,-6.74
08042025,81.48,73.86,74.0,77.35,74.0,76.04,2.95
09042025,47.69,76.04,76.04,78.45,75.01,77.41,1.8
11042025,85.29,77.41,79.39,79.39,76.8,77.49,0.1
15042025,75.94,77.49,79.5,79.5,77.49,77.77,0.36
16042025,74.41,77.77,78.4,81.5,77.71,81.02,4.18
17042025,78.27,81.02,81.8,82.79,80.42,81.48,0.57
21042025,62.13,81.48,82.99,83.39,82.05,82.65,1.44
22042025,80.74,82.65,82.0,83.6,81.1,82.19,-0.56
23042025,63.18,82.19,83.79,83.8,81.2,82.19,0.0
24042025,64.66,82.19,82.0,82.72,78.81,80.13,-2.51
25042025,67.05,80.13,80.83,81.45,78.15,78.45,-2.1
28042025,82.79,78.45,79.0,79.99,78.95,79.31,1.1
29042025,66.73,79.31,78.95,84.8,78.95,83.13,4.82
30042025,86.39,83.13,83.98,84.4,80.85,83.3,0.2
02052025,65.59,83.3,90.0,99.96,90.0,99.96,20.0
05052025,22.94,99.96,109.99,111.99,102.42,103.08,3.12
06052025,50.35,103.08,103.0,103.0,93.89,95.23,-7.62
07052025,43.9,95.23,94.4,103.0,89.63,98.68,3.62
08052025,23.29,98.68,98.67,104.9,93.01,94.42,-4.32
09052025,46.81,94.42,92.5,94.8,86.2,88.76,-5.99
12052025,41.91,88.76,90.0,96.47,90.0,95.87,8.01
13052025,54.02,95.87,93.99,93.99,90.2,92.3,-3.72
14052025,55.21,92.3,94.7,94.7,90.2,92.14,-0.17
15052025,47.88,92.14,92.06,96.8,92.06,94.54,2.6
16052025,51.79,94.54,95.0,97.0,94.29,95.63,1.15
19052025,44.0,95.63,96.8,98.06,94.38,95.26,-0.39
20052025,64.42,95.26,95.69,96.59,94.1,94.29,-1.02
21052025,35.08,94.29,95.0,96.3,92.5,94.44,0.16
22052025,43.73,94.44,95.25,96.7,91.21,93.03,-1.49
23052025,56.84,93.03,93.34,94.67,92.03,93.15,0.13
26052025,66.42,93.15,93.15,95.16,93.0,94.23,1.16
27052025,60.08,94.23,95.5,95.5,91.5,93.69,-0.57
28052025,69.24,93.69,95.69,97.0,94.01,95.98,2.44
29052025,59.14,95.98,98.8,101.45,97.15,98.22,2.33
30052025,47.06,98.22,100.88,101.09,96.46,97.96,-0.26
02062025,56.87,97.96,98.0,98.49,96.21,97.21,-0.77
03062025,61.17,97.21,98.5,98.5,96.0,96.22,-1.02
04062025,63.02,96.22,94.41,97.94,94.41,96.22,0.0
05062025,47.88,96.22,95.34,97.1,95.34,96.79,0.59
06062025,48.33,96.79,96.79,98.0,96.5,96.56,-0.24
09062025,57.05,96.56,96.0,96.93,93.32,94.56,-2.07
10062025,52.8,94.56,94.57,97.0,94.57,96.26,1.8
11062025,40.99,96.26,97.99,97.99,95.2,95.49,-0.8
12062025,66.05,95.49,95.1,96.79,94.54,95.48,-0.01
