Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,27.93,1158.95,1155.0,1181.9,1147.0,1172.3,1.15
02012025,63.69,1172.3,1166.0,1166.75,1143.0,1144.7,-2.35
03012025,59.02,1144.7,1145.2,1150.45,1133.3,1138.95,-0.5
06012025,55.53,1138.95,1143.95,1144.0,1091.65,1107.2,-2.79
07012025,65.12,1107.2,1110.1,1124.6,1077.35,1083.7,-2.12
08012025,70.03,1083.7,1088.65,1088.65,1057.8,1060.7,-2.12
09012025,53.98,1060.7,1060.7,1086.0,1060.7,1082.15,2.02
10012025,67.79,1082.15,1089.65,1094.45,1061.1,1071.25,-1.01
13012025,79.69,1071.25,1055.0,1059.95,1015.8,1020.3,-4.76
14012025,70.12,1020.3,1020.3,1043.05,1020.3,1032.65,1.21
15012025,84.82,1032.65,1039.0,1059.25,1022.05,1046.15,1.31
16012025,53.93,1046.15,1055.0,1082.3,1055.0,1062.65,1.58
17012025,34.07,1062.65,1068.0,1070.0,1050.1,1054.75,-0.74
20012025,42.95,1054.75,1060.0,1062.45,1046.9,1055.8,0.1
21012025,67.18,1055.8,1051.5,1076.45,1036.0,1043.7,-1.15
22012025,90.76,1043.7,1045.0,1048.9,1019.0,1031.65,-1.15
23012025,45.0,1031.65,1036.85,1053.0,1021.0,1046.3,1.42
24012025,56.01,1046.3,1051.55,1051.55,1030.25,1039.7,-0.63
27012025,47.4,1039.7,1020.05,1032.3,992.6,1007.7,-3.08
28012025,52.44,1007.7,1007.7,1007.7,979.0,989.3,-1.83
29012025,62.09,989.3,985.35,1018.3,983.15,1000.65,1.15
30012025,48.73,1000.65,1002.0,1014.8,990.0,995.15,-0.55
31012025,46.41,995.15,1006.65,1006.65,987.0,991.4,-0.38
03022025,60.31,993.35,997.9,998.55,973.1,983.45,-1.0
04022025,40.83,983.45,986.3,994.85,955.5,959.85,-2.4
05022025,60.44,959.85,960.1,1004.2,948.0,979.95,2.09
06022025,36.75,979.95,989.65,989.65,954.4,973.2,-0.69
07022025,54.12,973.2,980.0,983.6,961.85,969.0,-0.43
10022025,79.48,969.0,965.05,969.0,952.0,958.55,-1.08
11022025,54.78,958.55,954.8,959.65,936.0,939.3,-2.01
12022025,46.1,939.3,944.0,944.05,907.05,921.5,-1.9
13022025,67.02,921.5,916.75,937.95,916.75,929.75,0.9
14022025,76.69,929.75,935.55,936.15,890.05,911.15,-2.0
17022025,51.76,911.15,906.6,921.6,878.2,890.35,-2.28
18022025,55.3,890.35,894.85,894.85,864.8,870.8,-2.2
19022025,59.94,870.8,870.4,884.0,862.15,880.75,1.14
20022025,69.6,880.75,884.4,884.4,862.75,873.15,-0.86
21022025,50.46,873.15,877.35,907.25,857.0,881.35,0.94
24022025,57.54,881.35,881.0,881.35,856.1,862.8,-2.1
25022025,40.01,862.8,867.15,881.0,852.5,874.3,1.33
27022025,55.64,874.3,884.95,884.95,864.1,874.75,0.05
28022025,52.48,874.75,865.0,866.85,846.5,852.3,-2.57
03032025,46.84,852.3,860.0,865.35,831.1,859.0,0.79
04032025,50.66,859.0,854.05,869.3,836.4,865.7,0.78
05032025,67.04,865.7,850.0,879.7,850.0,874.2,0.98
06032025,46.12,874.2,880.0,897.45,874.2,886.0,1.35
07032025,51.24,886.0,886.85,897.65,872.0,876.55,-1.07
10032025,54.03,876.55,880.0,886.55,861.1,878.05,0.17
11032025,53.65,878.05,877.3,887.8,856.5,885.15,0.81
12032025,64.21,885.15,885.15,888.2,870.1,874.55,-1.2
13032025,65.95,874.55,874.95,880.2,855.0,860.1,-1.65
17032025,58.17,860.1,864.4,876.25,851.15,870.2,1.17
18032025,45.3,870.2,874.6,900.1,863.95,885.2,1.72
19032025,61.6,885.2,886.15,909.0,886.0,903.8,2.1
20032025,60.06,903.8,909.65,915.0,882.35,891.95,-1.31
21032025,65.02,891.95,892.95,894.95,880.95,885.05,-0.77
24032025,63.18,885.05,895.0,912.6,879.2,890.25,0.59
25032025,61.36,890.25,900.0,905.95,885.0,890.6,0.04
26032025,63.77,890.6,893.0,896.0,882.1,890.35,-0.03
27032025,66.64,890.35,890.95,894.0,876.3,878.65,-1.31
28032025,73.51,878.65,877.2,890.45,854.0,858.9,-2.25
