Date,DelPerc
22022024,72.11
23022024,90.56
26022024,57.26
27022024,61.74
28022024,56.35
29022024,29.7
01032024,69.05
04032024,67.57
05032024,57.33
06032024,57.52
07032024,51.03
08032024,51.03
11032024,63.88
12032024,58.25
13032024,65.3
14032024,62.57
15032024,68.33
18032024,67.11
19032024,74.78
20032024,63.92
21032024,66.13
22032024,24.36
25032024,24.36
26032024,77.25
27032024,81.24
28032024,71.87
29032024,71.87
01042024,69.29
02042024,64.74
03042024,51.13
04042024,51.97
05042024,50.28
08042024,68.4
09042024,43.47
10042024,61.57
11042024,61.57
12042024,74.51
15042024,59.63
16042024,82.98
17042024,82.98
18042024,55.36
19042024,75.07
22042024,75.28
23042024,57.45
24042024,67.69
25042024,59.51
26042024,63.07
29042024,56.02
30042024,82.45
01052024,82.45
02052024,54.96
03052024,68.12
06052024,69.9
07052024,69.8
08052024,51.8
09052024,72.93
10052024,57.22
13052024,46.48
14052024,52.16
15052024,74.18
16052024,57.95
17052024,55.4
20052024,82.19
21052024,61.11
22052024,52.55
23052024,66.57
24052024,59.06
27052024,42.99
28052024,57.95
29052024,51.99
30052024,50.14
31052024,62.89
03062024,55.06
04062024,57.82
05062024,70.73
06062024,66.09
07062024,46.17
10062024,75.23
11062024,79.0
12062024,67.59
13062024,71.67
14062024,68.7
17062024,68.7
18062024,62.42
19062024,47.15
20062024,36.21
21062024,42.06
24062024,41.48
08102024,89.74
09102024,72.49
10102024,72.33
11102024,77.78
14102024,77.35
15102024,81.68
16102024,84.54
17102024,68.27
18102024,80.33
21102024,59.66
22102024,78.4
23102024,59.36
24102024,74.0
25102024,64.01
28102024,81.54
29102024,68.32
30102024,76.5
31102024,72.11
01112024,86.19
04112024,47.8
05112024,70.67
06112024,53.12
07112024,76.05
08112024,61.1
11112024,80.97
12112024,84.78
13112024,97.99
14112024,100.0
18112024,100.0
19112024,33.8
20112024,33.8
21112024,84.39
22112024,100.0
25112024,46.53
26112024,53.97
27112024,54.61
31122024,73.59
01012025,64.23
02012025,88.21
03012025,82.95
06012025,44.86
07012025,72.39
08012025,65.52
09012025,91.83
05052025,56.7
06052025,78.52
07052025,56.42
08052025,61.12
09052025,52.66
12052025,61.45
13052025,60.03
14052025,57.1
17062025,66.31
18062025,52.87
19062025,74.06
20062025,66.8
23062025,61.46
24062025,46.58
25062025,53.21
26062025,68.0
27062025,66.51
30062025,68.53
01072025,57.56
02072025,53.95
03072025,55.26
04072025,63.96
07072025,50.51
08072025,56.02
09072025,53.72
10072025,71.33
11072025,63.46
14072025,45.32
15072025,62.56
16072025,64.4
17072025,56.92
18072025,56.85
21072025,70.05
22072025,80.67
23072025,54.86
24072025,62.13
25072025,63.03
28072025,35.8
29072025,62.71
30072025,75.79
31072025,66.76
01082025,65.85
04082025,77.08
05082025,62.68
06082025,49.6
07082025,73.42
08082025,43.08
11082025,71.49
12082025,45.8
13082025,62.57
14082025,62.57
18082025,63.44
19082025,84.12
20082025,73.63
21082025,57.62
22082025,78.03
25082025,29.39
26082025,47.58
28082025,76.98
29082025,47.71
01092025,73.55
02092025,73.62
03092025,83.04
04092025,74.39
05092025,71.74
08092025,64.46
09092025,76.02
10092025,81.49
11092025,65.33
12092025,78.92
15092025,61.76
16092025,70.13
17092025,72.52
18092025,58.75
19092025,68.15
22092025,80.77
23092025,78.74
24092025,76.65
25092025,65.76
26092025,88.88
29092025,74.21
30092025,85.34
01102025,84.57
03102025,82.14
06102025,58.11
07102025,83.72
08102025,29.19
09102025,44.14
10102025,63.4
13102025,57.39
14102025,68.01
15102025,63.12
16102025,65.03
17102025,66.63
20102025,57.17
21102025,81.19
22102025,81.19
23102025,80.11
24102025,64.84
27102025,63.44
28102025,87.16
29102025,85.2
30102025,46.26
31102025,65.02
03112025,62.27
04112025,62.43
05112025,62.43
06112025,74.74
07112025,80.75
10112025,53.08
11112025,52.32
12112025,62.37
13112025,57.14
14112025,89.17
17112025,65.53
18112025,53.25
19112025,46.69
20112025,58.74
21112025,44.71
24112025,85.67
25112025,70.44
26112025,36.08
27112025,56.39
28112025,60.17
01122025,45.44
02122025,77.87
03122025,84.84
04122025,61.96
05122025,78.96
08122025,80.32
09122025,73.72
10122025,76.53
11122025,52.6
12122025,51.27
15122025,77.23
16122025,62.72
17122025,37.23
18122025,56.06
19122025,72.31
22122025,65.84
23122025,83.16
24122025,85.62
25122025,85.62
26122025,75.47
29122025,78.77
30122025,54.66
31122025,70.4
01012026,58.92
02012026,82.8
05012026,76.63
06012026,93.74
07012026,55.22
08012026,79.22
09012026,57.67
12012026,78.39
13012026,77.32
14012026,88.33
15012026,88.33
16012026,88.83
19012026,86.59
20012026,74.61
21012026,30.31
22012026,52.56
23012026,52.58
27012026,57.9
28012026,56.15
29012026,79.24
30012026,69.26
02022026,59.5
03022026,55.17
04022026,48.82
05022026,68.8
06022026,74.66
