Date,DelPerc
13112020,54.19
16112020,100.0
17112020,94.19
18112020,86.55
19112020,23.19
20112020,78.01
23112020,59.66
24112020,99.53
25112020,1.43
26112020,90.4
27112020,43.97
30112020,43.97
01122020,62.48
02122020,55.86
03122020,19.74
04122020,55.74
07122020,11.98
08122020,35.39
09122020,40.18
10122020,34.56
11122020,45.73
14122020,41.95
15122020,42.24
16122020,75.27
17122020,40.91
18122020,55.07
21122020,81.16
22122020,35.78
23122020,89.18
24122020,100.0
25122020,100.0
28122020,32.04
29122020,93.0
30122020,100.0
31122020,100.0
01012021,95.8
04012021,82.66
05012021,69.64
06012021,68.03
07012021,77.18
08012021,59.79
11012021,91.76
12012021,57.24
13012021,72.78
14012021,74.85
15012021,72.48
18012021,70.14
19012021,63.63
20012021,97.95
21012021,19.57
22012021,10.66
25012021,58.04
27012021,89.86
28012021,64.15
29012021,54.2
01022021,55.55
02022021,55.62
03022021,46.33
04022021,14.34
05022021,14.1
08022021,17.87
09022021,17.27
10022021,33.61
11022021,11.45
12022021,13.92
15022021,45.03
16022021,29.84
17022021,74.66
18022021,44.06
19022021,37.56
22022021,67.57
23022021,19.51
24022021,13.08
25022021,18.24
26022021,61.1
01032021,86.58
02032021,54.39
03032021,32.28
04032021,35.03
05032021,39.06
08032021,48.76
09032021,38.0
10032021,32.27
11032021,32.27
12032021,47.46
15032021,63.76
16032021,43.96
17032021,37.34
18032021,11.7
19032021,56.84
22032021,44.59
23032021,46.81
24032021,75.81
25032021,30.73
26032021,16.7
29032021,16.7
30032021,91.13
31032021,82.73
01042021,63.26
02042021,63.26
05042021,27.77
06042021,49.24
07042021,58.59
08042021,30.45
09042021,6.56
12042021,59.8
13042021,57.15
14042021,57.15
15042021,8.76
16042021,14.93
19042021,54.19
20042021,10.21
21042021,10.21
22042021,74.39
23042021,57.63
26042021,27.98
27042021,31.36
28042021,23.41
29042021,52.73
30042021,36.26
03052021,49.6
04052021,25.71
05052021,16.67
06052021,59.94
07052021,50.3
10052021,41.32
11052021,88.93
12052021,67.99
13052021,67.99
14052021,26.24
17052021,46.66
18052021,34.29
19052021,15.67
20052021,17.77
21052021,50.74
24052021,35.42
25052021,48.45
26052021,75.43
27052021,71.65
28052021,62.2
31052021,86.01
01062021,60.59
02062021,68.54
03062021,77.46
04062021,73.18
07062021,71.62
08062021,94.76
09062021,89.06
10062021,74.19
11062021,66.67
14062021,61.81
15062021,60.84
16062021,82.43
17062021,77.52
18062021,69.66
21062021,77.51
22062021,72.82
23062021,71.18
24062021,63.12
25062021,62.22
28062021,54.84
29062021,74.77
30062021,79.91
01072021,89.36
02072021,55.39
05072021,51.04
06072021,73.62
07072021,54.5
08072021,57.68
09072021,54.15
12072021,49.67
13072021,56.26
14072021,61.22
15072021,62.96
16072021,71.39
19072021,64.73
20072021,84.82
21072021,84.82
22072021,66.03
23072021,72.83
26072021,73.08
27072021,58.14
28072021,67.0
29072021,29.56
30072021,35.83
02082021,39.7
03082021,52.48
04082021,42.82
05082021,44.33
06082021,54.29
09082021,44.37
10082021,54.12
11082021,51.97
12082021,34.25
13082021,30.79
16082021,75.36
17082021,74.04
18082021,43.57
19082021,43.57
20082021,66.78
23082021,66.65
24082021,99.9
25082021,54.21
26082021,56.95
27082021,82.2
30082021,72.48
31082021,82.53
01092021,80.83
02092021,48.69
03092021,81.99
06092021,91.47
07092021,56.63
08092021,98.95
09092021,93.14
10092021,93.14
13092021,39.32
14092021,42.17
15092021,49.75
16092021,53.42
17092021,56.95
20092021,73.24
21092021,77.87
22092021,65.91
23092021,73.87
24092021,59.47
27092021,76.38
28092021,54.35
29092021,82.85
30092021,72.66
01102021,65.9
04102021,64.29
05102021,75.15
06102021,86.32
07102021,88.56
08102021,78.42
11102021,76.26
12102021,81.2
13102021,77.2
14102021,56.52
15102021,56.52
18102021,79.43
19102021,76.51
20102021,69.1
21102021,78.21
22102021,69.28
25102021,33.57
26102021,70.04
27102021,52.97
28102021,62.43
29102021,66.78
01112021,51.47
02112021,87.0
03112021,93.47
04112021,93.47
05112021,59.71
08112021,48.81
09112021,51.56
10112021,49.14
11112021,77.92
12112021,79.5
15112021,77.33
16112021,57.39
17112021,54.72
18112021,61.65
19112021,61.65
22112021,82.9
23112021,63.08
24112021,50.33
25112021,58.01
26112021,65.11
29112021,63.77
30112021,69.62
01122021,64.31
02122021,82.99
03122021,43.61
06122021,73.53
07122021,36.49
08122021,58.62
09122021,86.29
10122021,85.95
13122021,44.97
14122021,71.56
15122021,80.87
16122021,91.81
17122021,95.04
20122021,48.37
21122021,69.04
22122021,78.23
23122021,96.31
24122021,68.97
27122021,74.5
28122021,85.21
29122021,65.11
30122021,61.07
31122021,67.81
03012022,35.08
04012022,40.27
05012022,41.66
06012022,53.41
07012022,55.79
10012022,72.41
11012022,72.62
12012022,72.65
13012022,71.96
14012022,71.08
17012022,79.09
18012022,43.75
19012022,46.58
20012022,67.44
21012022,70.0
24012022,81.34
25012022,93.48
27012022,54.83
28012022,88.29
31012022,77.68
01022022,60.55
02022022,65.98
03022022,67.03
04022022,65.03
07022022,59.79
08022022,76.63
09022022,61.51
10022022,51.83
11022022,85.64
14022022,88.04
15022022,67.22
16022022,78.54
17022022,87.68
18022022,89.75
21022022,92.28
22022022,97.35
23022022,64.16
24022022,80.98
25022022,84.35
28022022,63.66
01032022,63.66
02032022,86.72
03032022,88.38
04032022,55.37
07032022,70.78
08032022,58.83
09032022,81.67
10032022,99.93
11032022,60.72
14032022,66.24
15032022,89.38
16032022,47.37
17032022,59.09
18032022,59.09
21032022,69.5
22032022,98.73
23032022,55.22
24032022,53.88
25032022,77.03
28032022,91.94
29032022,70.65
30032022,60.85
31032022,53.02
01042022,79.72
04042022,78.11
05042022,51.39
06042022,59.96
07042022,78.45
08042022,75.91
11042022,53.72
12042022,64.48
13042022,77.82
14042022,77.82
15042022,77.82
18042022,70.89
19042022,60.77
20042022,66.29
21042022,75.25
22042022,66.07
25042022,79.67
26042022,79.36
27042022,70.89
28042022,66.29
29042022,67.34
02052022,69.68
03052022,69.68
04052022,69.74
05052022,38.34
06052022,90.67
09052022,82.98
10052022,57.6
11052022,93.81
12052022,96.43
13052022,76.78
16052022,37.62
17052022,53.62
18052022,46.76
19052022,92.23
20052022,72.87
23052022,51.08
24052022,29.27
25052022,71.33
26052022,37.12
27052022,57.61
30052022,81.45
31052022,75.42
01062022,49.55
02062022,44.51
03062022,51.71
06062022,57.06
07062022,46.28
08062022,56.4
09062022,78.27
10062022,75.33
13062022,97.33
14062022,81.31
15062022,82.63
16062022,82.31
17062022,88.67
20062022,39.37
21062022,58.97
22062022,86.03
23062022,30.7
24062022,53.93
27062022,70.78
28062022,85.44
29062022,70.45
30062022,66.27
01072022,90.91
04072022,54.13
05072022,38.0
06072022,67.21
07072022,65.76
08072022,50.09
11072022,94.48
12072022,26.83
13072022,47.27
14072022,64.98
15072022,80.27
18072022,49.4
19072022,72.52
20072022,42.26
21072022,61.1
22072022,71.55
25072022,54.35
26072022,36.91
27072022,73.06
20062023,97.28
21062023,61.29
