Date,DelPerc
01102019,33.33
03102019,61.29
07102019,55.56
08102019,55.56
10102019,100.0
11102019,55.36
14102019,100.0
15102019,100.0
18102019,100.0
21102019,100.0
31102019,91.67
01112019,100.0
04112019,100.0
06112019,100.0
07112019,100.0
08112019,100.0
11112019,100.0
12112019,100.0
25112019,85.71
28112019,100.0
29112019,50.0
06122019,100.0
09122019,88.89
19122019,81.82
20122019,31.82
23122019,38.46
24122019,62.07
25122019,62.07
26122019,51.28
27122019,66.67
31122019,32.12
02012020,92.86
03012020,100.0
06012020,76.92
07012020,100.0
08012020,85.0
09012020,94.87
10012020,40.0
13012020,100.0
14012020,10.4
15012020,29.41
16012020,100.0
17012020,98.04
21012020,94.0
22012020,95.24
23012020,55.56
24012020,100.0
27012020,50.0
28012020,16.67
29012020,54.55
30012020,50.0
31012020,57.14
03022020,100.0
04022020,86.67
05022020,100.0
07022020,88.02
10022020,56.63
11022020,100.0
12022020,50.0
13022020,26.83
14022020,41.78
17022020,25.81
18022020,42.86
19022020,16.67
20022020,23.32
21022020,23.32
24022020,92.86
26022020,83.33
27022020,76.92
02032020,100.0
03032020,75.0
04032020,100.0
05032020,100.0
06032020,100.0
13032020,62.22
16032020,48.44
17032020,100.0
19032020,70.59
07042020,100.0
08042020,100.0
15042020,100.0
23042020,72.41
24042020,100.0
27042020,100.0
06052020,50.0
07052020,58.33
08052020,100.0
15052020,83.33
18052020,56.52
19052020,100.0
20052020,77.78
29052020,100.0
01062020,100.0
04062020,17.65
05062020,100.0
08062020,28.57
09062020,83.33
11062020,11.11
12062020,75.0
16062020,100.0
17062020,50.0
18062020,100.0
19062020,81.82
22062020,84.0
23062020,85.64
24062020,80.51
25062020,97.83
26062020,100.0
29062020,100.0
30062020,95.45
01072020,66.64
02072020,61.3
03072020,100.0
06072020,27.94
07072020,82.03
08072020,36.07
09072020,96.15
10072020,8.31
13072020,96.0
14072020,71.25
15072020,74.5
16072020,9.88
17072020,67.86
20072020,66.39
21072020,63.32
22072020,50.0
23072020,93.33
24072020,85.71
27072020,100.0
28072020,38.24
29072020,95.65
30072020,48.0
31072020,100.0
04082020,100.0
05082020,88.7
06082020,99.11
07082020,100.0
10082020,63.98
11082020,92.86
12082020,61.6
13082020,33.62
14082020,84.62
17082020,64.13
18082020,95.24
19082020,91.89
20082020,78.13
21082020,89.47
24082020,81.08
25082020,43.95
26082020,54.64
27082020,58.33
28082020,57.81
31082020,57.87
01092020,88.89
02092020,89.56
03092020,32.18
04092020,67.35
07092020,79.1
08092020,50.0
09092020,84.09
10092020,87.5
11092020,44.58
