Date,DelPerc
29102020,31.35
30102020,29.23
02112020,26.24
03112020,33.27
04112020,35.99
05112020,31.73
06112020,41.4
09112020,38.85
10112020,49.0
11112020,34.96
12112020,33.25
13112020,32.73
16112020,47.09
17112020,46.65
18112020,41.25
19112020,34.55
20112020,36.33
23112020,36.11
24112020,40.45
25112020,41.61
26112020,31.31
27112020,21.67
30112020,21.67
01122020,25.35
02122020,25.04
03122020,37.54
04122020,28.65
07122020,33.58
08122020,42.87
09122020,45.23
10122020,44.61
11122020,42.04
14122020,44.21
15122020,26.12
16122020,34.92
17122020,33.43
18122020,26.18
21122020,42.09
22122020,27.27
23122020,22.97
24122020,30.48
25122020,30.48
28122020,41.5
29122020,46.41
30122020,31.61
31122020,34.88
01012021,27.68
04012021,41.57
05012021,31.53
06012021,36.2
07012021,36.3
08012021,41.68
11012021,38.08
12012021,34.47
13012021,31.57
14012021,23.08
15012021,39.84
18012021,33.25
19012021,35.27
20012021,20.36
21012021,34.17
22012021,38.03
25012021,39.76
27012021,24.59
28012021,25.55
29012021,24.75
01022021,34.05
02022021,42.05
03022021,35.0
04022021,30.92
05022021,42.79
08022021,30.4
09022021,45.1
10022021,29.24
11022021,33.04
12022021,32.7
15022021,26.65
16022021,32.07
17022021,53.38
18022021,48.5
19022021,49.94
22022021,40.42
23022021,35.0
24022021,45.85
25022021,46.34
26022021,38.05
01032021,44.06
02032021,46.9
03032021,50.1
04032021,43.87
05032021,54.26
08032021,35.3
09032021,44.73
10032021,42.81
11032021,42.81
12032021,29.5
15032021,43.68
16032021,45.9
17032021,27.83
18032021,50.02
19032021,48.76
22032021,24.59
23032021,20.23
24032021,36.42
25032021,39.29
26032021,41.93
29032021,41.93
30032021,42.63
31032021,36.81
01042021,57.66
02042021,57.66
05042021,34.2
06042021,45.93
07042021,42.83
08042021,73.39
09042021,41.71
12042021,56.62
13042021,44.62
14042021,44.62
15042021,45.9
16042021,42.21
19042021,46.38
20042021,52.9
21042021,52.9
22042021,34.77
23042021,47.68
26042021,42.97
27042021,42.16
28042021,41.31
29042021,55.87
30042021,52.74
03052021,45.58
04052021,57.07
05052021,57.6
06052021,28.18
07052021,39.27
10052021,36.82
11052021,42.46
12052021,64.48
13052021,64.48
14052021,43.54
17052021,49.33
18052021,42.01
19052021,50.12
20052021,51.89
21052021,31.19
24052021,38.79
25052021,50.5
26052021,67.27
27052021,62.96
28052021,65.48
31052021,35.49
01062021,57.66
02062021,50.59
03062021,56.33
04062021,51.83
07062021,59.23
08062021,54.17
09062021,44.25
10062021,52.34
11062021,25.01
14062021,26.97
15062021,33.79
16062021,25.35
17062021,43.78
18062021,27.92
21062021,38.99
22062021,43.99
23062021,47.58
24062021,31.73
25062021,39.92
28062021,29.12
29062021,44.19
30062021,42.69
01072021,43.46
02072021,42.28
05072021,31.74
06072021,42.85
07072021,30.4
08072021,34.45
09072021,35.61
12072021,11.62
13072021,13.64
14072021,13.93
15072021,31.47
16072021,65.43
19072021,41.39
20072021,21.18
21072021,21.18
22072021,22.78
23072021,27.5
26072021,30.7
27072021,19.76
28072021,31.94
29072021,33.62
30072021,60.56
02082021,33.27
03082021,33.3
04082021,30.51
05082021,43.07
06082021,54.54
09082021,29.27
10082021,43.13
11082021,32.77
12082021,29.6
13082021,40.49
16082021,55.16
17082021,36.38
18082021,64.76
19082021,64.76
20082021,43.83
23082021,26.57
24082021,30.21
25082021,46.35
26082021,22.69
27082021,22.93
30082021,36.29
31082021,23.77
01092021,19.14
02092021,27.85
03092021,40.34
06092021,29.15
07092021,17.53
08092021,20.61
09092021,38.55
10092021,38.55
13092021,31.81
14092021,45.89
15092021,41.66
16092021,39.7
17092021,30.27
20092021,41.93
21092021,39.96
22092021,26.72
23092021,39.87
24092021,45.3
27092021,34.84
28092021,33.77
29092021,37.84
30092021,44.06
01102021,31.02
04102021,36.22
05102021,40.47
06102021,58.3
07102021,42.09
08102021,43.17
11102021,46.93
12102021,56.89
13102021,35.53
14102021,42.05
15102021,42.05
18102021,54.63
19102021,60.51
20102021,45.31
21102021,23.26
22102021,50.96
25102021,40.99
26102021,36.42
27102021,41.93
28102021,60.6
29102021,43.75
01112021,41.71
02112021,67.05
03112021,28.48
04112021,28.48
05112021,57.65
08112021,41.72
09112021,39.88
10112021,43.55
11112021,47.49
12112021,46.12
15112021,47.33
16112021,58.79
17112021,60.04
18112021,51.1
19112021,51.1
22112021,60.59
23112021,47.12
24112021,34.48
25112021,49.83
26112021,48.02
29112021,41.57
30112021,40.4
01122021,44.53
02122021,45.33
03122021,49.59
06122021,47.85
07122021,59.6
08122021,52.14
09122021,35.6
10122021,32.37
13122021,53.42
14122021,45.37
15122021,55.32
16122021,45.19
17122021,57.05
20122021,54.47
21122021,52.49
22122021,62.44
23122021,43.86
24122021,51.52
27122021,42.6
28122021,38.67
29122021,50.31
30122021,26.3
31122021,52.79
