Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,43.16,157.82,159.7,161.88,156.45,157.02,-0.51
02012025,58.31,157.02,158.0,164.7,156.11,162.12,3.25
03012025,59.26,162.12,160.55,164.5,160.3,163.5,0.85
06012025,42.51,163.5,164.29,167.19,153.3,156.98,-3.99
07012025,39.33,156.98,158.5,162.1,155.42,159.26,1.45
08012025,42.12,159.26,162.0,162.0,156.03,157.71,-0.97
09012025,49.99,157.71,157.88,158.23,146.5,147.88,-6.23
10012025,41.33,147.88,147.99,151.75,142.2,149.8,1.3
13012025,33.85,149.8,150.9,159.05,143.05,152.58,1.86
14012025,36.77,152.58,151.0,158.1,151.0,156.52,2.58
15012025,42.45,156.52,155.1,157.19,152.1,153.41,-1.99
16012025,39.06,153.41,156.0,161.5,155.04,159.58,4.02
17012025,43.85,159.58,159.29,159.29,156.15,157.79,-1.12
20012025,46.79,157.79,156.8,164.0,156.8,159.87,1.32
21012025,35.07,159.87,162.25,162.25,153.52,157.4,-1.55
22012025,46.58,157.4,158.2,158.93,150.36,153.41,-2.53
23012025,45.46,153.41,154.99,156.91,153.08,155.25,1.2
24012025,48.96,155.25,157.0,161.8,154.47,156.2,0.61
27012025,53.46,156.2,157.0,157.0,144.25,145.13,-7.09
28012025,43.14,145.13,147.08,148.94,138.61,141.11,-2.77
29012025,47.28,141.11,142.8,152.0,142.8,148.95,5.56
30012025,47.26,148.95,149.7,151.71,144.0,145.26,-2.48
31012025,49.83,145.26,145.05,149.5,142.33,149.06,2.62
03022025,51.89,143.32,141.26,143.94,140.81,141.68,-1.14
04022025,39.26,141.68,141.76,157.4,139.61,146.44,3.36
05022025,58.67,146.44,145.95,148.69,140.5,141.59,-3.31
06022025,53.55,141.59,142.0,144.0,138.6,139.64,-1.38
07022025,47.74,139.64,139.99,142.25,137.84,139.75,0.08
10022025,52.74,139.75,140.1,141.34,133.55,134.81,-3.53
11022025,56.69,134.81,135.0,135.68,127.21,131.45,-2.49
12022025,66.9,131.45,129.5,131.5,120.5,122.94,-6.47
13022025,49.23,122.94,124.8,129.25,124.0,124.7,1.43
14022025,64.44,124.7,126.55,126.55,118.0,121.1,-2.89
17022025,56.46,121.1,122.52,122.52,112.5,114.81,-5.19
18022025,67.83,114.81,115.87,116.81,111.15,113.36,-1.26
19022025,37.92,113.36,113.04,118.78,111.01,114.44,0.95
20022025,55.41,114.44,116.15,119.02,114.46,117.51,2.68
21022025,60.71,117.51,116.78,119.99,116.78,118.41,0.77
24022025,48.91,118.41,116.65,117.58,112.92,114.46,-3.34
25022025,51.33,114.46,114.96,116.25,110.2,111.44,-2.64
27022025,76.58,111.44,111.89,112.0,108.64,111.15,-0.26
28022025,61.95,111.15,111.14,111.14,103.01,104.43,-6.05
03032025,56.55,104.43,105.25,107.47,98.21,101.42,-2.88
04032025,56.29,101.42,101.42,104.89,99.21,103.06,1.62
05032025,51.14,103.06,104.49,110.34,104.12,108.89,5.66
06032025,50.9,108.89,109.45,113.32,109.13,111.89,2.76
07032025,54.36,111.89,112.0,114.89,110.5,110.85,-0.93
