Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,59.56,63.29,63.65,64.36,63.0,63.68,0.62
02012025,53.99,63.68,63.68,65.0,63.3,64.57,1.4
03012025,57.62,64.57,65.14,65.14,64.03,64.4,-0.26
06012025,64.14,64.4,64.4,64.4,61.5,61.82,-4.01
07012025,45.08,61.82,61.9,62.4,61.21,61.7,-0.19
08012025,51.59,61.7,61.69,61.97,60.55,60.89,-1.31
09012025,53.03,60.89,61.0,61.73,60.05,60.34,-0.9
10012025,51.78,60.34,60.05,60.34,57.1,57.84,-4.14
13012025,52.59,57.84,58.14,58.53,55.5,55.93,-3.3
14012025,43.57,55.93,55.23,57.5,55.23,57.29,2.43
15012025,42.81,57.29,57.5,58.9,57.08,58.1,1.41
16012025,55.06,58.1,57.76,59.9,57.76,59.48,2.38
17012025,40.17,59.48,59.8,61.2,59.01,60.65,1.97
20012025,41.61,60.65,60.21,63.5,60.12,62.93,3.76
21012025,50.35,62.93,62.53,63.43,62.0,62.72,-0.33
22012025,52.42,62.72,62.72,62.72,59.0,60.44,-3.64
23012025,62.39,60.44,60.44,62.0,60.44,60.93,0.81
24012025,60.69,60.93,61.35,61.35,58.5,59.06,-3.07
27012025,52.18,59.06,59.0,59.0,56.62,57.67,-2.35
28012025,48.96,57.67,58.55,58.55,55.01,56.78,-1.54
29012025,44.73,56.78,57.0,60.25,57.0,59.42,4.65
30012025,41.23,59.42,59.59,62.0,59.58,60.4,1.65
31012025,43.47,60.4,59.55,61.5,59.2,61.02,1.03
03022025,58.5,61.05,60.88,61.04,59.0,60.12,-1.52
04022025,66.34,60.12,60.12,61.75,59.79,61.15,1.71
05022025,61.93,61.15,61.59,63.1,61.4,62.27,1.83
06022025,38.39,62.27,63.5,65.9,62.1,62.99,1.16
07022025,49.38,62.99,62.11,63.69,61.91,62.68,-0.49
10022025,95.82,62.68,62.67,62.67,60.3,60.58,-3.35
11022025,47.99,60.58,60.36,60.57,58.9,60.04,-0.89
12022025,48.95,60.04,59.0,60.0,57.11,58.98,-1.77
13022025,55.56,58.98,58.98,60.6,58.8,60.05,1.81
14022025,50.05,60.05,59.85,62.0,58.11,61.76,2.85
17022025,49.83,61.76,60.85,62.99,58.1,61.58,-0.29
18022025,55.76,61.58,62.0,62.5,59.72,61.54,-0.06
19022025,48.93,61.54,61.0,63.9,61.0,62.42,1.43
20022025,55.6,62.42,62.41,62.99,61.06,62.17,-0.4
21022025,48.84,62.17,61.25,63.24,61.19,61.76,-0.66
24022025,55.74,61.76,61.43,61.43,60.02,60.8,-1.55
25022025,53.78,60.8,59.9,61.25,58.9,59.54,-2.07
27022025,63.45,59.54,60.0,61.88,59.0,61.33,3.01
28022025,49.24,61.33,60.4,61.8,59.02,61.29,-0.07
