Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,57.96,999.75,999.0,1009.9,989.0,1001.8,0.21
02012025,55.67,1001.8,1008.0,1008.0,985.95,991.25,-1.05
03012025,56.0,991.25,994.0,1019.0,986.55,1007.75,1.66
06012025,49.21,1007.75,1015.0,1017.85,940.0,960.45,-4.69
07012025,50.56,960.45,973.05,984.4,962.9,973.65,1.37
08012025,51.16,973.65,973.65,984.7,953.8,961.25,-1.27
09012025,59.37,961.25,952.05,994.5,940.0,984.85,2.46
10012025,59.19,984.85,975.1,990.0,957.15,962.85,-2.23
13012025,61.69,962.85,962.0,968.4,930.0,948.3,-1.51
14012025,51.34,948.3,946.0,980.0,933.15,952.3,0.42
15012025,49.91,952.3,940.6,964.25,932.05,941.9,-1.09
16012025,59.51,941.9,941.9,957.75,938.05,942.4,0.05
17012025,45.77,942.4,932.0,957.2,932.0,937.85,-0.48
20012025,48.3,937.85,940.0,946.0,902.35,943.1,0.56
21012025,62.84,943.1,946.0,948.35,914.0,918.15,-2.65
22012025,58.29,918.15,915.0,915.7,872.9,902.1,-1.75
23012025,42.94,902.1,888.55,913.15,887.05,900.9,-0.13
24012025,49.6,900.9,905.4,908.4,861.15,873.4,-3.05
27012025,50.61,873.4,867.95,867.95,811.3,828.65,-5.12
28012025,54.85,828.65,820.05,839.0,785.95,795.8,-3.96
29012025,55.12,795.8,801.0,838.0,800.55,833.65,4.76
30012025,57.59,833.65,836.1,856.0,824.1,845.7,1.45
31012025,67.86,845.7,849.0,861.0,832.5,856.8,1.31
03022025,44.24,852.85,850.0,850.0,825.95,843.45,-1.1
04022025,59.79,843.45,843.45,870.2,837.25,855.15,1.39
05022025,59.03,855.15,860.2,888.0,851.95,870.05,1.74
06022025,68.9,870.05,872.0,886.05,860.0,866.2,-0.44
07022025,71.4,866.2,866.0,879.8,858.05,867.35,0.13
10022025,74.54,867.35,878.2,878.2,822.2,847.9,-2.24
11022025,66.99,847.9,850.0,858.4,795.05,802.25,-5.38
12022025,77.55,802.25,805.0,817.9,765.0,806.3,0.5
13022025,54.85,806.3,795.75,832.9,795.0,820.25,1.73
14022025,78.87,820.25,815.0,819.05,768.0,784.75,-4.33
17022025,37.02,784.75,750.0,758.6,672.0,730.4,-6.93
18022025,45.99,730.4,741.8,742.1,672.4,682.7,-6.53
19022025,69.6,682.7,683.5,715.0,671.1,698.4,2.3
20022025,78.4,698.4,680.0,715.25,680.0,703.95,0.79
21022025,57.12,703.95,707.4,738.95,703.95,728.9,3.54
24022025,58.58,728.9,725.0,743.9,710.0,737.55,1.19
25022025,68.85,737.55,732.45,751.0,724.2,728.05,-1.29
27022025,64.75,728.05,737.0,747.55,713.85,721.35,-0.92
28022025,62.07,721.35,716.8,724.0,704.2,719.25,-0.29
03032025,56.31,719.25,725.4,726.3,673.15,686.6,-4.54
04032025,58.93,686.6,674.45,714.9,671.1,690.3,0.54
05032025,67.0,690.3,698.95,735.95,692.75,713.4,3.35
06032025,69.41,713.4,715.0,737.25,711.7,727.05,1.91
07032025,64.37,727.05,728.35,754.9,727.8,748.1,2.9
10032025,50.41,748.1,743.6,792.65,722.2,731.3,-2.25
11032025,62.77,731.3,715.0,748.4,715.0,744.3,1.78
12032025,75.15,744.3,735.2,745.0,722.2,737.3,-0.94
13032025,67.26,737.3,735.9,739.85,712.0,728.45,-1.2
17032025,71.54,728.45,728.5,737.5,717.3,723.65,-0.66
18032025,64.3,723.65,726.45,733.5,719.9,729.8,0.85
19032025,75.06,729.8,736.0,745.85,727.45,738.0,1.12
20032025,78.89,738.0,742.35,747.55,736.05,738.85,0.12
21032025,70.6,738.85,741.95,757.45,737.05,747.6,1.18
24032025,61.83,747.6,756.95,791.4,743.55,776.0,3.8
25032025,78.13,776.0,784.0,792.5,755.5,777.55,0.2
26032025,80.58,777.55,777.55,781.45,755.0,758.5,-2.45
27032025,71.34,758.5,766.5,783.4,760.2,777.0,2.44
28032025,72.02,777.0,782.85,796.7,763.85,769.85,-0.92
01042025,53.63,769.85,770.0,800.0,768.15,774.05,0.55
02042025,43.11,774.05,783.7,804.85,763.0,801.7,3.57
03042025,58.13,801.7,785.4,824.0,785.4,809.2,0.94
04042025,64.37,809.2,806.75,806.75,775.85,794.45,-1.82
07042025,49.54,794.45,665.0,789.85,665.0,780.8,-1.72
08042025,69.21,780.8,799.95,807.0,773.85,800.4,2.51
09042025,65.02,800.4,809.45,814.0,777.0,809.65,1.16
11042025,58.27,809.65,825.0,825.0,801.0,804.2,-0.67
15042025,49.83,804.2,811.25,823.0,797.85,817.5,1.65
16042025,43.36,817.5,811.15,833.95,809.3,820.2,0.33
17042025,53.9,820.2,819.0,854.55,813.9,849.55,3.58
21042025,60.64,849.55,846.1,846.1,835.0,838.3,-1.32
22042025,46.62,838.3,838.0,850.45,828.95,835.2,-0.37
23042025,55.76,835.2,836.0,842.75,802.2,807.05,-3.37
24042025,44.0,807.05,807.05,834.0,807.05,826.95,2.47
25042025,50.39,826.95,820.75,820.75,782.35,799.5,-3.32
