Date,DelPerc
01102019,56.92
03102019,72.45
04102019,62.35
07102019,60.51
08102019,60.51
09102019,67.19
10102019,56.9
11102019,69.44
14102019,62.63
15102019,72.83
16102019,61.16
17102019,66.4
18102019,51.25
21102019,51.25
22102019,40.52
23102019,48.22
24102019,54.48
25102019,52.45
28102019,83.2
29102019,47.04
30102019,70.62
31102019,51.56
01112019,53.89
04112019,86.01
05112019,73.22
06112019,80.28
07112019,82.5
08112019,48.47
11112019,70.09
12112019,70.09
13112019,88.1
14112019,78.04
15112019,79.63
18112019,63.15
19112019,74.73
20112019,69.81
21112019,54.59
22112019,41.77
25112019,60.5
26112019,63.42
27112019,75.35
28112019,65.52
29112019,39.09
02122019,72.63
03122019,78.09
04122019,82.57
05122019,69.77
06122019,61.07
09122019,57.55
10122019,71.0
11122019,56.17
12122019,43.09
13122019,61.5
16122019,54.58
17122019,54.84
18122019,48.36
19122019,66.6
20122019,76.97
23122019,58.1
24122019,67.88
25122019,67.88
26122019,72.15
27122019,92.53
30122019,52.59
31122019,82.7
01012020,74.45
02012020,60.14
03012020,48.49
06012020,68.49
07012020,55.0
08012020,62.06
09012020,70.49
10012020,61.79
13012020,75.31
14012020,57.24
15012020,57.86
16012020,62.22
17012020,70.93
20012020,60.48
21012020,54.54
22012020,71.36
23012020,57.7
24012020,63.34
27012020,64.0
28012020,76.53
29012020,72.19
30012020,70.87
31012020,47.17
03022020,61.61
04022020,76.95
05022020,64.93
06022020,56.82
07022020,58.49
10022020,59.49
11022020,64.51
12022020,58.74
13022020,60.82
14022020,70.63
17022020,60.25
18022020,59.43
19022020,40.41
20022020,46.88
21022020,46.88
24022020,76.28
25022020,67.79
26022020,64.17
27022020,69.61
28022020,75.43
02032020,64.93
03032020,73.37
04032020,69.14
05032020,84.45
06032020,65.23
09032020,68.2
10032020,68.2
11032020,82.82
12032020,76.15
13032020,54.38
16032020,73.34
17032020,74.03
18032020,68.48
19032020,65.91
20032020,70.28
23032020,69.06
24032020,69.15
25032020,77.51
26032020,94.35
27032020,89.68
30032020,75.23
31032020,73.01
01042020,70.01
02042020,70.01
03042020,77.04
06042020,77.04
07042020,82.58
08042020,74.63
09042020,67.55
10042020,67.55
13042020,78.66
15042020,79.17
16042020,67.1
17042020,71.06
20042020,64.42
21042020,58.5
22042020,76.08
23042020,69.75
24042020,80.99
27042020,71.52
28042020,76.1
29042020,83.02
30042020,74.3
01052020,74.3
04052020,72.71
05052020,47.9
06052020,37.19
07052020,61.45
08052020,72.22
11052020,49.26
12052020,66.61
13052020,73.5
14052020,62.54
15052020,74.34
18052020,57.54
19052020,59.33
20052020,78.6
21052020,64.44
22052020,61.7
25052020,61.7
26052020,72.25
27052020,57.77
28052020,76.69
29052020,70.16
01062020,56.31
02062020,63.46
03062020,53.16
04062020,53.84
05062020,49.78
08062020,62.99
09062020,59.8
10062020,62.44
11062020,73.5
12062020,48.65
15062020,59.11
16062020,62.63
17062020,60.28
18062020,58.71
19062020,59.8
22062020,49.94
23062020,66.41
24062020,63.67
25062020,54.79
26062020,62.74
29062020,66.39
30062020,38.98
01072020,30.9
02072020,30.37
03072020,65.46
06072020,61.51
07072020,72.7
08072020,69.72
09072020,76.5
10072020,79.81
13072020,38.08
14072020,49.54
15072020,54.28
16072020,56.51
17072020,44.23
20072020,66.37
21072020,63.27
22072020,60.68
23072020,58.1
24072020,44.08
27072020,67.03
28072020,56.53
29072020,65.58
30072020,41.08
31072020,58.33
03082020,54.09
04082020,60.34
05082020,58.54
06082020,61.18
07082020,61.41
10082020,62.86
11082020,67.7
12082020,69.67
13082020,65.18
14082020,59.51
17082020,56.9
18082020,36.06
19082020,36.25
20082020,55.19
21082020,45.58
24082020,70.79
25082020,56.94
26082020,56.83
27082020,53.03
28082020,59.72
31082020,52.08
01092020,63.33
02092020,53.57
03092020,58.58
04092020,58.53
07092020,63.31
08092020,58.16
09092020,64.56
10092020,59.43
11092020,71.76
14092020,74.38
15092020,30.6
16092020,76.39
17092020,57.36
18092020,64.92
21092020,56.82
22092020,52.16
23092020,53.33
24092020,75.42
25092020,55.87
28092020,63.29
29092020,51.56
30092020,54.37
01102020,53.54
05102020,68.2
06102020,48.98
07102020,69.4
08102020,66.14
09102020,63.78
