Date,DelPerc
10092024,27.63
11092024,36.6
12092024,46.62
13092024,41.48
16092024,66.18
08092025,93.0
09092025,36.34
10092025,56.24
11092025,41.38
12092025,76.4
15092025,67.92
16092025,77.55
17092025,54.93
18092025,51.81
19092025,79.78
22092025,88.64
23092025,40.79
24092025,59.91
25092025,56.22
26092025,31.41
29092025,41.56
30092025,70.66
01102025,33.12
03102025,66.77
06102025,71.43
07102025,76.32
08102025,67.84
09102025,78.39
10102025,42.36
13102025,28.45
14102025,77.43
15102025,72.11
16102025,70.96
17102025,68.26
20102025,52.63
21102025,93.54
22102025,93.54
23102025,69.12
24102025,82.03
27102025,82.76
28102025,85.19
29102025,88.97
30102025,73.9
31102025,97.61
03112025,53.42
04112025,77.27
05112025,77.27
06112025,59.29
07112025,74.69
10112025,69.41
11112025,75.43
12112025,69.37
13112025,65.55
14112025,63.23
17112025,67.13
18112025,93.15
19112025,67.41
20112025,97.06
21112025,81.93
24112025,50.74
25112025,79.79
26112025,96.08
27112025,86.98
28112025,58.25
01122025,81.17
02122025,84.95
03122025,68.63
04122025,58.49
05122025,53.26
08122025,54.81
09122025,76.85
10122025,73.61
11122025,74.14
12122025,95.37
15122025,90.63
16122025,95.38
17122025,92.57
18122025,71.55
19122025,99.44
22122025,85.49
23122025,98.87
24122025,86.58
25122025,86.58
26122025,74.44
29122025,82.82
30122025,95.62
31122025,98.49
01012026,79.84
02012026,91.95
05012026,62.21
06012026,65.99
07012026,87.35
08012026,62.26
09012026,87.47
12012026,83.05
13012026,91.89
14012026,89.18
15012026,89.18
16012026,82.94
19012026,85.15
20012026,71.5
21012026,89.49
22012026,69.41
23012026,87.19
27012026,69.33
28012026,56.74
29012026,40.03
30012026,73.54
02022026,79.61
03022026,97.24
04022026,90.31
05022026,96.7
06022026,88.67
09022026,70.4
10022026,88.91
11022026,83.76
