Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,30.55,337.4,337.45,344.3,335.6,342.8,1.6
02012025,23.84,342.8,347.85,354.5,344.5,346.7,1.14
03012025,39.52,346.7,346.7,353.5,346.35,349.35,0.76
06012025,43.1,349.35,350.65,350.7,328.5,330.55,-5.38
07012025,36.48,330.55,331.9,341.8,330.7,339.9,2.83
08012025,36.61,339.9,344.7,344.7,330.1,332.75,-2.1
09012025,43.29,332.75,330.15,335.7,327.0,329.6,-0.95
10012025,38.14,329.6,328.0,328.4,317.5,319.7,-3.0
13012025,47.77,319.7,313.5,319.0,296.0,301.65,-5.65
14012025,30.17,301.65,302.0,313.7,300.35,311.7,3.33
15012025,34.18,311.7,314.7,323.75,310.4,315.6,1.25
16012025,40.1,315.6,316.1,324.65,316.1,322.8,2.28
17012025,33.71,322.8,322.0,343.15,320.0,340.65,5.53
20012025,37.21,340.65,343.1,348.6,341.25,343.1,0.72
21012025,38.23,343.1,343.5,345.1,330.1,331.45,-3.4
22012025,34.29,331.45,331.1,332.45,316.5,325.1,-1.92
23012025,35.57,325.1,322.0,330.0,321.85,325.35,0.08
24012025,42.92,325.35,321.25,328.1,317.25,320.55,-1.48
27012025,46.27,320.55,315.9,317.0,306.0,307.0,-4.23
28012025,33.54,307.0,308.0,311.3,295.65,304.75,-0.73
29012025,22.86,304.75,305.0,325.4,303.1,319.9,4.97
30012025,36.11,319.9,319.75,327.8,317.8,320.15,0.08
31012025,39.06,320.15,322.0,331.7,317.35,328.15,2.5
03022025,33.62,298.2,296.55,307.2,295.4,299.25,0.35
04022025,17.48,299.25,300.0,314.9,297.5,306.3,2.36
05022025,38.45,306.3,308.0,311.25,303.0,304.4,-0.62
06022025,38.55,304.4,305.0,308.4,304.0,306.6,0.72
07022025,43.67,306.6,308.8,308.8,302.55,304.5,-0.68
10022025,34.28,304.5,297.1,304.8,297.1,299.85,-1.53
11022025,49.58,299.85,300.95,302.0,281.7,283.45,-5.47
12022025,32.29,283.45,283.0,284.0,266.05,279.25,-1.48
13022025,43.66,279.25,277.25,289.0,277.25,285.1,2.09
14022025,40.29,285.1,285.1,287.65,266.05,268.4,-5.86
17022025,36.45,268.4,268.4,272.9,258.3,262.55,-2.18
18022025,44.05,262.55,260.1,266.95,247.0,251.2,-4.32
19022025,36.72,251.2,250.0,267.0,248.0,265.65,5.75
20022025,37.95,265.65,264.1,273.7,261.4,272.15,2.45
21022025,31.01,272.15,273.25,280.0,268.1,271.15,-0.37
24022025,37.43,271.15,269.75,271.4,260.5,267.55,-1.33
25022025,43.88,267.55,267.0,269.9,260.15,261.4,-2.3
27022025,44.88,261.4,262.0,263.35,252.5,253.95,-2.85
28022025,44.77,253.95,250.05,253.3,239.35,243.15,-4.25
03032025,35.93,243.15,240.0,246.0,226.93,233.73,-3.87
04032025,33.81,233.73,232.5,245.61,231.21,244.69,4.69
05032025,40.7,244.69,244.98,257.5,244.98,257.03,5.04
06032025,38.25,257.03,260.0,268.0,260.0,263.57,2.54
07032025,35.94,263.57,264.52,277.44,263.85,274.01,3.96
10032025,41.46,274.01,274.32,279.85,258.0,259.01,-5.47
