Date,DelPerc
16062021,83.41
17062021,95.14
18062021,64.02
21062021,80.03
22062021,74.59
23062021,97.03
24062021,97.94
25062021,86.3
28062021,99.24
29062021,95.55
30062021,83.54
01072021,99.84
02072021,97.7
05072021,96.45
06072021,92.27
07072021,99.32
08072021,96.48
09072021,12.37
12072021,73.97
13072021,76.17
14072021,89.83
15072021,52.57
16072021,88.87
19072021,97.19
20072021,99.98
21072021,99.98
22072021,99.96
23072021,95.29
26072021,84.29
27072021,97.43
28072021,58.73
29072021,100.0
30072021,85.09
02082021,78.46
03082021,99.52
04082021,96.23
05082021,61.11
06082021,99.07
09082021,98.41
10082021,99.66
11082021,85.04
12082021,99.39
13082021,100.0
16082021,91.3
17082021,98.24
18082021,79.53
19082021,79.53
20082021,73.32
23082021,82.78
24082021,99.99
25082021,99.66
26082021,56.99
27082021,99.23
30082021,94.23
31082021,97.68
01092021,67.15
02092021,92.21
03092021,61.16
06092021,87.63
07092021,98.36
08092021,17.88
09092021,77.97
10092021,77.97
13092021,71.51
14092021,66.77
15092021,98.96
16092021,75.77
17092021,99.51
20092021,82.84
21092021,95.05
22092021,96.86
23092021,94.9
24092021,59.9
27092021,91.68
28092021,99.63
29092021,62.82
30092021,94.12
01102021,70.23
04102021,87.68
05102021,73.42
06102021,85.85
07102021,61.27
08102021,95.49
11102021,91.68
12102021,96.93
13102021,61.7
14102021,73.37
15102021,73.37
18102021,91.66
19102021,73.18
20102021,70.37
21102021,81.34
22102021,99.4
25102021,81.72
26102021,88.72
27102021,50.54
28102021,62.32
29102021,86.98
01112021,58.41
02112021,74.74
03112021,99.92
04112021,99.92
05112021,97.46
08112021,64.63
09112021,52.98
10112021,70.91
11112021,99.03
12112021,68.64
15112021,99.73
16112021,81.41
17112021,89.0
18112021,28.6
19112021,28.6
22112021,56.91
23112021,70.56
24112021,87.54
25112021,51.73
26112021,98.22
29112021,38.05
30112021,90.96
01122021,64.69
02122021,70.94
03122021,97.47
06122021,79.34
07122021,98.7
08122021,84.68
09122021,85.13
10122021,59.91
13122021,95.03
14122021,73.23
15122021,78.0
16122021,87.38
17122021,74.76
20122021,94.6
21122021,57.27
22122021,96.47
23122021,98.86
24122021,95.06
27122021,83.33
28122021,99.09
29122021,89.1
30122021,99.88
31122021,95.14
03012022,79.98
04012022,82.13
05012022,71.34
06012022,83.01
07012022,74.87
10012022,90.2
11012022,54.85
12012022,53.88
13012022,72.9
14012022,74.76
17012022,90.96
18012022,37.61
19012022,98.12
20012022,37.29
21012022,62.01
24012022,91.03
25012022,62.22
27012022,73.25
28012022,81.09
31012022,65.84
01022022,74.67
02022022,27.73
03022022,75.75
04022022,74.72
07022022,89.7
08022022,91.45
09022022,81.23
10022022,99.38
11022022,91.3
14022022,24.6
15022022,87.4
16022022,84.94
17022022,80.71
18022022,50.41
21022022,50.54
22022022,37.6
23022022,77.71
24022022,57.14
25022022,97.84
28022022,50.43
01032022,50.43
02032022,96.03
03032022,79.67
04032022,57.69
07032022,64.25
08032022,50.78
09032022,78.52
10032022,84.94
11032022,97.84
14032022,83.02
15032022,66.19
16032022,65.17
17032022,69.08
18032022,69.08
21032022,67.89
22032022,99.83
23032022,98.17
24032022,76.82
25032022,95.48
28032022,84.59
29032022,99.34
30032022,79.56
31032022,79.44
01042022,91.58
04042022,82.85
05042022,92.82
06042022,96.46
07042022,99.59
08042022,100.0
11042022,98.23
12042022,98.6
13042022,99.5
14042022,99.5
15042022,99.5
18042022,97.81
19042022,50.0
20042022,80.0
21042022,88.03
22042022,99.83
25042022,13.56
26042022,85.14
27042022,99.4
28042022,94.11
29042022,91.09
02052022,62.55
03052022,62.55
04052022,89.2
05052022,97.41
06052022,82.49
09052022,18.25
10052022,88.81
11052022,69.1
12052022,59.68
13052022,72.83
16052022,70.42
17052022,52.94
18052022,92.84
19052022,56.55
20052022,99.94
23052022,60.94
24052022,76.89
25052022,70.24
26052022,99.2
27052022,58.21
30052022,93.46
31052022,40.95
01062022,53.33
02062022,70.26
03062022,64.78
06062022,94.48
07062022,96.22
08062022,97.57
09062022,99.94
10062022,98.41
13062022,84.45
14062022,96.17
15062022,100.0
16062022,100.0
17062022,92.55
20062022,85.66
21062022,93.0
22062022,81.93
23062022,58.31
24062022,59.63
27062022,85.64
28062022,93.96
29062022,75.95
30062022,99.97
01072022,97.11
04072022,87.17
05072022,81.32
06072022,67.85
07072022,96.64
08072022,99.64
11072022,74.07
12072022,64.15
13072022,84.61
14072022,95.27
15072022,99.4
18072022,97.68
19072022,47.14
20072022,89.11
21072022,53.87
22072022,98.73
25072022,36.87
26072022,82.04
27072022,85.23
28072022,70.83
29072022,99.89
01082022,75.43
02082022,62.75
03082022,61.41
04082022,97.26
05082022,95.54
10082022,71.1
11082022,55.13
12082022,53.66
16082022,80.53
17082022,91.54
18082022,75.38
19082022,93.08
22082022,57.95
23082022,78.21
24082022,51.11
25082022,96.53
26082022,58.29
29082022,92.94
30082022,51.26
31082022,51.26
01092022,53.04
02092022,93.95
05092022,62.18
06092022,70.79
07092022,61.1
08092022,96.31
09092022,35.21
12092022,94.0
13092022,99.38
14092022,51.0
15092022,86.58
16092022,52.83
19092022,97.32
20092022,93.01
21092022,96.38
22092022,99.5
23092022,61.29
26092022,90.55
27092022,59.72
28092022,97.09
29092022,62.34
30092022,97.26
03102022,99.12
04102022,49.72
05102022,49.72
06102022,37.97
07102022,98.82
10102022,50.38
11102022,93.77
12102022,20.83
13102022,13.65
14102022,12.97
17102022,42.31
18102022,51.33
19102022,35.61
20102022,74.68
21102022,51.43
24102022,81.12
25102022,43.49
26102022,43.49
27102022,86.52
28102022,61.8
31102022,52.24
01112022,96.0
02112022,96.47
03112022,75.23
04112022,95.29
07112022,47.51
08112022,47.51
09112022,81.94
10112022,99.81
11112022,77.82
14112022,65.19
15112022,63.71
16112022,67.6
17112022,93.78
18112022,48.23
21112022,99.36
22112022,97.98
23112022,23.43
24112022,66.03
25112022,65.06
28112022,82.51
29112022,78.69
30112022,99.03
01122022,97.24
02122022,10.18
05122022,99.14
06122022,91.61
07122022,89.15
08122022,95.58
09122022,99.85
12122022,55.71
13122022,62.65
14122022,65.47
15122022,52.13
16122022,79.32
19122022,88.39
20122022,16.06
21122022,56.8
22122022,95.96
23122022,69.91
26122022,51.21
27122022,85.71
28122022,90.11
29122022,81.95
30122022,99.42
02012023,68.73
03012023,61.47
04012023,85.06
05012023,99.96
06012023,52.08
09012023,64.89
10012023,98.62
11012023,99.03
12012023,17.62
13012023,99.31
16012023,49.83
17012023,55.81
18012023,98.81
19012023,97.99
20012023,99.74
23012023,21.35
24012023,98.18
25012023,84.03
27012023,99.95
30012023,70.75
31012023,99.02
01022023,79.11
02022023,85.95
03022023,68.22
06022023,77.06
07022023,81.0
08022023,90.42
09022023,56.18
10022023,95.69
13022023,50.78
14022023,94.14
15022023,87.88
16022023,92.28
17022023,99.69
20022023,66.48
21022023,68.64
22022023,97.49
23022023,98.24
24022023,65.74
27022023,49.88
28022023,99.65
01032023,70.3
02032023,69.25
03032023,99.96
06032023,97.69
07032023,97.69
08032023,99.16
09032023,91.25
10032023,87.22
13032023,40.89
14032023,93.8
15032023,46.81
16032023,97.39
17032023,84.2
20032023,87.16
21032023,51.67
22032023,62.63
23032023,88.38
24032023,89.71
27032023,87.66
28032023,67.28
29032023,90.7
30032023,90.7
31032023,95.84
03042023,69.8
04042023,69.8
05042023,97.43
06042023,57.4
07042023,57.4
10042023,58.39
11042023,51.4
12042023,80.79
