Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
20112025,31.59,49.22,49.19,49.19,48.9,49.12,-0.2
21112025,93.41,49.12,53.0,53.0,48.09,48.43,-1.4
24112025,96.83,48.43,48.44,48.44,48.04,48.23,-0.41
25112025,88.14,48.23,49.43,49.97,48.01,48.03,-0.41
26112025,99.32,48.03,48.61,48.61,48.34,48.53,1.04
27112025,99.74,48.53,48.63,48.63,48.31,48.42,-0.23
28112025,48.64,48.42,48.66,48.66,48.25,48.34,-0.17
01122025,100.0,48.34,48.59,48.59,48.32,48.33,-0.02
02122025,91.04,48.33,48.31,48.31,47.85,48.11,-0.46
03122025,81.34,48.11,48.04,48.04,47.56,47.58,-1.1
04122025,84.29,47.58,47.5,47.63,47.23,47.38,-0.42
05122025,99.72,47.38,48.9,48.9,46.94,47.03,-0.74
08122025,99.85,47.03,46.76,47.03,45.96,46.09,-2.0
09122025,18.52,46.09,45.67,46.22,45.45,46.22,0.28
10122025,99.79,46.22,46.24,46.24,45.76,45.76,-1.0
11122025,99.58,45.76,46.1,46.22,45.83,46.22,1.01
12122025,93.57,46.22,46.47,46.71,46.45,46.71,1.06
15122025,99.55,46.71,46.94,46.94,46.57,46.77,0.13
16122025,99.99,46.77,46.43,46.43,45.99,46.0,-1.65
17122025,99.96,46.0,46.23,46.23,45.56,45.71,-0.63
18122025,91.17,45.71,45.46,45.59,45.2,45.59,-0.26
19122025,100.0,45.59,45.9,46.54,45.81,46.53,2.06
22122025,87.04,46.53,47.57,47.57,46.53,46.76,0.49
23122025,99.13,46.76,46.76,46.78,46.38,46.78,0.04
24122025,68.95,46.78,46.78,47.25,46.76,47.25,1.0
25122025,68.95,46.78,46.78,47.25,46.76,47.25,1.0
26122025,99.92,47.25,47.25,47.25,46.75,46.8,-0.95
29122025,100.0,46.8,46.73,46.73,46.4,46.48,-0.68
30122025,100.0,46.48,46.14,46.15,46.12,46.14,-0.73
31122025,100.0,46.14,46.05,46.4,46.05,46.33,0.41
01012026,83.7,46.33,46.1,46.41,46.1,46.35,0.04
02012026,99.27,46.35,46.11,46.54,46.11,46.54,0.41
05012026,98.17,46.54,46.54,46.67,46.3,46.3,-0.52
06012026,100.0,46.3,46.3,46.3,45.83,46.26,-0.09
07012026,100.0,46.26,46.26,46.26,46.26,46.26,0.0
08012026,95.85,46.26,45.8,46.3,45.33,45.58,-1.47
09012026,93.73,45.58,45.27,45.35,44.65,44.79,-1.73
12012026,62.88,44.79,44.34,44.64,43.67,44.63,-0.36
13012026,69.24,44.63,44.85,44.88,44.5,44.64,0.02
14012026,95.09,44.64,44.8,44.88,44.77,44.87,0.52
15012026,95.09,44.64,44.8,44.88,44.77,44.87,0.52
16012026,99.88,44.87,45.09,45.09,44.61,44.69,-0.4
19012026,96.14,44.69,44.53,44.54,43.94,44.17,-1.16
20012026,96.45,44.17,44.1,44.11,42.96,42.99,-2.67
21012026,72.76,42.99,42.96,43.05,42.03,42.39,-1.4
22012026,96.99,42.39,43.19,43.42,42.57,43.02,1.49
23012026,100.0,43.02,42.73,42.78,41.66,41.76,-2.93
27012026,97.63,41.76,41.83,41.83,41.19,41.66,-0.24
28012026,42.18,41.66,41.76,42.17,41.64,42.17,1.22
29012026,83.25,42.17,42.17,42.45,42.13,42.45,0.66
30012026,99.25,42.45,42.45,42.59,41.72,42.52,0.16
02022026,92.54,42.46,42.52,42.52,41.45,41.91,-1.3
03022026,25.23,41.91,42.0,44.0,42.0,43.97,4.92
04022026,88.22,43.97,43.4,43.83,43.16,43.79,-0.41
05022026,95.91,43.79,43.64,43.67,43.2,43.67,-0.27
06022026,90.26,43.67,43.52,43.85,43.32,43.84,0.39
09022026,57.04,43.84,44.93,44.93,43.23,44.21,0.84
10022026,99.91,44.21,44.81,44.89,44.57,44.78,1.29
11022026,77.09,44.78,44.67,44.8,44.41,44.57,-0.47
12022026,72.66,44.57,44.28,44.48,44.05,44.44,-0.29
13022026,99.52,44.44,43.7,43.99,43.52,43.8,-1.44
