Date,DelPerc
05062025,18.31
06062025,92.55
09062025,18.5
10062025,1.25
11062025,100.0
12062025,99.57
13062025,99.31
16062025,99.39
17062025,99.23
18062025,99.61
19062025,97.14
20062025,92.59
23062025,99.51
24062025,60.15
25062025,100.0
26062025,100.0
27062025,83.97
30062025,100.0
01072025,100.0
02072025,100.0
04072025,100.0
07072025,83.33
08072025,98.8
09072025,98.04
11072025,96.69
14072025,100.0
15072025,100.0
17072025,66.67
18072025,100.0
21072025,99.82
22072025,100.0
23072025,100.0
24072025,100.0
25072025,100.0
28072025,76.47
29072025,25.62
30072025,9.91
31072025,70.2
01082025,100.0
04082025,93.5
05082025,85.54
06082025,38.79
07082025,73.51
08082025,100.0
11082025,91.07
12082025,76.67
13082025,100.0
14082025,100.0
18082025,50.48
19082025,100.0
20082025,100.0
21082025,100.0
22082025,100.0
25082025,100.0
26082025,100.0
28082025,100.0
29082025,78.3
01092025,97.55
02092025,57.08
03092025,0.0
04092025,99.57
05092025,62.72
08092025,96.42
09092025,100.0
10092025,96.08
11092025,88.31
12092025,88.68
15092025,99.86
16092025,50.44
17092025,74.2
18092025,97.06
19092025,50.0
22092025,95.84
23092025,100.0
24092025,99.62
25092025,61.36
26092025,85.36
29092025,82.63
30092025,64.09
01102025,69.57
03102025,100.0
06102025,73.41
07102025,100.0
08102025,100.0
09102025,70.02
10102025,94.34
13102025,88.24
14102025,42.65
15102025,93.04
16102025,96.68
17102025,53.16
20102025,61.28
21102025,100.0
22102025,100.0
23102025,62.21
24102025,87.26
27102025,70.6
28102025,66.33
29102025,68.75
30102025,91.95
31102025,100.0
03112025,81.65
04112025,97.52
05112025,97.52
06112025,80.24
07112025,21.24
10112025,97.27
11112025,93.71
12112025,65.29
13112025,84.32
14112025,97.27
17112025,69.01
18112025,100.0
19112025,100.0
20112025,78.01
21112025,57.44
24112025,94.02
25112025,100.0
26112025,100.0
27112025,99.14
28112025,59.37
01122025,83.53
02122025,71.26
03122025,93.83
04122025,66.27
05122025,71.05
08122025,99.46
09122025,14.47
10122025,68.44
11122025,85.15
12122025,82.64
15122025,100.0
16122025,98.7
17122025,99.71
18122025,99.06
19122025,99.95
22122025,99.11
23122025,99.86
24122025,81.19
25122025,81.19
26122025,79.77
29122025,98.25
30122025,97.63
31122025,81.04
01012026,100.0
02012026,59.66
05012026,80.0
06012026,81.42
07012026,73.49
08012026,99.88
09012026,67.47
12012026,63.57
13012026,100.0
14012026,77.07
15012026,77.07
16012026,93.72
19012026,88.19
20012026,93.52
21012026,81.77
22012026,98.85
23012026,97.72
27012026,94.47
28012026,66.67
29012026,28.38
30012026,26.0
02022026,49.84
03022026,51.23
04022026,78.04
05022026,63.6
06022026,55.48
09022026,79.97
10022026,65.12
11022026,67.45
