Date,DelPerc
27122023,28.78
28122023,34.22
29122023,51.72
01012024,47.04
02012024,32.23
03012024,36.05
04012024,39.85
05012024,59.51
08012024,40.09
09012024,37.42
10012024,22.04
11012024,22.24
12012024,56.96
15012024,22.77
16012024,48.78
17012024,35.14
18012024,38.46
19012024,50.19
22012024,56.2
23012024,44.22
24012024,48.34
25012024,47.97
29012024,49.52
30012024,70.74
31012024,58.58
01022024,59.68
02022024,48.46
05022024,36.93
06022024,53.39
07022024,46.61
08022024,53.8
09022024,46.11
12022024,47.97
13022024,58.45
14022024,46.68
15022024,42.49
16022024,50.12
19022024,54.2
20022024,58.23
21022024,54.21
22022024,53.62
23022024,56.88
26022024,54.47
27022024,52.27
28022024,60.0
29022024,47.08
01032024,48.03
04032024,55.11
05032024,58.33
06032024,53.48
07032024,53.16
08032024,53.16
11032024,45.59
12032024,53.03
13032024,47.57
14032024,44.98
15032024,60.91
18032024,31.31
19032024,41.8
20032024,55.97
21032024,52.51
22032024,47.75
25032024,47.75
26032024,66.8
27032024,61.08
28032024,54.74
29032024,54.74
01042024,42.17
02042024,42.83
03042024,41.13
04042024,44.15
05042024,45.02
08042024,57.87
09042024,43.8
10042024,45.05
11042024,45.05
12042024,50.94
15042024,45.25
16042024,58.17
17042024,58.17
18042024,38.89
19042024,43.76
22042024,48.34
23042024,39.74
24042024,56.14
25042024,57.14
26042024,58.63
29042024,65.39
30042024,56.17
01052024,56.17
02052024,33.81
03052024,45.33
06052024,53.97
07052024,40.37
08052024,40.71
09052024,56.23
10052024,54.6
13052024,46.2
14052024,53.88
15052024,46.98
16052024,45.38
17052024,51.0
20052024,70.44
21052024,50.83
22052024,50.32
23052024,73.36
24052024,64.08
27052024,60.68
28052024,60.54
29052024,58.56
30052024,51.53
31052024,65.79
03062024,62.76
04062024,51.23
05062024,49.27
06062024,55.06
07062024,57.25
10062024,48.61
11062024,59.67
12062024,69.11
13062024,47.97
14062024,50.05
17062024,50.05
18062024,46.85
19062024,45.48
20062024,57.89
21062024,45.85
24062024,54.79
25062024,58.98
26062024,65.46
27062024,52.0
28062024,55.42
01072024,56.24
02072024,54.9
03072024,50.79
04072024,62.14
05072024,54.15
08072024,54.57
09072024,49.19
10072024,53.83
11072024,54.32
12072024,53.27
15072024,41.74
16072024,60.12
17072024,60.12
18072024,59.55
19072024,60.24
22072024,69.43
23072024,60.09
24072024,58.76
25072024,54.21
26072024,62.17
29072024,65.83
30072024,64.03
31072024,77.88
01082024,55.39
02082024,59.16
05082024,46.24
06082024,58.94
07082024,23.19
08082024,32.32
09082024,33.59
12082024,45.81
13082024,46.75
14082024,42.13
16082024,47.05
19082024,51.35
20082024,34.34
21082024,46.13
