Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,37.51,41.24,41.2,42.2,40.3,40.5,-1.79
02012025,42.98,40.5,40.49,40.83,39.0,39.31,-2.94
03012025,38.42,39.31,39.31,40.3,39.31,39.88,1.45
06012025,49.65,39.88,40.44,40.44,38.0,38.14,-4.36
07012025,41.24,38.14,38.12,39.0,38.11,38.53,1.02
08012025,27.44,38.53,38.74,38.99,38.05,38.55,0.05
09012025,42.48,38.55,38.49,39.1,37.55,38.2,-0.91
10012025,40.71,38.2,38.0,38.37,36.9,37.67,-1.39
13012025,46.38,37.67,37.1,37.67,36.0,36.25,-3.77
14012025,41.45,36.25,36.8,37.83,36.52,37.25,2.76
15012025,45.68,37.25,37.3,38.22,37.0,37.11,-0.38
16012025,51.05,37.11,37.8,38.0,37.3,37.54,1.16
17012025,44.15,37.54,37.51,37.96,37.12,37.62,0.21
20012025,49.96,37.62,37.74,37.96,37.43,37.59,-0.08
21012025,36.12,37.59,37.98,38.21,37.05,37.25,-0.9
22012025,44.69,37.25,37.7,37.7,36.6,36.88,-0.99
23012025,52.25,36.88,36.59,37.29,36.35,37.02,0.38
24012025,46.84,37.02,37.05,37.2,36.0,36.37,-1.76
27012025,47.77,36.37,35.98,35.98,33.5,34.51,-5.11
28012025,40.21,34.51,34.5,35.43,33.21,34.81,0.87
29012025,42.26,34.81,35.2,36.84,35.19,36.11,3.73
30012025,49.43,36.11,36.2,36.9,36.0,36.35,0.66
31012025,43.59,36.35,36.6,36.96,36.2,36.6,0.69
03022025,29.42,37.37,37.37,38.87,37.35,37.83,1.23
04022025,38.57,37.83,37.99,39.05,36.97,37.8,-0.08
05022025,42.11,37.8,38.0,38.28,37.74,37.95,0.4
06022025,39.13,37.95,38.07,38.26,37.01,37.32,-1.66
07022025,46.84,37.32,37.37,37.79,36.5,36.9,-1.13
10022025,45.61,36.9,36.11,36.9,35.8,35.97,-2.52
11022025,49.7,35.97,36.0,36.0,34.58,35.04,-2.59
12022025,37.39,35.04,35.8,36.0,32.5,35.07,0.09
13022025,40.39,35.07,35.25,36.01,34.26,34.78,-0.83
14022025,44.98,34.78,35.3,35.42,32.5,33.62,-3.34
17022025,35.75,33.62,33.72,35.73,32.84,33.72,0.3
18022025,43.68,33.72,33.89,34.45,32.6,33.1,-1.84
19022025,35.64,33.1,33.1,33.99,32.76,33.84,2.24
20022025,48.98,33.84,33.84,34.9,33.6,34.17,0.98
21022025,50.43,34.17,34.35,35.1,33.56,33.95,-0.64
24022025,49.92,33.95,33.3,34.08,32.82,33.35,-1.77
25022025,26.89,33.35,33.05,34.75,33.05,33.85,1.5
27022025,42.64,33.85,33.85,35.9,33.22,34.79,2.78
28022025,36.63,34.79,34.31,36.5,33.38,34.17,-1.78
03032025,40.77,34.17,34.01,34.99,32.4,32.91,-3.69
04032025,34.51,32.91,32.5,33.65,32.5,33.1,0.58
05032025,62.71,33.1,33.25,34.04,32.81,33.04,-0.18
06032025,27.12,33.04,33.99,36.2,33.76,34.82,5.39
07032025,40.8,34.82,34.97,35.32,34.51,34.73,-0.26
10032025,55.51,34.73,34.95,35.1,34.32,34.82,0.26
11032025,59.43,34.82,34.25,34.5,33.82,33.98,-2.41
12032025,50.74,33.98,34.3,34.3,33.04,33.41,-1.68
13032025,41.99,33.41,34.0,34.0,33.02,33.27,-0.42
17032025,44.84,33.27,33.44,33.98,32.75,32.85,-1.26
18032025,38.74,32.85,33.01,36.73,31.51,33.26,1.25
19032025,48.82,33.26,33.75,35.2,33.7,33.94,2.04
20032025,52.17,33.94,34.27,34.34,32.71,33.2,-2.18
21032025,63.59,33.2,33.7,34.89,33.25,34.3,3.31
24032025,55.59,34.3,34.6,34.79,33.86,33.94,-1.05
25032025,57.98,33.94,33.9,34.24,33.5,33.57,-1.09
26032025,50.64,33.57,33.68,33.75,32.8,32.88,-2.06
27032025,53.62,32.88,32.9,33.29,32.55,32.87,-0.03
28032025,42.29,32.87,33.0,33.49,32.11,32.66,-0.64
01042025,35.99,32.66,32.65,33.25,32.35,33.03,1.13
